t_ms,v_mV
0.000000000000000000e+00,-6.500000000000000000e+01
2.500000000000000139e-02,-6.499925452909273815e+01
5.000000000000000278e-02,-6.499852070951320115e+01
7.500000000000001110e-02,-6.499779768226396470e+01
1.000000000000000056e-01,-6.499708468737193812e+01
1.250000000000000000e-01,-6.499638105280780564e+01
1.499999999999999944e-01,-6.499568618464122949e+01
1.749999999999999889e-01,-6.499499955829286080e+01
1.999999999999999833e-01,-6.499432071076043371e+01
2.249999999999999778e-01,-6.499364923370976044e+01
2.499999999999999722e-01,-6.499298476733400776e+01
2.749999999999999667e-01,-6.499232699489553511e+01
2.999999999999999889e-01,-6.499167563787408142e+01
3.250000000000000111e-01,-6.499103045165381332e+01
3.500000000000000333e-01,-6.499039122168916549e+01
3.750000000000000555e-01,-6.498975776009632455e+01
4.000000000000000777e-01,-6.498912990262290634e+01
4.250000000000000999e-01,-6.498850750595394743e+01
4.500000000000001221e-01,-6.498789044531675074e+01
4.750000000000001443e-01,-6.498727861235144587e+01
5.000000000000001110e-01,-6.498667191321786163e+01
5.250000000000001332e-01,-6.498607026691243505e+01
5.500000000000001554e-01,-6.498547360377183679e+01
5.750000000000001776e-01,-6.498488186414270729e+01
6.000000000000001998e-01,-6.498429499719907199e+01
6.250000000000002220e-01,-6.498371295989107921e+01
6.500000000000002442e-01,-6.498313571601046590e+01
6.750000000000002665e-01,-6.498256323535989054e+01
7.000000000000002887e-01,-6.498199549301467925e+01
7.250000000000003109e-01,-6.498143246866659695e+01
7.500000000000003331e-01,-6.498087414604076173e+01
7.750000000000003553e-01,-6.498032051237747453e+01
8.000000000000003775e-01,-6.497977155797180160e+01
8.250000000000003997e-01,-6.497922727576465718e+01
8.500000000000004219e-01,-6.497868766097943194e+01
8.750000000000004441e-01,-6.497815271079940658e+01
9.000000000000004663e-01,-6.497762242408126099e+01
9.250000000000004885e-01,-6.497709680110077102e+01
9.500000000000005107e-01,-6.497657584332709746e+01
9.750000000000005329e-01,-6.497605955322251248e+01
