angle_deg,trial_seed,firing_rate_hz
0,1,15.000000
0,2,11.000000
0,3,15.000000
0,4,14.000000
0,5,16.000000
0,6,16.000000
0,7,12.000000
0,8,18.000000
0,9,16.000000
0,10,13.000000
0,11,16.000000
0,12,14.000000
0,13,15.000000
0,14,15.000000
0,15,15.000000
0,16,17.000000
0,17,16.000000
0,18,15.000000
0,19,14.000000
0,20,14.000000
30,1,11.000000
30,2,14.000000
30,3,14.000000
30,4,14.000000
30,5,14.000000
30,6,14.000000
30,7,15.000000
30,8,13.000000
30,9,17.000000
30,10,13.000000
30,11,15.000000
30,12,12.000000
30,13,14.000000
30,14,11.000000
30,15,16.000000
30,16,12.000000
30,17,18.000000
30,18,13.000000
30,19,14.000000
30,20,14.000000
60,1,9.000000
60,2,8.000000
60,3,8.000000
60,4,12.000000
60,5,9.000000
60,6,13.000000
60,7,8.000000
60,8,8.000000
60,9,9.000000
60,10,9.000000
60,11,10.000000
60,12,7.000000
60,13,10.000000
60,14,11.000000
60,15,10.000000
60,16,6.000000
60,17,11.000000
60,18,9.000000
60,19,12.000000
60,20,9.000000
90,1,9.000000
90,2,6.000000
90,3,9.000000
90,4,9.000000
90,5,9.000000
90,6,9.000000
90,7,10.000000
90,8,7.000000
90,9,10.000000
90,10,8.000000
90,11,9.000000
90,12,9.000000
90,13,10.000000
90,14,11.000000
90,15,5.000000
90,16,8.000000
90,17,7.000000
90,18,9.000000
90,19,9.000000
90,20,8.000000
120,1,8.000000
120,2,6.000000
120,3,9.000000
120,4,9.000000
120,5,9.000000
120,6,9.000000
120,7,10.000000
120,8,7.000000
120,9,10.000000
120,10,7.000000
120,11,9.000000
120,12,9.000000
120,13,10.000000
120,14,10.000000
120,15,6.000000
120,16,8.000000
120,17,6.000000
120,18,8.000000
120,19,10.000000
120,20,8.000000
150,1,8.000000
150,2,6.000000
150,3,9.000000
150,4,9.000000
150,5,9.000000
150,6,9.000000
150,7,11.000000
150,8,8.000000
150,9,11.000000
150,10,7.000000
150,11,9.000000
150,12,9.000000
150,13,10.000000
150,14,10.000000
150,15,5.000000
150,16,8.000000
150,17,7.000000
150,18,8.000000
150,19,9.000000
150,20,7.000000
180,1,8.000000
180,2,6.000000
180,3,9.000000
180,4,9.000000
180,5,9.000000
180,6,10.000000
180,7,12.000000
180,8,7.000000
180,9,12.000000
180,10,8.000000
180,11,8.000000
180,12,9.000000
180,13,10.000000
180,14,10.000000
180,15,5.000000
180,16,8.000000
180,17,8.000000
180,18,8.000000
180,19,9.000000
180,20,8.000000
210,1,11.000000
210,2,7.000000
210,3,13.000000
210,4,9.000000
210,5,6.000000
210,6,10.000000
210,7,9.000000
210,8,11.000000
210,9,10.000000
210,10,7.000000
210,11,10.000000
210,12,11.000000
210,13,11.000000
210,14,8.000000
210,15,11.000000
210,16,10.000000
210,17,11.000000
210,18,11.000000
210,19,12.000000
210,20,7.000000
240,1,19.000000
240,2,16.000000
240,3,16.000000
240,4,16.000000
240,5,17.000000
240,6,19.000000
240,7,17.000000
240,8,18.000000
240,9,20.000000
240,10,19.000000
240,11,19.000000
240,12,17.000000
240,13,20.000000
240,14,15.000000
240,15,19.000000
240,16,19.000000
240,17,21.000000
240,18,18.000000
240,19,20.000000
240,20,17.000000
270,1,18.000000
270,2,13.000000
270,3,18.000000
270,4,15.000000
270,5,19.000000
270,6,15.000000
270,7,14.000000
270,8,18.000000
270,9,15.000000
270,10,15.000000
270,11,17.000000
270,12,16.000000
270,13,18.000000
270,14,16.000000
270,15,18.000000
270,16,15.000000
270,17,16.000000
270,18,17.000000
270,19,17.000000
270,20,13.000000
300,1,17.000000
300,2,15.000000
300,3,14.000000
300,4,15.000000
300,5,16.000000
300,6,16.000000
300,7,16.000000
300,8,16.000000
300,9,20.000000
300,10,15.000000
300,11,17.000000
300,12,15.000000
300,13,18.000000
300,14,18.000000
300,15,13.000000
300,16,17.000000
300,17,16.000000
300,18,14.000000
300,19,16.000000
300,20,17.000000
330,1,17.000000
330,2,16.000000
330,3,13.000000
330,4,14.000000
330,5,15.000000
330,6,14.000000
330,7,15.000000
330,8,15.000000
330,9,17.000000
330,10,12.000000
330,11,15.000000
330,12,13.000000
330,13,15.000000
330,14,17.000000
330,15,16.000000
330,16,17.000000
330,17,16.000000
330,18,16.000000
330,19,15.000000
330,20,14.000000
