trial,direction_deg,spike_count,peak_mv
3000,0.0,5,38.126
13007,0.0,5,37.267
23014,0.0,6,37.584
33021,0.0,5,37.827
43028,0.0,4,37.348
53035,0.0,5,36.634
63042,0.0,5,37.372
73049,0.0,4,36.606
83056,0.0,7,37.847
93063,0.0,4,36.666
103070,0.0,6,36.610
113077,0.0,7,37.454
123084,0.0,4,37.158
133091,0.0,4,37.036
143098,0.0,5,38.522
153105,0.0,5,37.244
163112,0.0,5,37.359
173119,0.0,6,37.533
183126,0.0,5,37.212
193133,0.0,6,37.210
3390,30.0,5,36.935
13397,30.0,3,37.231
23404,30.0,5,37.305
33411,30.0,3,36.776
43418,30.0,5,37.012
53425,30.0,4,36.536
63432,30.0,5,36.918
73439,30.0,6,36.412
83446,30.0,3,36.926
93453,30.0,5,37.022
103460,30.0,4,37.423
113467,30.0,4,37.424
123474,30.0,6,36.545
133481,30.0,5,35.983
143488,30.0,4,36.451
153495,30.0,3,35.979
163502,30.0,5,37.190
173509,30.0,4,36.615
183516,30.0,5,37.043
193523,30.0,5,36.786
3780,60.0,4,36.371
13787,60.0,4,36.056
23794,60.0,2,36.030
33801,60.0,6,36.462
43808,60.0,4,36.604
53815,60.0,4,36.476
63822,60.0,4,36.736
73829,60.0,3,37.143
83836,60.0,4,37.239
93843,60.0,2,36.291
103850,60.0,4,36.436
113857,60.0,3,36.634
123864,60.0,3,36.468
133871,60.0,3,36.306
143878,60.0,4,37.055
153885,60.0,4,36.519
163892,60.0,3,37.282
173899,60.0,3,35.964
183906,60.0,3,36.135
193913,60.0,3,37.053
4170,90.0,2,36.259
14177,90.0,2,35.383
24184,90.0,1,36.679
34191,90.0,2,35.657
44198,90.0,2,34.917
54205,90.0,2,36.109
64212,90.0,2,36.386
74219,90.0,1,35.948
84226,90.0,3,36.038
94233,90.0,1,36.482
104240,90.0,2,36.778
114247,90.0,2,37.307
124254,90.0,2,35.668
134261,90.0,3,36.066
144268,90.0,3,36.274
154275,90.0,2,37.468
164282,90.0,1,36.038
174289,90.0,2,36.129
184296,90.0,4,37.038
194303,90.0,3,37.297
4560,120.0,1,36.287
14567,120.0,1,36.835
24574,120.0,2,35.652
34581,120.0,2,35.393
44588,120.0,1,34.943
54595,120.0,1,35.763
64602,120.0,1,36.845
74609,120.0,1,35.847
84616,120.0,1,36.632
94623,120.0,1,37.001
104630,120.0,1,36.028
114637,120.0,0,-48.730
124644,120.0,1,36.286
134651,120.0,1,36.489
144658,120.0,1,35.246
154665,120.0,1,35.586
164672,120.0,1,35.972
174679,120.0,1,34.719
184686,120.0,1,36.150
194693,120.0,1,36.931
4950,150.0,1,35.985
