trial,direction_deg,spike_count,peak_mv
4000,0.0,4,36.785
14007,0.0,5,36.593
24014,0.0,5,36.988
34021,0.0,5,37.084
44028,0.0,3,37.276
54035,0.0,5,37.289
64042,0.0,4,36.305
74049,0.0,4,37.457
84056,0.0,3,36.924
94063,0.0,3,37.389
104070,0.0,6,37.459
114077,0.0,5,36.973
124084,0.0,4,37.685
134091,0.0,4,37.738
144098,0.0,4,36.397
154105,0.0,5,36.766
164112,0.0,5,37.171
174119,0.0,5,37.381
184126,0.0,6,36.894
194133,0.0,5,36.702
4390,30.0,4,37.110
14397,30.0,4,37.256
24404,30.0,4,36.412
34411,30.0,4,36.682
44418,30.0,4,37.211
54425,30.0,5,36.241
64432,30.0,3,36.496
74439,30.0,7,36.954
84446,30.0,4,36.971
94453,30.0,4,35.751
104460,30.0,2,36.458
114467,30.0,3,37.999
124474,30.0,3,36.337
134481,30.0,3,36.161
144488,30.0,4,37.647
154495,30.0,6,36.930
164502,30.0,4,37.251
174509,30.0,4,36.636
184516,30.0,4,36.887
194523,30.0,5,37.047
4780,60.0,2,36.919
14787,60.0,4,37.298
24794,60.0,3,37.012
34801,60.0,3,36.953
44808,60.0,2,35.540
54815,60.0,2,35.433
64822,60.0,2,36.666
74829,60.0,2,36.791
84836,60.0,4,36.512
94843,60.0,1,35.439
104850,60.0,2,37.027
114857,60.0,2,36.117
124864,60.0,3,37.203
134871,60.0,2,36.610
144878,60.0,4,37.624
154885,60.0,2,35.564
164892,60.0,2,36.762
174899,60.0,4,36.008
184906,60.0,3,36.381
194913,60.0,3,36.778
5170,90.0,1,35.752
15177,90.0,2,35.682
25184,90.0,1,34.495
35191,90.0,0,-53.226
45198,90.0,0,-48.139
55205,90.0,2,35.410
65212,90.0,0,-47.157
75219,90.0,1,34.608
85226,90.0,1,35.265
95233,90.0,0,-47.640
105240,90.0,0,-47.770
115247,90.0,1,36.181
125254,90.0,1,33.921
135261,90.0,1,33.653
145268,90.0,1,36.300
155275,90.0,1,35.470
165282,90.0,2,35.250
175289,90.0,0,-47.694
185296,90.0,0,-46.799
195303,90.0,1,34.484
5560,120.0,0,-47.269
15567,120.0,0,-51.522
25574,120.0,0,-51.449
35581,120.0,0,-46.141
45588,120.0,1,36.623
55595,120.0,1,35.097
65602,120.0,1,35.793
75609,120.0,0,-48.397
85616,120.0,0,-47.150
95623,120.0,1,36.582
105630,120.0,0,-52.780
115637,120.0,0,-51.857
125644,120.0,0,-52.522
135651,120.0,1,36.440
145658,120.0,0,-51.101
155665,120.0,1,36.446
165672,120.0,0,-55.486
175679,120.0,0,-50.180
185686,120.0,0,-52.135
195693,120.0,0,-50.747
5950,150.0,0,-52.882
15957,150.0,0,-48.742
25964,150.0,1,36.335
35971,150.0,1,35.950
45978,150.0,1,37.111
55985,150.0,0,-50.400
65992,150.0,1,35.753
75999,150.0,1,37.103
86006,150.0,0,-53.369
96013,150.0,0,-51.566
106020,150.0,1,35.475
116027,150.0,1,36.113
126034,150.0,0,-51.650
136041,150.0,1,36.847
146048,150.0,0,-47.668
156055,150.0,0,-54.811
166062,150.0,0,-45.776
176069,150.0,0,-54.482
186076,150.0,0,-49.699
196083,150.0,1,36.142
6340,180.0,0,-53.100
16347,180.0,0,-52.995
26354,180.0,1,37.199
36361,180.0,0,-52.569
46368,180.0,0,-56.416
56375,180.0,1,36.242
66382,180.0,0,-50.016
76389,180.0,0,-54.665
86396,180.0,0,-50.965
96403,180.0,0,-52.384
106410,180.0,0,-51.610
116417,180.0,0,-56.297
126424,180.0,0,-50.505
136431,180.0,1,35.890
146438,180.0,1,37.236
156445,180.0,0,-46.727
166452,180.0,0,-53.228
176459,180.0,1,37.261
186466,180.0,1,36.949
196473,180.0,1,36.231
6730,210.0,0,-52.691
16737,210.0,0,-51.861
26744,210.0,0,-49.369
36751,210.0,0,-51.837
46758,210.0,0,-51.717
56765,210.0,0,-52.450
66772,210.0,0,-49.865
76779,210.0,1,36.631
86786,210.0,0,-48.634
96793,210.0,0,-53.162
106800,210.0,1,38.054
116807,210.0,0,-52.362
126814,210.0,1,34.501
136821,210.0,0,-54.298
146828,210.0,0,-53.777
156835,210.0,1,36.135
166842,210.0,0,-53.277
176849,210.0,1,37.720
186856,210.0,0,-55.810
196863,210.0,1,37.182
7120,240.0,0,-52.186
17127,240.0,1,36.142
27134,240.0,1,37.231
37141,240.0,1,36.746
47148,240.0,1,37.266
57155,240.0,1,36.602
67162,240.0,1,35.579
77169,240.0,1,36.474
87176,240.0,0,-50.174
97183,240.0,1,34.622
107190,240.0,1,36.667
117197,240.0,0,-54.861
127204,240.0,0,-53.394
137211,240.0,1,36.005
147218,240.0,1,35.114
157225,240.0,1,37.456
167232,240.0,0,-54.323
177239,240.0,0,-51.981
187246,240.0,1,36.981
197253,240.0,1,36.594
7510,270.0,1,36.903
17517,270.0,1,36.864
27524,270.0,2,37.817
37531,270.0,0,-48.773
47538,270.0,1,36.655
57545,270.0,2,36.436
67552,270.0,1,37.810
77559,270.0,1,35.233
87566,270.0,1,37.246
97573,270.0,2,38.010
107580,270.0,1,36.583
117587,270.0,0,-47.526
127594,270.0,2,37.382
137601,270.0,1,38.208
147608,270.0,1,35.631
157615,270.0,1,36.648
167622,270.0,1,36.155
177629,270.0,1,35.672
187636,270.0,0,-46.565
197643,270.0,1,36.166
7900,300.0,2,37.164
17907,300.0,3,37.850
27914,300.0,2,37.790
37921,300.0,2,36.368
47928,300.0,3,36.671
57935,300.0,3,36.284
67942,300.0,1,37.306
77949,300.0,2,36.780
87956,300.0,1,36.753
97963,300.0,2,36.993
107970,300.0,2,37.680
117977,300.0,3,37.414
127984,300.0,3,35.506
137991,300.0,2,37.418
147998,300.0,2,37.989
158005,300.0,2,36.569
168012,300.0,2,36.545
