trial,direction_deg,spike_count,peak_mv
1000,0.0,5,37.330
11007,0.0,5,36.703
21014,0.0,4,37.227
31021,0.0,4,37.521
41028,0.0,6,37.226
51035,0.0,6,37.335
61042,0.0,6,37.113
71049,0.0,5,37.295
81056,0.0,4,36.769
91063,0.0,5,37.244
101070,0.0,6,37.490
111077,0.0,5,36.869
121084,0.0,4,36.687
131091,0.0,6,36.313
141098,0.0,6,36.767
151105,0.0,4,37.176
161112,0.0,5,37.822
171119,0.0,5,37.279
181126,0.0,6,37.197
191133,0.0,3,36.977
1585,45.0,3,36.735
11592,45.0,5,36.858
21599,45.0,4,36.573
31606,45.0,6,37.332
41613,45.0,4,36.121
51620,45.0,4,36.858
61627,45.0,4,36.695
71634,45.0,3,36.722
81641,45.0,3,36.232
91648,45.0,4,36.534
101655,45.0,3,37.524
111662,45.0,6,36.953
121669,45.0,3,36.374
131676,45.0,6,36.462
141683,45.0,4,37.132
151690,45.0,4,36.991
161697,45.0,4,35.798
171704,45.0,6,37.595
181711,45.0,4,37.597
191718,45.0,4,36.737
2170,90.0,1,36.900
12177,90.0,2,35.998
22184,90.0,3,35.913
32191,90.0,3,36.118
42198,90.0,3,35.402
52205,90.0,1,36.584
62212,90.0,2,36.859
72219,90.0,1,35.117
82226,90.0,2,35.708
92233,90.0,3,36.393
102240,90.0,2,36.285
112247,90.0,2,36.375
122254,90.0,2,35.554
132261,90.0,1,34.796
142268,90.0,3,35.332
152275,90.0,2,35.790
162282,90.0,2,35.989
172289,90.0,1,36.093
182296,90.0,1,35.316
192303,90.0,1,35.924
2755,135.0,1,36.050
12762,135.0,2,37.592
22769,135.0,0,-50.436
32776,135.0,1,36.884
42783,135.0,1,34.371
52790,135.0,0,-48.756
62797,135.0,1,35.726
72804,135.0,0,-51.371
82811,135.0,1,37.357
92818,135.0,1,36.668
102825,135.0,2,36.388
112832,135.0,0,-45.597
122839,135.0,1,36.695
132846,135.0,0,-50.638
142853,135.0,1,37.146
152860,135.0,2,37.271
162867,135.0,0,-47.731
172874,135.0,1,34.466
182881,135.0,1,35.224
192888,135.0,1,36.286
3340,180.0,0,-50.688
13347,180.0,1,36.807
23354,180.0,0,-48.433
33361,180.0,2,36.736
43368,180.0,0,-53.864
53375,180.0,0,-48.650
63382,180.0,0,-51.157
73389,180.0,1,35.249
83396,180.0,1,34.151
93403,180.0,1,35.568
103410,180.0,1,36.084
113417,180.0,0,-52.506
123424,180.0,0,-50.847
133431,180.0,0,-51.385
143438,180.0,1,38.263
153445,180.0,1,36.545
163452,180.0,1,36.957
173459,180.0,0,-48.665
183466,180.0,0,-49.673
193473,180.0,0,-51.516
3925,225.0,1,35.358
13932,225.0,1,37.334
23939,225.0,1,39.013
33946,225.0,1,34.964
43953,225.0,1,37.191
53960,225.0,1,35.590
63967,225.0,0,-51.663
73974,225.0,0,-47.098
83981,225.0,0,-46.499
93988,225.0,1,37.402
103995,225.0,1,37.704
114002,225.0,1,34.734
124009,225.0,1,35.420
134016,225.0,1,37.643
144023,225.0,1,34.779
154030,225.0,1,36.658
164037,225.0,1,35.753
174044,225.0,1,37.084
184051,225.0,1,37.285
194058,225.0,1,36.870
4510,270.0,2,37.971
14517,270.0,1,35.252
24524,270.0,2,36.067
34531,270.0,1,36.508
44538,270.0,2,37.775
54545,270.0,2,37.227
64552,270.0,2,37.248
74559,270.0,1,35.970
84566,270.0,2,37.257
94573,270.0,3,37.792
104580,270.0,2,36.064
114587,270.0,1,37.576
124594,270.0,2,35.674
134601,270.0,1,37.952
144608,270.0,2,38.099
154615,270.0,1,37.238
164622,270.0,1,37.991
174629,270.0,1,37.620
184636,270.0,2,36.840
194643,270.0,2,36.824
5095,315.0,4,38.191
15102,315.0,5,37.080
25109,315.0,5,36.813
35116,315.0,5,36.544
45123,315.0,4,37.259
55130,315.0,4,37.763
65137,315.0,4,37.469
75144,315.0,3,37.087
85151,315.0,4,36.901
95158,315.0,4,37.481
105165,315.0,4,37.093
115172,315.0,3,37.765
125179,315.0,4,37.064
135186,315.0,4,37.643
145193,315.0,5,37.035
155200,315.0,2,36.979
165207,315.0,3,37.390
175214,315.0,4,37.017
185221,315.0,2,36.833
195228,315.0,3,37.824
