v_rest_mv,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
-90.0,0,0,6,43.273,6.000000
-90.0,0,30,0,-46.944,0.000000
-90.0,0,60,1,42.718,1.000000
-90.0,0,90,0,-45.107,0.000000
-90.0,0,120,6,43.505,6.000000
-90.0,0,150,0,-48.769,0.000000
-90.0,0,180,0,-58.821,0.000000
-90.0,0,210,0,-59.243,0.000000
-90.0,0,240,0,-61.264,0.000000
-90.0,0,270,0,-59.479,0.000000
-90.0,0,300,0,-57.705,0.000000
-90.0,0,330,6,42.524,6.000000
-80.0,0,0,11,44.025,11.000000
-80.0,0,30,3,43.350,3.000000
-80.0,0,60,5,44.049,5.000000
-80.0,0,90,6,42.987,6.000000
-80.0,0,120,8,42.908,8.000000
-80.0,0,150,0,-47.921,0.000000
-80.0,0,180,0,-57.979,0.000000
-80.0,0,210,0,-58.470,0.000000
-80.0,0,240,0,-60.507,0.000000
-80.0,0,270,0,-58.608,0.000000
-80.0,0,300,0,-57.063,0.000000
-80.0,0,330,6,42.853,6.000000
-70.0,0,0,12,43.196,12.000000
-70.0,0,30,8,44.221,8.000000
-70.0,0,60,7,43.964,7.000000
-70.0,0,90,12,43.835,12.000000
-70.0,0,120,11,44.015,11.000000
-70.0,0,150,0,-46.861,0.000000
-70.0,0,180,0,-56.997,0.000000
-70.0,0,210,0,-57.034,0.000000
-70.0,0,240,0,-58.079,0.000000
-70.0,0,270,0,-57.717,0.000000
-70.0,0,300,0,-56.420,0.000000
-70.0,0,330,7,43.899,7.000000
-60.0,0,0,14,44.291,14.000000
-60.0,0,30,14,43.735,14.000000
-60.0,0,60,13,43.595,13.000000
-60.0,0,90,13,44.358,13.000000
-60.0,0,120,15,43.831,15.000000
-60.0,0,150,0,-45.508,0.000000
-60.0,0,180,0,-55.781,0.000000
-60.0,0,210,0,-54.665,0.000000
-60.0,0,240,0,-55.316,0.000000
-60.0,0,270,0,-56.184,0.000000
-60.0,0,300,0,-55.765,0.000000
-60.0,0,330,10,44.497,10.000000
-50.0,0,0,38,43.256,38.000000
-50.0,0,30,41,43.614,41.000000
-50.0,0,60,38,43.968,38.000000
-50.0,0,90,36,43.488,36.000000
-50.0,0,120,35,44.086,35.000000
-50.0,0,150,19,43.218,19.000000
-50.0,0,180,19,44.023,19.000000
-50.0,0,210,20,43.054,20.000000
-50.0,0,240,21,43.799,21.000000
-50.0,0,270,20,43.886,20.000000
-50.0,0,300,19,43.664,19.000000
-50.0,0,330,35,44.457,35.000000
-40.0,0,0,67,43.210,67.000000
-40.0,0,30,70,43.095,70.000000
-40.0,0,60,68,43.777,68.000000
-40.0,0,90,65,43.434,65.000000
-40.0,0,120,68,43.348,68.000000
-40.0,0,150,53,43.521,53.000000
-40.0,0,180,49,43.227,49.000000
-40.0,0,210,50,43.967,50.000000
-40.0,0,240,51,43.730,51.000000
-40.0,0,270,50,44.260,50.000000
-40.0,0,300,49,43.604,49.000000
-40.0,0,330,64,44.170,64.000000
-30.0,0,0,129,43.850,129.000000
-30.0,0,30,129,43.090,129.000000
-30.0,0,60,123,42.867,123.000000
-30.0,0,90,125,42.724,125.000000
-30.0,0,120,125,43.799,125.000000
-30.0,0,150,111,43.889,111.000000
-30.0,0,180,106,43.424,106.000000
-30.0,0,210,110,43.272,110.000000
-30.0,0,240,112,42.991,112.000000
-30.0,0,270,108,43.646,108.000000
-30.0,0,300,106,43.787,106.000000
-30.0,0,330,120,43.792,120.000000
-20.0,0,0,24,42.488,24.000000
-20.0,0,30,26,39.209,26.000000
-20.0,0,60,20,36.265,20.000000
-20.0,0,90,21,38.237,21.000000
-20.0,0,120,22,42.691,22.000000
-20.0,0,150,15,43.914,15.000000
-20.0,0,180,11,43.438,11.000000
-20.0,0,210,8,42.480,8.000000
-20.0,0,240,7,42.825,7.000000
-20.0,0,270,9,42.921,9.000000
-20.0,0,300,8,42.907,8.000000
-20.0,0,330,24,43.690,24.000000
