angle_deg,trial_seed,firing_rate_hz
0,1,13.000000
0,2,13.000000
0,3,13.000000
0,4,13.000000
0,5,13.000000
0,6,13.000000
0,7,13.000000
0,8,13.000000
0,9,13.000000
0,10,13.000000
30,1001,12.000000
30,1002,12.000000
30,1003,12.000000
30,1004,12.000000
30,1005,12.000000
30,1006,12.000000
30,1007,12.000000
30,1008,12.000000
30,1009,12.000000
30,1010,12.000000
60,2001,10.000000
60,2002,10.000000
60,2003,10.000000
60,2004,10.000000
60,2005,10.000000
60,2006,10.000000
60,2007,10.000000
60,2008,10.000000
60,2009,10.000000
60,2010,10.000000
90,3001,12.000000
90,3002,12.000000
90,3003,12.000000
90,3004,12.000000
90,3005,12.000000
90,3006,12.000000
90,3007,12.000000
90,3008,12.000000
90,3009,12.000000
90,3010,12.000000
120,4001,14.000000
120,4002,14.000000
120,4003,14.000000
120,4004,14.000000
120,4005,14.000000
120,4006,14.000000
120,4007,14.000000
120,4008,14.000000
120,4009,14.000000
120,4010,14.000000
150,5001,0.000000
150,5002,0.000000
150,5003,0.000000
150,5004,0.000000
150,5005,0.000000
150,5006,0.000000
150,5007,0.000000
150,5008,0.000000
150,5009,0.000000
150,5010,0.000000
180,6001,0.000000
180,6002,0.000000
180,6003,0.000000
180,6004,0.000000
180,6005,0.000000
180,6006,0.000000
180,6007,0.000000
180,6008,0.000000
180,6009,0.000000
180,6010,0.000000
210,7001,0.000000
210,7002,0.000000
210,7003,0.000000
210,7004,0.000000
210,7005,0.000000
210,7006,0.000000
210,7007,0.000000
210,7008,0.000000
210,7009,0.000000
210,7010,0.000000
240,8001,0.000000
240,8002,0.000000
240,8003,0.000000
240,8004,0.000000
240,8005,0.000000
240,8006,0.000000
240,8007,0.000000
240,8008,0.000000
240,8009,0.000000
240,8010,0.000000
270,9001,0.000000
270,9002,0.000000
270,9003,0.000000
270,9004,0.000000
270,9005,0.000000
270,9006,0.000000
270,9007,0.000000
270,9008,0.000000
270,9009,0.000000
270,9010,0.000000
300,10001,0.000000
300,10002,0.000000
300,10003,0.000000
300,10004,0.000000
300,10005,0.000000
300,10006,0.000000
300,10007,0.000000
300,10008,0.000000
300,10009,0.000000
300,10010,0.000000
330,11001,9.000000
330,11002,9.000000
330,11003,9.000000
330,11004,9.000000
330,11005,9.000000
330,11006,9.000000
330,11007,9.000000
330,11008,9.000000
330,11009,9.000000
330,11010,9.000000
