length_multiplier,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
0.50,0,0,14,43.671,14.000000
0.50,1,0,14,43.678,14.000000
0.50,2,0,14,43.671,14.000000
0.50,3,0,14,43.681,14.000000
0.50,4,0,14,43.680,14.000000
0.50,5,0,14,43.688,14.000000
0.50,6,0,14,43.678,14.000000
0.50,7,0,14,43.675,14.000000
0.50,8,0,14,43.685,14.000000
0.50,9,0,14,43.678,14.000000
0.50,0,30,14,43.997,14.000000
0.50,1,30,14,43.771,14.000000
0.50,2,30,14,43.770,14.000000
0.50,3,30,14,43.763,14.000000
0.50,4,30,14,43.823,14.000000
0.50,5,30,14,43.759,14.000000
0.50,6,30,14,43.821,14.000000
0.50,7,30,14,43.882,14.000000
0.50,8,30,14,43.843,14.000000
0.50,9,30,14,43.724,14.000000
0.50,0,60,15,43.841,15.000000
0.50,1,60,15,43.836,15.000000
0.50,2,60,15,43.843,15.000000
0.50,3,60,15,43.837,15.000000
0.50,4,60,15,43.836,15.000000
0.50,5,60,15,43.845,15.000000
0.50,6,60,15,43.832,15.000000
0.50,7,60,15,43.829,15.000000
0.50,8,60,15,43.833,15.000000
0.50,9,60,15,43.844,15.000000
0.50,0,90,13,43.685,13.000000
0.50,1,90,13,43.697,13.000000
0.50,2,90,13,43.688,13.000000
0.50,3,90,13,43.685,13.000000
0.50,4,90,13,43.689,13.000000
0.50,5,90,13,43.694,13.000000
0.50,6,90,13,43.687,13.000000
0.50,7,90,13,43.687,13.000000
0.50,8,90,13,43.695,13.000000
0.50,9,90,13,43.693,13.000000
0.50,0,120,15,43.743,15.000000
0.50,1,120,15,43.753,15.000000
0.50,2,120,15,43.748,15.000000
0.50,3,120,15,43.749,15.000000
0.50,4,120,15,43.742,15.000000
0.50,5,120,15,43.752,15.000000
0.50,6,120,15,43.750,15.000000
0.50,7,120,15,43.754,15.000000
0.50,8,120,15,43.743,15.000000
0.50,9,120,15,43.752,15.000000
0.50,0,150,0,-45.475,0.000000
0.50,1,150,0,-45.476,0.000000
0.50,2,150,0,-45.479,0.000000
0.50,3,150,0,-45.476,0.000000
0.50,4,150,0,-45.481,0.000000
0.50,5,150,0,-45.481,0.000000
0.50,6,150,0,-45.482,0.000000
0.50,7,150,0,-45.482,0.000000
0.50,8,150,0,-45.474,0.000000
0.50,9,150,0,-45.480,0.000000
0.50,0,180,0,-55.749,0.000000
0.50,1,180,0,-55.749,0.000000
0.50,2,180,0,-55.750,0.000000
0.50,3,180,0,-55.748,0.000000
0.50,4,180,0,-55.751,0.000000
0.50,5,180,0,-55.750,0.000000
0.50,6,180,0,-55.749,0.000000
0.50,7,180,0,-55.751,0.000000
0.50,8,180,0,-55.747,0.000000
0.50,9,180,0,-55.750,0.000000
