diameter_multiplier,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
0.50,0,0,14,44.662,14.000000
0.50,1,0,14,44.707,14.000000
0.50,2,0,14,44.688,14.000000
0.50,3,0,14,44.694,14.000000
0.50,4,0,14,44.680,14.000000
0.50,5,0,14,44.702,14.000000
0.50,6,0,14,44.687,14.000000
0.50,7,0,14,44.705,14.000000
0.50,8,0,14,44.695,14.000000
0.50,9,0,14,44.712,14.000000
0.50,0,30,13,44.486,13.000000
0.50,1,30,13,44.643,13.000000
0.50,2,30,13,44.645,13.000000
0.50,3,30,13,44.658,13.000000
0.50,4,30,13,44.611,13.000000
0.50,5,30,13,44.641,13.000000
0.50,6,30,13,44.625,13.000000
0.50,7,30,13,44.586,13.000000
0.50,8,30,13,44.605,13.000000
0.50,9,30,13,44.662,13.000000
0.50,0,60,13,44.247,13.000000
0.50,1,60,13,44.285,13.000000
0.50,2,60,13,44.345,13.000000
0.50,3,60,13,44.470,13.000000
0.50,4,60,13,44.316,13.000000
0.50,5,60,13,44.223,13.000000
0.50,6,60,13,44.336,13.000000
0.50,7,60,13,44.293,13.000000
0.50,8,60,13,44.376,13.000000
0.50,9,60,13,44.324,13.000000
0.50,0,90,13,44.113,13.000000
0.50,1,90,13,44.094,13.000000
0.50,2,90,13,44.090,13.000000
0.50,3,90,13,44.030,13.000000
0.50,4,90,13,44.249,13.000000
0.50,5,90,13,44.023,13.000000
0.50,6,90,13,44.028,13.000000
0.50,7,90,13,44.045,13.000000
0.50,8,90,13,44.189,13.000000
0.50,9,90,13,44.386,13.000000
0.50,0,120,15,43.883,15.000000
0.50,1,120,15,43.897,15.000000
0.50,2,120,15,43.868,15.000000
0.50,3,120,15,43.901,15.000000
0.50,4,120,15,43.879,15.000000
0.50,5,120,15,43.914,15.000000
0.50,6,120,15,43.901,15.000000
0.50,7,120,15,43.890,15.000000
0.50,8,120,15,43.895,15.000000
0.50,9,120,15,43.875,15.000000
0.50,0,150,0,-45.400,0.000000
0.50,1,150,0,-45.400,0.000000
0.50,2,150,0,-45.403,0.000000
0.50,3,150,0,-45.401,0.000000
0.50,4,150,0,-45.405,0.000000
0.50,5,150,0,-45.405,0.000000
0.50,6,150,0,-45.406,0.000000
0.50,7,150,0,-45.406,0.000000
0.50,8,150,0,-45.399,0.000000
0.50,9,150,0,-45.405,0.000000
0.50,0,180,0,-55.828,0.000000
0.50,1,180,0,-55.829,0.000000
0.50,2,180,0,-55.826,0.000000
0.50,3,180,0,-55.828,0.000000
0.50,4,180,0,-55.827,0.000000
0.50,5,180,0,-55.828,0.000000
0.50,6,180,0,-55.825,0.000000
0.50,7,180,0,-55.825,0.000000
0.50,8,180,0,-55.830,0.000000
0.50,9,180,0,-55.829,0.000000
0.50,0,210,0,-54.717,0.000000
0.50,1,210,0,-54.716,0.000000
0.50,2,210,0,-54.715,0.000000
0.50,3,210,0,-54.716,0.000000
0.50,4,210,0,-54.717,0.000000
0.50,5,210,0,-54.716,0.000000
0.50,6,210,0,-54.716,0.000000
0.50,7,210,0,-54.720,0.000000
0.50,8,210,0,-54.718,0.000000
0.50,9,210,0,-54.719,0.000000
0.50,0,240,0,-55.543,0.000000
0.50,1,240,0,-55.546,0.000000
0.50,2,240,0,-55.547,0.000000
0.50,3,240,0,-55.546,0.000000
0.50,4,240,0,-55.544,0.000000
0.50,5,240,0,-55.543,0.000000
0.50,6,240,0,-55.545,0.000000
0.50,7,240,0,-55.546,0.000000
0.50,8,240,0,-55.548,0.000000
0.50,9,240,0,-55.542,0.000000
0.50,0,270,0,-56.263,0.000000
0.50,1,270,0,-56.262,0.000000
0.50,2,270,0,-56.262,0.000000
0.50,3,270,0,-56.262,0.000000
0.50,4,270,0,-56.262,0.000000
0.50,5,270,0,-56.265,0.000000
0.50,6,270,0,-56.262,0.000000
0.50,7,270,0,-56.264,0.000000
0.50,8,270,0,-56.264,0.000000
0.50,9,270,0,-56.261,0.000000
0.50,0,300,0,-55.709,0.000000
0.50,1,300,0,-55.710,0.000000
0.50,2,300,0,-55.711,0.000000
0.50,3,300,0,-55.712,0.000000
0.50,4,300,0,-55.711,0.000000
0.50,5,300,0,-55.711,0.000000
0.50,6,300,0,-55.711,0.000000
0.50,7,300,0,-55.711,0.000000
0.50,8,300,0,-55.711,0.000000
0.50,9,300,0,-55.710,0.000000
0.50,0,330,13,44.055,13.000000
0.50,1,330,13,44.102,13.000000
0.50,2,330,13,44.070,13.000000
0.50,3,330,13,44.096,13.000000
0.50,4,330,13,44.108,13.000000
0.50,5,330,13,44.069,13.000000
0.50,6,330,13,44.063,13.000000
0.50,7,330,13,44.137,13.000000
0.50,8,330,13,44.108,13.000000
0.50,9,330,13,44.102,13.000000
0.75,0,0,14,44.626,14.000000
0.75,1,0,14,44.619,14.000000
0.75,2,0,14,44.627,14.000000
0.75,3,0,14,44.628,14.000000
0.75,4,0,14,44.623,14.000000
0.75,5,0,14,44.615,14.000000
0.75,6,0,14,44.629,14.000000
0.75,7,0,14,44.612,14.000000
0.75,8,0,14,44.621,14.000000
0.75,9,0,14,44.614,14.000000
0.75,0,30,14,43.713,14.000000
0.75,1,30,14,43.631,14.000000
0.75,2,30,14,43.628,14.000000
0.75,3,30,14,43.638,14.000000
0.75,4,30,14,43.626,14.000000
0.75,5,30,14,43.624,14.000000
0.75,6,30,14,43.635,14.000000
0.75,7,30,14,43.624,14.000000
0.75,8,30,14,43.633,14.000000
0.75,9,30,14,43.632,14.000000
0.75,0,60,12,44.552,12.000000
0.75,1,60,13,44.573,13.000000
0.75,2,60,12,44.609,12.000000
0.75,3,60,13,44.666,13.000000
0.75,4,60,13,44.589,13.000000
0.75,5,60,13,44.540,13.000000
0.75,6,60,12,44.598,12.000000
0.75,7,60,12,44.578,12.000000
0.75,8,60,12,44.623,12.000000
0.75,9,60,12,44.596,12.000000
0.75,0,90,13,43.536,13.000000
0.75,1,90,13,43.556,13.000000
0.75,2,90,13,43.551,13.000000
0.75,3,90,13,43.544,13.000000
0.75,4,90,13,43.548,13.000000
0.75,5,90,13,43.540,13.000000
0.75,6,90,13,43.549,13.000000
0.75,7,90,13,43.550,13.000000
0.75,8,90,13,43.550,13.000000
0.75,9,90,13,43.556,13.000000
0.75,0,120,15,44.535,15.000000
0.75,1,120,15,44.473,15.000000
0.75,2,120,15,44.542,15.000000
0.75,3,120,15,44.466,15.000000
0.75,4,120,15,44.543,15.000000
0.75,5,120,15,44.465,15.000000
0.75,6,120,15,44.470,15.000000
0.75,7,120,15,44.518,15.000000
0.75,8,120,15,44.483,15.000000
0.75,9,120,15,44.553,15.000000
0.75,0,150,0,-45.452,0.000000
0.75,1,150,0,-45.453,0.000000
0.75,2,150,0,-45.455,0.000000
0.75,3,150,0,-45.453,0.000000
0.75,4,150,0,-45.458,0.000000
0.75,5,150,0,-45.457,0.000000
0.75,6,150,0,-45.459,0.000000
0.75,7,150,0,-45.459,0.000000
0.75,8,150,0,-45.451,0.000000
0.75,9,150,0,-45.457,0.000000
0.75,0,180,0,-55.789,0.000000
0.75,1,180,0,-55.790,0.000000
0.75,2,180,0,-55.787,0.000000
0.75,3,180,0,-55.789,0.000000
0.75,4,180,0,-55.789,0.000000
0.75,5,180,0,-55.789,0.000000
0.75,6,180,0,-55.787,0.000000
0.75,7,180,0,-55.786,0.000000
0.75,8,180,0,-55.791,0.000000
0.75,9,180,0,-55.790,0.000000
0.75,0,210,0,-54.660,0.000000
0.75,1,210,0,-54.659,0.000000
0.75,2,210,0,-54.657,0.000000
0.75,3,210,0,-54.658,0.000000
0.75,4,210,0,-54.659,0.000000
0.75,5,210,0,-54.659,0.000000
0.75,6,210,0,-54.658,0.000000
0.75,7,210,0,-54.663,0.000000
0.75,8,210,0,-54.661,0.000000
0.75,9,210,0,-54.662,0.000000
0.75,0,240,0,-55.370,0.000000
0.75,1,240,0,-55.372,0.000000
0.75,2,240,0,-55.376,0.000000
0.75,3,240,0,-55.373,0.000000
0.75,4,240,0,-55.372,0.000000
0.75,5,240,0,-55.371,0.000000
0.75,6,240,0,-55.370,0.000000
0.75,7,240,0,-55.373,0.000000
0.75,8,240,0,-55.374,0.000000
0.75,9,240,0,-55.372,0.000000
0.75,0,270,0,-56.180,0.000000
0.75,1,270,0,-56.179,0.000000
0.75,2,270,0,-56.179,0.000000
0.75,3,270,0,-56.179,0.000000
0.75,4,270,0,-56.179,0.000000
0.75,5,270,0,-56.182,0.000000
0.75,6,270,0,-56.178,0.000000
0.75,7,270,0,-56.180,0.000000
0.75,8,270,0,-56.180,0.000000
0.75,9,270,0,-56.178,0.000000
0.75,0,300,0,-55.760,0.000000
0.75,1,300,0,-55.761,0.000000
0.75,2,300,0,-55.762,0.000000
0.75,3,300,0,-55.761,0.000000
0.75,4,300,0,-55.760,0.000000
0.75,5,300,0,-55.761,0.000000
0.75,6,300,0,-55.761,0.000000
0.75,7,300,0,-55.761,0.000000
0.75,8,300,0,-55.761,0.000000
0.75,9,300,0,-55.761,0.000000
0.75,0,330,10,43.738,10.000000
0.75,1,330,10,43.757,10.000000
0.75,2,330,10,43.737,10.000000
0.75,3,330,10,43.744,10.000000
0.75,4,330,10,43.741,10.000000
0.75,5,330,10,43.737,10.000000
0.75,6,330,10,43.724,10.000000
0.75,7,330,10,43.735,10.000000
0.75,8,330,10,43.728,10.000000
0.75,9,330,10,43.737,10.000000
1.00,0,0,14,44.294,14.000000
1.00,1,0,14,44.402,14.000000
1.00,2,0,14,44.367,14.000000
1.00,3,0,14,44.424,14.000000
1.00,4,0,14,44.380,14.000000
1.00,5,0,14,44.355,14.000000
1.00,6,0,14,44.230,14.000000
1.00,7,0,14,44.412,14.000000
1.00,8,0,14,44.405,14.000000
1.00,9,0,14,44.284,14.000000
1.00,0,30,14,44.043,14.000000
1.00,1,30,14,43.790,14.000000
1.00,2,30,14,43.810,14.000000
1.00,3,30,14,43.775,14.000000
1.00,4,30,14,43.872,14.000000
1.00,5,30,14,43.793,14.000000
1.00,6,30,14,43.832,14.000000
1.00,7,30,14,43.887,14.000000
1.00,8,30,14,43.885,14.000000
1.00,9,30,14,43.801,14.000000
1.00,0,60,13,43.647,13.000000
1.00,1,60,13,43.706,13.000000
1.00,2,60,13,43.806,13.000000
1.00,3,60,13,44.008,13.000000
1.00,4,60,13,43.763,13.000000
1.00,5,60,13,43.607,13.000000
1.00,6,60,13,43.798,13.000000
1.00,7,60,13,43.704,13.000000
1.00,8,60,13,43.848,13.000000
1.00,9,60,13,43.781,13.000000
1.00,0,90,13,44.505,13.000000
1.00,1,90,13,44.528,13.000000
1.00,2,90,13,44.519,13.000000
1.00,3,90,13,44.525,13.000000
1.00,4,90,13,44.493,13.000000
1.00,5,90,13,44.522,13.000000
1.00,6,90,13,44.525,13.000000
1.00,7,90,13,44.528,13.000000
1.00,8,90,13,44.508,13.000000
1.00,9,90,13,44.467,13.000000
1.00,0,120,15,44.239,15.000000
1.00,1,120,15,44.099,15.000000
1.00,2,120,15,44.246,15.000000
1.00,3,120,15,44.130,15.000000
1.00,4,120,15,44.270,15.000000
1.00,5,120,15,44.110,15.000000
1.00,6,120,15,44.138,15.000000
1.00,7,120,15,44.225,15.000000
1.00,8,120,15,44.135,15.000000
1.00,9,120,15,44.280,15.000000
1.00,0,150,0,-45.506,0.000000
1.00,1,150,0,-45.507,0.000000
1.00,2,150,0,-45.510,0.000000
1.00,3,150,0,-45.507,0.000000
1.00,4,150,0,-45.512,0.000000
1.00,5,150,0,-45.512,0.000000
1.00,6,150,0,-45.513,0.000000
1.00,7,150,0,-45.513,0.000000
1.00,8,150,0,-45.505,0.000000
1.00,9,150,0,-45.511,0.000000
1.00,0,180,0,-55.780,0.000000
1.00,1,180,0,-55.781,0.000000
1.00,2,180,0,-55.778,0.000000
1.00,3,180,0,-55.779,0.000000
1.00,4,180,0,-55.779,0.000000
1.00,5,180,0,-55.779,0.000000
1.00,6,180,0,-55.777,0.000000
1.00,7,180,0,-55.776,0.000000
1.00,8,180,0,-55.781,0.000000
1.00,9,180,0,-55.780,0.000000
1.00,0,210,0,-54.663,0.000000
1.00,1,210,0,-54.662,0.000000
1.00,2,210,0,-54.660,0.000000
1.00,3,210,0,-54.662,0.000000
1.00,4,210,0,-54.663,0.000000
1.00,5,210,0,-54.662,0.000000
1.00,6,210,0,-54.661,0.000000
1.00,7,210,0,-54.666,0.000000
1.00,8,210,0,-54.664,0.000000
1.00,9,210,0,-54.665,0.000000
1.00,0,240,0,-55.314,0.000000
1.00,1,240,0,-55.316,0.000000
1.00,2,240,0,-55.319,0.000000
1.00,3,240,0,-55.316,0.000000
1.00,4,240,0,-55.316,0.000000
1.00,5,240,0,-55.315,0.000000
1.00,6,240,0,-55.313,0.000000
1.00,7,240,0,-55.317,0.000000
1.00,8,240,0,-55.318,0.000000
1.00,9,240,0,-55.316,0.000000
