angle_deg,trial_seed,firing_rate_hz
0,40000013,4.000000
0,40000014,4.000000
0,40000015,4.000000
0,40000016,5.000000
0,40000017,4.000000
0,40000018,5.000000
0,40000019,4.000000
0,40000020,5.000000
0,40000021,4.000000
0,40000022,3.000000
30,40001013,3.000000
30,40001014,3.000000
30,40001015,5.000000
30,40001016,3.000000
30,40001017,3.000000
30,40001018,3.000000
30,40001019,4.000000
30,40001020,7.000000
30,40001021,4.000000
30,40001022,4.000000
60,40002013,4.000000
60,40002014,5.000000
60,40002015,3.000000
60,40002016,4.000000
60,40002017,5.000000
60,40002018,2.000000
60,40002019,4.000000
60,40002020,4.000000
60,40002021,2.000000
60,40002022,4.000000
90,40003013,1.000000
90,40003014,2.000000
90,40003015,2.000000
90,40003016,3.000000
90,40003017,2.000000
90,40003018,2.000000
90,40003019,4.000000
90,40003020,2.000000
90,40003021,4.000000
90,40003022,2.000000
120,40004013,1.000000
120,40004014,2.000000
120,40004015,0.000000
120,40004016,2.000000
120,40004017,1.000000
120,40004018,1.000000
120,40004019,0.000000
120,40004020,2.000000
120,40004021,0.000000
120,40004022,1.000000
150,40005013,1.000000
150,40005014,1.000000
150,40005015,1.000000
150,40005016,2.000000
150,40005017,1.000000
150,40005018,0.000000
150,40005019,0.000000
150,40005020,1.000000
150,40005021,1.000000
150,40005022,2.000000
180,40006013,0.000000
180,40006014,0.000000
180,40006015,1.000000
180,40006016,1.000000
180,40006017,1.000000
180,40006018,1.000000
180,40006019,1.000000
180,40006020,1.000000
180,40006021,1.000000
180,40006022,0.000000
210,40007013,1.000000
210,40007014,0.000000
210,40007015,1.000000
210,40007016,1.000000
210,40007017,1.000000
210,40007018,1.000000
210,40007019,1.000000
210,40007020,1.000000
210,40007021,1.000000
210,40007022,0.000000
240,40008013,2.000000
240,40008014,1.000000
240,40008015,1.000000
240,40008016,1.000000
240,40008017,0.000000
240,40008018,0.000000
240,40008019,1.000000
240,40008020,1.000000
240,40008021,1.000000
240,40008022,1.000000
270,40009013,2.000000
270,40009014,1.000000
270,40009015,3.000000
270,40009016,2.000000
270,40009017,1.000000
270,40009018,2.000000
270,40009019,2.000000
270,40009020,2.000000
270,40009021,1.000000
270,40009022,1.000000
300,40010013,2.000000
300,40010014,3.000000
300,40010015,3.000000
300,40010016,2.000000
300,40010017,2.000000
300,40010018,4.000000
300,40010019,4.000000
300,40010020,3.000000
300,40010021,4.000000
300,40010022,2.000000
330,40011013,6.000000
330,40011014,3.000000
330,40011015,4.000000
330,40011016,4.000000
330,40011017,4.000000
330,40011018,4.000000
330,40011019,5.000000
330,40011020,5.000000
330,40011021,4.000000
330,40011022,4.000000
