length_multiplier,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
0.50,0,0,4,38.363,4.000000
0.50,1,0,6,36.720,6.000000
0.50,2,0,5,36.276,5.000000
0.50,3,0,4,37.421,4.000000
0.50,4,0,6,36.861,6.000000
0.50,5,0,7,38.021,7.000000
0.50,6,0,7,38.157,7.000000
0.50,7,0,6,37.764,6.000000
0.50,8,0,6,38.245,6.000000
0.50,9,0,6,36.951,6.000000
0.50,0,30,5,36.835,5.000000
0.50,1,30,7,37.890,7.000000
0.50,2,30,5,38.100,5.000000
0.50,3,30,8,38.171,8.000000
0.50,4,30,5,38.272,5.000000
0.50,5,30,5,36.905,5.000000
0.50,6,30,4,37.738,4.000000
0.50,7,30,5,37.251,5.000000
0.50,8,30,5,37.409,5.000000
0.50,9,30,5,38.151,5.000000
0.50,0,60,3,36.325,3.000000
0.50,1,60,2,37.001,2.000000
0.50,2,60,3,36.643,3.000000
0.50,3,60,3,37.920,3.000000
0.50,4,60,4,37.443,4.000000
0.50,5,60,3,36.548,3.000000
0.50,6,60,4,38.623,4.000000
0.50,7,60,3,37.740,3.000000
0.50,8,60,5,36.166,5.000000
0.50,9,60,5,36.805,5.000000
0.50,0,90,3,37.016,3.000000
0.50,1,90,2,38.778,2.000000
0.50,2,90,1,34.551,1.000000
0.50,3,90,1,36.320,1.000000
0.50,4,90,2,37.334,2.000000
0.50,5,90,2,35.237,2.000000
0.50,6,90,1,36.159,1.000000
0.50,7,90,2,35.211,2.000000
0.50,8,90,1,34.682,1.000000
0.50,9,90,2,35.902,2.000000
0.50,0,120,1,33.576,1.000000
0.50,1,120,1,36.387,1.000000
0.50,2,120,1,35.373,1.000000
0.50,3,120,1,37.128,1.000000
0.50,4,120,0,-48.364,0.000000
0.50,5,120,0,-47.941,0.000000
0.50,6,120,0,-44.586,0.000000
0.50,7,120,1,36.575,1.000000
0.50,8,120,1,36.975,1.000000
0.50,9,120,1,36.932,1.000000
0.50,0,150,1,36.491,1.000000
0.50,1,150,1,36.755,1.000000
0.50,2,150,1,37.828,1.000000
0.50,3,150,0,-47.775,0.000000
0.50,4,150,0,-51.228,0.000000
0.50,5,150,2,38.075,2.000000
0.50,6,150,1,36.327,1.000000
0.50,7,150,1,37.278,1.000000
0.50,8,150,1,34.667,1.000000
0.50,9,150,0,-49.357,0.000000
0.50,0,180,1,37.191,1.000000
0.50,1,180,1,36.161,1.000000
0.50,2,180,1,36.252,1.000000
0.50,3,180,1,38.048,1.000000
0.50,4,180,0,-48.863,0.000000
0.50,5,180,1,39.051,1.000000
0.50,6,180,1,37.311,1.000000
0.50,7,180,1,35.919,1.000000
0.50,8,180,1,38.227,1.000000
0.50,9,180,0,-48.392,0.000000
0.50,0,210,0,-53.094,0.000000
0.50,1,210,1,36.060,1.000000
0.50,2,210,0,-47.627,0.000000
0.50,3,210,1,38.777,1.000000
0.50,4,210,1,36.809,1.000000
0.50,5,210,1,37.094,1.000000
0.50,6,210,1,36.946,1.000000
0.50,7,210,1,35.325,1.000000
0.50,8,210,0,-52.967,0.000000
0.50,9,210,1,37.426,1.000000
0.50,0,240,0,-46.847,0.000000
0.50,1,240,1,34.749,1.000000
0.50,2,240,0,-51.909,0.000000
0.50,3,240,1,37.533,1.000000
0.50,4,240,1,37.983,1.000000
0.50,5,240,1,35.547,1.000000
0.50,6,240,1,37.979,1.000000
0.50,7,240,1,38.108,1.000000
0.50,8,240,1,35.351,1.000000
0.50,9,240,1,36.459,1.000000
0.50,0,270,2,37.216,2.000000
0.50,1,270,2,36.437,2.000000
0.50,2,270,2,37.226,2.000000
0.50,3,270,1,37.408,1.000000
0.50,4,270,2,36.505,2.000000
0.50,5,270,1,37.996,1.000000
0.50,6,270,1,38.226,1.000000
0.50,7,270,1,37.861,1.000000
0.50,8,270,1,38.011,1.000000
0.50,9,270,1,38.056,1.000000
0.50,0,300,4,37.342,4.000000
0.50,1,300,3,36.891,3.000000
0.50,2,300,3,36.724,3.000000
0.50,3,300,2,38.667,2.000000
0.50,4,300,4,37.499,4.000000
0.50,5,300,3,37.213,3.000000
0.50,6,300,4,37.518,4.000000
0.50,7,300,3,37.331,3.000000
0.50,8,300,4,37.247,4.000000
0.50,9,300,4,37.617,4.000000
0.50,0,330,5,38.574,5.000000
0.50,1,330,4,37.624,4.000000
0.50,2,330,5,38.012,5.000000
0.50,3,330,4,37.567,4.000000
0.50,4,330,5,38.407,5.000000
0.50,5,330,5,38.030,5.000000
0.50,6,330,4,37.757,4.000000
0.50,7,330,3,37.407,3.000000
0.50,8,330,5,36.874,5.000000
0.50,9,330,5,37.896,5.000000
0.75,0,0,5,37.765,5.000000
0.75,1,0,5,38.893,5.000000
0.75,2,0,6,37.090,6.000000
0.75,3,0,7,38.787,7.000000
0.75,4,0,6,37.134,6.000000
0.75,5,0,4,38.246,4.000000
0.75,6,0,6,36.952,6.000000
0.75,7,0,5,37.375,5.000000
0.75,8,0,5,37.063,5.000000
0.75,9,0,6,36.935,6.000000
0.75,0,30,5,37.023,5.000000
0.75,1,30,4,36.845,4.000000
0.75,2,30,6,36.845,6.000000
0.75,3,30,6,37.986,6.000000
0.75,4,30,5,36.981,5.000000
0.75,5,30,5,37.677,5.000000
0.75,6,30,7,37.166,7.000000
0.75,7,30,5,36.952,5.000000
0.75,8,30,5,37.239,5.000000
0.75,9,30,5,37.008,5.000000
0.75,0,60,3,36.341,3.000000
0.75,1,60,4,37.463,4.000000
0.75,2,60,3,37.100,3.000000
0.75,3,60,5,37.457,5.000000
0.75,4,60,4,37.826,4.000000
0.75,5,60,3,37.582,3.000000
0.75,6,60,4,38.117,4.000000
0.75,7,60,3,36.791,3.000000
0.75,8,60,2,36.870,2.000000
0.75,9,60,4,36.902,4.000000
0.75,0,90,2,37.357,2.000000
0.75,1,90,2,35.492,2.000000
0.75,2,90,1,36.054,1.000000
0.75,3,90,5,36.865,5.000000
0.75,4,90,1,36.437,1.000000
0.75,5,90,2,35.678,2.000000
0.75,6,90,2,36.591,2.000000
0.75,7,90,2,38.121,2.000000
0.75,8,90,2,36.645,2.000000
0.75,9,90,2,35.788,2.000000
0.75,0,120,1,36.637,1.000000
0.75,1,120,1,35.261,1.000000
0.75,2,120,1,37.346,1.000000
0.75,3,120,1,35.391,1.000000
0.75,4,120,1,35.090,1.000000
0.75,5,120,1,37.552,1.000000
0.75,6,120,2,37.087,2.000000
0.75,7,120,1,35.411,1.000000
0.75,8,120,2,37.696,2.000000
0.75,9,120,1,36.417,1.000000
0.75,0,150,0,-53.913,0.000000
0.75,1,150,1,36.955,1.000000
0.75,2,150,1,37.092,1.000000
0.75,3,150,1,36.621,1.000000
0.75,4,150,2,36.656,2.000000
0.75,5,150,1,35.893,1.000000
0.75,6,150,0,-48.631,0.000000
0.75,7,150,1,35.979,1.000000
0.75,8,150,1,36.995,1.000000
0.75,9,150,1,37.336,1.000000
0.75,0,180,1,36.663,1.000000
0.75,1,180,1,38.161,1.000000
0.75,2,180,1,37.713,1.000000
0.75,3,180,0,-49.789,0.000000
0.75,4,180,0,-51.443,0.000000
0.75,5,180,0,-53.967,0.000000
0.75,6,180,1,36.127,1.000000
0.75,7,180,1,37.007,1.000000
0.75,8,180,1,35.891,1.000000
0.75,9,180,1,36.007,1.000000
0.75,0,210,1,37.407,1.000000
0.75,1,210,0,-54.464,0.000000
0.75,2,210,1,35.052,1.000000
0.75,3,210,1,35.719,1.000000
0.75,4,210,1,37.941,1.000000
0.75,5,210,0,-48.367,0.000000
0.75,6,210,1,35.664,1.000000
0.75,7,210,1,34.187,1.000000
0.75,8,210,2,37.704,2.000000
0.75,9,210,1,38.579,1.000000
0.75,0,240,1,36.054,1.000000
0.75,1,240,1,35.432,1.000000
0.75,2,240,1,38.415,1.000000
0.75,3,240,1,36.988,1.000000
0.75,4,240,1,36.415,1.000000
0.75,5,240,1,37.146,1.000000
0.75,6,240,1,36.130,1.000000
0.75,7,240,1,35.418,1.000000
0.75,8,240,1,36.824,1.000000
0.75,9,240,1,37.302,1.000000
0.75,0,270,2,38.512,2.000000
0.75,1,270,1,36.860,1.000000
0.75,2,270,4,38.283,4.000000
0.75,3,270,2,37.810,2.000000
0.75,4,270,2,36.859,2.000000
0.75,5,270,1,37.082,1.000000
0.75,6,270,2,37.263,2.000000
0.75,7,270,2,37.088,2.000000
0.75,8,270,1,36.264,1.000000
0.75,9,270,2,38.332,2.000000
0.75,0,300,2,37.743,2.000000
0.75,1,300,4,37.973,4.000000
0.75,2,300,3,36.422,3.000000
0.75,3,300,3,37.004,3.000000
0.75,4,300,2,37.859,2.000000
0.75,5,300,3,37.920,3.000000
0.75,6,300,4,37.553,4.000000
0.75,7,300,4,36.254,4.000000
0.75,8,300,3,36.774,3.000000
0.75,9,300,3,36.225,3.000000
0.75,0,330,3,38.140,3.000000
0.75,1,330,4,37.487,4.000000
0.75,2,330,5,38.361,5.000000
0.75,3,330,3,37.482,3.000000
0.75,4,330,6,38.090,6.000000
0.75,5,330,5,38.833,5.000000
0.75,6,330,5,38.817,5.000000
0.75,7,330,4,38.232,4.000000
0.75,8,330,5,37.018,5.000000
0.75,9,330,4,37.579,4.000000
1.00,0,0,5,36.480,5.000000
1.00,1,0,6,37.641,6.000000
1.00,2,0,5,37.498,5.000000
1.00,3,0,6,37.857,6.000000
1.00,4,0,5,36.798,5.000000
1.00,5,0,6,37.217,6.000000
1.00,6,0,5,37.151,5.000000
1.00,7,0,6,37.870,6.000000
1.00,8,0,6,38.328,6.000000
1.00,9,0,4,37.060,4.000000
1.00,0,30,5,37.547,5.000000
1.00,1,30,6,37.674,6.000000
1.00,2,30,4,38.181,4.000000
1.00,3,30,6,36.887,6.000000
1.00,4,30,4,37.379,4.000000
1.00,5,30,5,36.702,5.000000
1.00,6,30,2,36.225,2.000000
1.00,7,30,4,36.896,4.000000
1.00,8,30,5,37.543,5.000000
1.00,9,30,4,36.598,4.000000
1.00,0,60,2,37.200,2.000000
1.00,1,60,2,36.775,2.000000
1.00,2,60,5,36.603,5.000000
1.00,3,60,4,37.322,4.000000
1.00,4,60,4,36.102,4.000000
1.00,5,60,6,36.773,6.000000
1.00,6,60,5,36.363,5.000000
1.00,7,60,4,36.168,4.000000
1.00,8,60,3,36.621,3.000000
1.00,9,60,5,36.762,5.000000
1.00,0,90,5,36.814,5.000000
1.00,1,90,3,37.742,3.000000
1.00,2,90,1,35.176,1.000000
1.00,3,90,1,37.066,1.000000
1.00,4,90,3,38.116,3.000000
1.00,5,90,3,37.767,3.000000
1.00,6,90,2,36.290,2.000000
1.00,7,90,2,36.558,2.000000
1.00,8,90,3,37.105,3.000000
