angle_deg,trial_seed,firing_rate_hz
0,60000019,4.000000
0,60000020,3.000000
0,60000021,3.000000
0,60000022,4.000000
0,60000023,5.000000
0,60000024,3.000000
0,60000025,3.000000
0,60000026,4.000000
0,60000027,4.000000
0,60000028,5.000000
30,60001019,4.000000
30,60001020,3.000000
30,60001021,4.000000
30,60001022,3.000000
30,60001023,5.000000
30,60001024,5.000000
30,60001025,4.000000
30,60001026,4.000000
30,60001027,4.000000
30,60001028,4.000000
60,60002019,4.000000
60,60002020,2.000000
60,60002021,2.000000
60,60002022,3.000000
60,60002023,3.000000
60,60002024,3.000000
60,60002025,3.000000
60,60002026,3.000000
60,60002027,3.000000
60,60002028,4.000000
90,60003019,3.000000
90,60003020,1.000000
90,60003021,2.000000
90,60003022,3.000000
90,60003023,2.000000
90,60003024,3.000000
90,60003025,1.000000
90,60003026,2.000000
90,60003027,2.000000
90,60003028,1.000000
120,60004019,1.000000
120,60004020,1.000000
120,60004021,1.000000
120,60004022,0.000000
120,60004023,2.000000
120,60004024,1.000000
120,60004025,1.000000
120,60004026,2.000000
120,60004027,1.000000
120,60004028,0.000000
150,60005019,1.000000
150,60005020,0.000000
150,60005021,0.000000
150,60005022,1.000000
150,60005023,1.000000
150,60005024,1.000000
150,60005025,1.000000
150,60005026,1.000000
150,60005027,1.000000
150,60005028,1.000000
180,60006019,1.000000
180,60006020,0.000000
180,60006021,0.000000
180,60006022,1.000000
180,60006023,1.000000
180,60006024,0.000000
180,60006025,0.000000
180,60006026,1.000000
180,60006027,1.000000
180,60006028,2.000000
210,60007019,1.000000
210,60007020,0.000000
210,60007021,1.000000
210,60007022,1.000000
210,60007023,1.000000
210,60007024,1.000000
210,60007025,0.000000
210,60007026,1.000000
210,60007027,1.000000
210,60007028,1.000000
240,60008019,2.000000
240,60008020,1.000000
240,60008021,1.000000
240,60008022,1.000000
240,60008023,1.000000
240,60008024,2.000000
240,60008025,1.000000
240,60008026,1.000000
240,60008027,1.000000
240,60008028,1.000000
270,60009019,1.000000
270,60009020,3.000000
270,60009021,1.000000
270,60009022,1.000000
270,60009023,0.000000
270,60009024,1.000000
270,60009025,1.000000
270,60009026,1.000000
270,60009027,1.000000
270,60009028,2.000000
300,60010019,3.000000
300,60010020,2.000000
300,60010021,3.000000
300,60010022,4.000000
300,60010023,3.000000
300,60010024,2.000000
300,60010025,3.000000
300,60010026,3.000000
300,60010027,2.000000
300,60010028,3.000000
330,60011019,6.000000
330,60011020,3.000000
330,60011021,4.000000
330,60011022,4.000000
330,60011023,4.000000
330,60011024,4.000000
330,60011025,5.000000
330,60011026,5.000000
330,60011027,3.000000
330,60011028,4.000000
