diameter_multiplier,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
0.50,0,0,5,38.039,5.000000
0.50,1,0,5,35.998,5.000000
0.50,2,0,4,36.561,4.000000
0.50,3,0,4,37.890,4.000000
0.50,4,0,5,37.808,5.000000
0.50,5,0,4,38.273,4.000000
0.50,6,0,6,37.967,6.000000
0.50,7,0,6,37.751,6.000000
0.50,8,0,4,37.374,4.000000
0.50,9,0,3,37.515,3.000000
0.50,0,30,4,36.036,4.000000
0.50,1,30,5,36.800,5.000000
0.50,2,30,4,38.208,4.000000
0.50,3,30,7,38.010,7.000000
0.50,4,30,3,37.372,3.000000
0.50,5,30,5,36.678,5.000000
0.50,6,30,4,37.914,4.000000
0.50,7,30,2,37.040,2.000000
0.50,8,30,4,37.713,4.000000
0.50,9,30,3,37.361,3.000000
0.50,0,60,3,35.974,3.000000
0.50,1,60,2,37.381,2.000000
0.50,2,60,3,37.404,3.000000
0.50,3,60,3,37.743,3.000000
0.50,4,60,4,37.607,4.000000
0.50,5,60,3,36.279,3.000000
0.50,6,60,3,37.312,3.000000
0.50,7,60,3,37.714,3.000000
0.50,8,60,3,36.628,3.000000
0.50,9,60,3,36.478,3.000000
0.50,0,90,2,35.122,2.000000
0.50,1,90,2,37.585,2.000000
0.50,2,90,0,-52.024,0.000000
0.50,3,90,1,36.574,1.000000
0.50,4,90,2,37.448,2.000000
0.50,5,90,0,-48.142,0.000000
0.50,6,90,1,37.484,1.000000
0.50,7,90,3,36.795,3.000000
0.50,8,90,1,36.456,1.000000
0.50,9,90,1,36.531,1.000000
0.50,0,120,1,35.282,1.000000
0.50,1,120,1,35.292,1.000000
0.50,2,120,1,34.954,1.000000
0.50,3,120,1,36.731,1.000000
0.50,4,120,0,-49.978,0.000000
0.50,5,120,1,34.961,1.000000
0.50,6,120,0,-49.666,0.000000
0.50,7,120,0,-49.023,0.000000
0.50,8,120,1,37.056,1.000000
0.50,9,120,1,37.484,1.000000
0.50,0,150,0,-46.277,0.000000
0.50,1,150,1,37.369,1.000000
0.50,2,150,1,38.714,1.000000
0.50,3,150,1,35.649,1.000000
0.50,4,150,0,-52.538,0.000000
0.50,5,150,1,38.050,1.000000
0.50,6,150,1,35.535,1.000000
0.50,7,150,1,37.273,1.000000
0.50,8,150,1,36.599,1.000000
0.50,9,150,1,35.954,1.000000
0.50,0,180,1,37.111,1.000000
0.50,1,180,1,37.040,1.000000
0.50,2,180,1,36.481,1.000000
0.50,3,180,1,37.554,1.000000
0.50,4,180,1,35.357,1.000000
0.50,5,180,1,38.917,1.000000
0.50,6,180,1,37.219,1.000000
0.50,7,180,0,-51.676,0.000000
0.50,8,180,1,37.243,1.000000
0.50,9,180,0,-51.281,0.000000
0.50,0,210,0,-50.640,0.000000
0.50,1,210,0,-51.248,0.000000
0.50,2,210,0,-48.517,0.000000
0.50,3,210,1,37.737,1.000000
0.50,4,210,1,37.250,1.000000
0.50,5,210,1,37.187,1.000000
0.50,6,210,1,34.753,1.000000
0.50,7,210,1,35.882,1.000000
0.50,8,210,0,-53.058,0.000000
0.50,9,210,1,37.465,1.000000
0.50,0,240,1,37.068,1.000000
0.50,1,240,1,35.923,1.000000
0.50,2,240,0,-46.710,0.000000
0.50,3,240,1,36.455,1.000000
0.50,4,240,1,36.829,1.000000
0.50,5,240,1,36.930,1.000000
0.50,6,240,1,37.142,1.000000
0.50,7,240,1,38.023,1.000000
0.50,8,240,1,36.284,1.000000
0.50,9,240,1,37.081,1.000000
0.50,0,270,2,38.103,2.000000
0.50,1,270,2,36.237,2.000000
0.50,2,270,2,38.022,2.000000
0.50,3,270,2,37.329,2.000000
0.50,4,270,1,36.562,1.000000
0.50,5,270,1,37.224,1.000000
0.50,6,270,1,38.035,1.000000
0.50,7,270,1,37.585,1.000000
0.50,8,270,2,39.012,2.000000
0.50,9,270,1,37.663,1.000000
0.50,0,300,3,37.598,3.000000
0.50,1,300,3,37.841,3.000000
0.50,2,300,2,37.011,2.000000
0.50,3,300,1,38.474,1.000000
0.50,4,300,4,37.245,4.000000
0.50,5,300,2,36.710,2.000000
0.50,6,300,3,37.180,3.000000
0.50,7,300,1,37.704,1.000000
0.50,8,300,4,38.107,4.000000
0.50,9,300,3,36.751,3.000000
0.50,0,330,4,37.773,4.000000
0.50,1,330,4,37.351,4.000000
0.50,2,330,4,37.595,4.000000
0.50,3,330,4,38.404,4.000000
0.50,4,330,4,37.880,4.000000
0.50,5,330,4,37.431,4.000000
0.50,6,330,3,37.553,3.000000
0.50,7,330,4,37.812,4.000000
0.50,8,330,3,37.097,3.000000
0.50,9,330,4,38.407,4.000000
0.75,0,0,6,37.868,6.000000
0.75,1,0,5,38.760,5.000000
0.75,2,0,7,37.171,7.000000
0.75,3,0,6,38.711,6.000000
0.75,4,0,6,37.373,6.000000
0.75,5,0,4,38.165,4.000000
0.75,6,0,5,37.901,5.000000
0.75,7,0,5,37.094,5.000000
0.75,8,0,6,37.301,6.000000
0.75,9,0,4,37.301,4.000000
0.75,0,30,6,38.589,6.000000
0.75,1,30,4,37.285,4.000000
0.75,2,30,7,36.976,7.000000
0.75,3,30,6,37.494,6.000000
0.75,4,30,5,36.696,5.000000
0.75,5,30,4,37.716,4.000000
0.75,6,30,6,37.615,6.000000
0.75,7,30,5,37.350,5.000000
0.75,8,30,4,37.659,4.000000
0.75,9,30,4,36.547,4.000000
0.75,0,60,3,35.940,3.000000
0.75,1,60,6,36.562,6.000000
0.75,2,60,5,36.837,5.000000
0.75,3,60,5,37.241,5.000000
0.75,4,60,3,37.761,3.000000
0.75,5,60,3,37.018,3.000000
0.75,6,60,4,38.436,4.000000
0.75,7,60,5,37.496,5.000000
0.75,8,60,2,36.471,2.000000
0.75,9,60,5,36.560,5.000000
0.75,0,90,2,37.071,2.000000
0.75,1,90,2,35.172,2.000000
0.75,2,90,3,37.608,3.000000
0.75,3,90,4,36.795,4.000000
0.75,4,90,2,36.404,2.000000
0.75,5,90,3,36.223,3.000000
0.75,6,90,1,36.835,1.000000
0.75,7,90,2,38.176,2.000000
0.75,8,90,2,35.491,2.000000
0.75,9,90,1,36.358,1.000000
0.75,0,120,1,35.546,1.000000
0.75,1,120,1,36.766,1.000000
0.75,2,120,1,37.260,1.000000
0.75,3,120,2,34.975,2.000000
0.75,4,120,1,36.296,1.000000
0.75,5,120,1,38.150,1.000000
0.75,6,120,2,36.987,2.000000
0.75,7,120,2,36.533,2.000000
0.75,8,120,2,37.789,2.000000
0.75,9,120,1,36.430,1.000000
0.75,0,150,0,-53.879,0.000000
0.75,1,150,1,37.687,1.000000
0.75,2,150,1,37.739,1.000000
0.75,3,150,1,36.753,1.000000
0.75,4,150,2,36.895,2.000000
0.75,5,150,1,36.770,1.000000
0.75,6,150,0,-49.000,0.000000
0.75,7,150,1,35.483,1.000000
0.75,8,150,1,37.271,1.000000
0.75,9,150,1,37.436,1.000000
0.75,0,180,1,35.920,1.000000
0.75,1,180,1,37.608,1.000000
0.75,2,180,1,37.540,1.000000
0.75,3,180,1,37.575,1.000000
0.75,4,180,0,-52.554,0.000000
0.75,5,180,0,-54.394,0.000000
0.75,6,180,1,35.735,1.000000
0.75,7,180,1,36.823,1.000000
0.75,8,180,1,35.929,1.000000
0.75,9,180,1,36.659,1.000000
0.75,0,210,1,37.571,1.000000
0.75,1,210,0,-53.343,0.000000
0.75,2,210,1,35.953,1.000000
0.75,3,210,1,35.957,1.000000
0.75,4,210,1,38.094,1.000000
0.75,5,210,1,36.474,1.000000
0.75,6,210,1,35.947,1.000000
0.75,7,210,0,-45.132,0.000000
0.75,8,210,1,37.644,1.000000
0.75,9,210,1,38.087,1.000000
0.75,0,240,1,36.750,1.000000
0.75,1,240,1,36.390,1.000000
0.75,2,240,1,38.033,1.000000
0.75,3,240,1,37.535,1.000000
0.75,4,240,1,35.285,1.000000
0.75,5,240,1,37.588,1.000000
0.75,6,240,1,35.845,1.000000
0.75,7,240,1,36.186,1.000000
0.75,8,240,1,36.267,1.000000
0.75,9,240,1,37.317,1.000000
0.75,0,270,3,38.518,3.000000
0.75,1,270,1,36.607,1.000000
0.75,2,270,4,39.053,4.000000
0.75,3,270,2,37.690,2.000000
0.75,4,270,2,36.903,2.000000
0.75,5,270,1,36.889,1.000000
0.75,6,270,2,37.349,2.000000
0.75,7,270,2,37.830,2.000000
0.75,8,270,2,36.733,2.000000
0.75,9,270,2,38.327,2.000000
0.75,0,300,4,38.152,4.000000
0.75,1,300,4,37.978,4.000000
0.75,2,300,2,37.104,2.000000
0.75,3,300,2,35.675,2.000000
0.75,4,300,2,37.972,2.000000
0.75,5,300,3,37.815,3.000000
0.75,6,300,4,36.455,4.000000
0.75,7,300,4,37.251,4.000000
0.75,8,300,4,36.486,4.000000
0.75,9,300,2,37.101,2.000000
0.75,0,330,4,38.156,4.000000
0.75,1,330,3,37.074,3.000000
0.75,2,330,5,38.498,5.000000
0.75,3,330,5,37.153,5.000000
0.75,4,330,6,37.754,6.000000
0.75,5,330,4,38.785,4.000000
0.75,6,330,4,39.116,4.000000
0.75,7,330,5,37.103,5.000000
0.75,8,330,5,37.678,5.000000
0.75,9,330,4,37.661,4.000000
1.00,0,0,5,36.480,5.000000
1.00,1,0,6,37.641,6.000000
1.00,2,0,5,37.498,5.000000
1.00,3,0,6,37.857,6.000000
1.00,4,0,5,36.798,5.000000
1.00,5,0,6,37.217,6.000000
1.00,6,0,5,37.151,5.000000
1.00,7,0,6,37.870,6.000000
1.00,8,0,6,38.328,6.000000
1.00,9,0,4,37.060,4.000000
1.00,0,30,5,37.547,5.000000
1.00,1,30,6,37.674,6.000000
1.00,2,30,4,38.181,4.000000
1.00,3,30,6,36.887,6.000000
1.00,4,30,4,37.379,4.000000
1.00,5,30,5,36.702,5.000000
1.00,6,30,2,36.225,2.000000
1.00,7,30,4,36.896,4.000000
1.00,8,30,5,37.543,5.000000
1.00,9,30,4,36.598,4.000000
1.00,0,60,2,37.200,2.000000
1.00,1,60,2,36.775,2.000000
1.00,2,60,5,36.603,5.000000
1.00,3,60,4,37.322,4.000000
1.00,4,60,4,36.102,4.000000
1.00,5,60,6,36.773,6.000000
1.00,6,60,5,36.363,5.000000
1.00,7,60,4,36.168,4.000000
1.00,8,60,3,36.621,3.000000
1.00,9,60,5,36.762,5.000000
1.00,0,90,5,36.814,5.000000
1.00,1,90,3,37.742,3.000000
1.00,2,90,1,35.176,1.000000
1.00,3,90,1,37.066,1.000000
1.00,4,90,3,38.116,3.000000
1.00,5,90,3,37.767,3.000000
1.00,6,90,2,36.290,2.000000
1.00,7,90,2,36.558,2.000000
1.00,8,90,3,37.105,3.000000
1.00,9,90,2,37.040,2.000000
1.00,0,120,1,35.463,1.000000
1.00,1,120,1,36.868,1.000000
1.00,2,120,1,33.996,1.000000
1.00,3,120,2,35.822,2.000000
1.00,4,120,2,35.494,2.000000
1.00,5,120,1,36.637,1.000000
1.00,6,120,2,37.820,2.000000
1.00,7,120,2,37.016,2.000000
1.00,8,120,2,37.610,2.000000
1.00,9,120,1,36.162,1.000000
1.00,0,150,1,36.761,1.000000
1.00,1,150,1,36.370,1.000000
1.00,2,150,1,37.493,1.000000
1.00,3,150,1,37.560,1.000000
1.00,4,150,1,35.883,1.000000
1.00,5,150,0,-49.568,0.000000
1.00,6,150,0,-50.003,0.000000
1.00,7,150,1,36.258,1.000000
