diameter_multiplier,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
0.50,0,0,14,44.662,14.000000
0.50,1,0,14,44.707,14.000000
0.50,2,0,14,44.688,14.000000
0.50,3,0,14,44.694,14.000000
0.50,4,0,14,44.680,14.000000
0.50,5,0,14,44.702,14.000000
0.50,6,0,14,44.687,14.000000
0.50,7,0,14,44.705,14.000000
0.50,8,0,14,44.695,14.000000
0.50,9,0,14,44.712,14.000000
0.50,0,30,13,44.486,13.000000
0.50,1,30,13,44.643,13.000000
0.50,2,30,13,44.645,13.000000
0.50,3,30,13,44.658,13.000000
0.50,4,30,13,44.611,13.000000
0.50,5,30,13,44.641,13.000000
0.50,6,30,13,44.625,13.000000
0.50,7,30,13,44.586,13.000000
0.50,8,30,13,44.605,13.000000
0.50,9,30,13,44.662,13.000000
0.50,0,60,13,44.247,13.000000
0.50,1,60,13,44.285,13.000000
0.50,2,60,13,44.345,13.000000
0.50,3,60,13,44.470,13.000000
0.50,4,60,13,44.316,13.000000
0.50,5,60,13,44.223,13.000000
0.50,6,60,13,44.336,13.000000
0.50,7,60,13,44.293,13.000000
0.50,8,60,13,44.376,13.000000
0.50,9,60,13,44.324,13.000000
0.50,0,90,13,44.113,13.000000
0.50,1,90,13,44.094,13.000000
0.50,2,90,13,44.090,13.000000
0.50,3,90,13,44.030,13.000000
0.50,4,90,13,44.249,13.000000
0.50,5,90,13,44.023,13.000000
0.50,6,90,13,44.028,13.000000
0.50,7,90,13,44.045,13.000000
0.50,8,90,13,44.189,13.000000
0.50,9,90,13,44.386,13.000000
0.50,0,120,15,44.735,15.000000
0.50,1,120,15,44.705,15.000000
0.50,2,120,15,44.743,15.000000
0.50,3,120,15,44.687,15.000000
0.50,4,120,15,44.731,15.000000
0.50,5,120,15,44.700,15.000000
0.50,6,120,15,44.714,15.000000
0.50,7,120,15,44.715,15.000000
0.50,8,120,15,44.713,15.000000
0.50,9,120,15,44.743,15.000000
0.50,0,150,6,41.326,6.000000
0.50,1,150,6,41.335,6.000000
0.50,2,150,6,41.345,6.000000
0.50,3,150,6,41.333,6.000000
0.50,4,150,6,41.328,6.000000
0.50,5,150,6,41.334,6.000000
0.50,6,150,6,41.332,6.000000
0.50,7,150,6,41.330,6.000000
0.50,8,150,6,41.345,6.000000
0.50,9,150,6,41.334,6.000000
0.50,0,180,0,-48.512,0.000000
0.50,1,180,0,-48.515,0.000000
0.50,2,180,0,-48.506,0.000000
0.50,3,180,0,-48.513,0.000000
0.50,4,180,0,-48.510,0.000000
0.50,5,180,0,-48.514,0.000000
0.50,6,180,0,-48.503,0.000000
0.50,7,180,0,-48.503,0.000000
0.50,8,180,0,-48.517,0.000000
0.50,9,180,0,-48.516,0.000000
0.50,0,210,0,-47.280,0.000000
0.50,1,210,0,-47.284,0.000000
0.50,2,210,0,-47.285,0.000000
0.50,3,210,0,-47.275,0.000000
0.50,4,210,0,-47.282,0.000000
0.50,5,210,0,-47.280,0.000000
0.50,6,210,0,-47.290,0.000000
0.50,7,210,0,-47.295,0.000000
0.50,8,210,0,-47.290,0.000000
0.50,9,210,0,-47.292,0.000000
0.50,0,240,0,-49.999,0.000000
0.50,1,240,0,-50.005,0.000000
0.50,2,240,0,-50.012,0.000000
0.50,3,240,0,-50.005,0.000000
0.50,4,240,0,-50.002,0.000000
0.50,5,240,0,-50.001,0.000000
0.50,6,240,0,-49.997,0.000000
0.50,7,240,0,-50.006,0.000000
0.50,8,240,0,-50.009,0.000000
0.50,9,240,0,-50.003,0.000000
0.50,0,270,0,-48.939,0.000000
0.50,1,270,0,-48.938,0.000000
0.50,2,270,0,-48.940,0.000000
0.50,3,270,0,-48.939,0.000000
0.50,4,270,0,-48.940,0.000000
0.50,5,270,0,-48.938,0.000000
0.50,6,270,0,-48.935,0.000000
0.50,7,270,0,-48.947,0.000000
0.50,8,270,0,-48.938,0.000000
0.50,9,270,0,-48.943,0.000000
0.50,0,300,0,-48.705,0.000000
0.50,1,300,0,-48.713,0.000000
0.50,2,300,0,-48.707,0.000000
0.50,3,300,0,-48.710,0.000000
0.50,4,300,0,-48.710,0.000000
0.50,5,300,0,-48.714,0.000000
0.50,6,300,0,-48.710,0.000000
0.50,7,300,0,-48.706,0.000000
0.50,8,300,0,-48.703,0.000000
0.50,9,300,0,-48.705,0.000000
0.50,0,330,13,43.882,13.000000
0.50,1,330,13,43.903,13.000000
0.50,2,330,13,43.872,13.000000
0.50,3,330,13,43.881,13.000000
0.50,4,330,13,43.886,13.000000
0.50,5,330,13,43.974,13.000000
0.50,6,330,13,43.881,13.000000
0.50,7,330,13,44.112,13.000000
0.50,8,330,13,43.875,13.000000
0.50,9,330,13,43.889,13.000000
0.75,0,0,14,44.626,14.000000
0.75,1,0,14,44.619,14.000000
0.75,2,0,14,44.627,14.000000
0.75,3,0,14,44.628,14.000000
0.75,4,0,14,44.623,14.000000
0.75,5,0,14,44.615,14.000000
0.75,6,0,14,44.629,14.000000
0.75,7,0,14,44.612,14.000000
0.75,8,0,14,44.621,14.000000
0.75,9,0,14,44.614,14.000000
0.75,0,30,14,43.713,14.000000
0.75,1,30,14,43.631,14.000000
0.75,2,30,14,43.628,14.000000
0.75,3,30,14,43.638,14.000000
0.75,4,30,14,43.626,14.000000
0.75,5,30,14,43.624,14.000000
0.75,6,30,14,43.635,14.000000
0.75,7,30,14,43.624,14.000000
0.75,8,30,14,43.633,14.000000
0.75,9,30,14,43.632,14.000000
0.75,0,60,12,44.552,12.000000
0.75,1,60,13,44.573,13.000000
0.75,2,60,12,44.609,12.000000
0.75,3,60,13,44.666,13.000000
0.75,4,60,13,44.589,13.000000
0.75,5,60,13,44.540,13.000000
0.75,6,60,12,44.598,12.000000
0.75,7,60,12,44.578,12.000000
0.75,8,60,12,44.623,12.000000
0.75,9,60,12,44.596,12.000000
0.75,0,90,13,43.536,13.000000
0.75,1,90,13,43.556,13.000000
0.75,2,90,13,43.551,13.000000
0.75,3,90,13,43.544,13.000000
0.75,4,90,13,43.548,13.000000
0.75,5,90,13,43.540,13.000000
0.75,6,90,13,43.549,13.000000
0.75,7,90,13,43.550,13.000000
0.75,8,90,13,43.550,13.000000
0.75,9,90,13,43.556,13.000000
0.75,0,120,15,43.711,15.000000
0.75,1,120,15,43.712,15.000000
0.75,2,120,15,43.706,15.000000
0.75,3,120,15,43.711,15.000000
0.75,4,120,15,43.709,15.000000
0.75,5,120,15,43.711,15.000000
0.75,6,120,15,43.708,15.000000
0.75,7,120,15,43.706,15.000000
0.75,8,120,15,43.703,15.000000
0.75,9,120,15,43.710,15.000000
0.75,0,150,6,41.335,6.000000
0.75,1,150,6,41.343,6.000000
0.75,2,150,6,41.349,6.000000
0.75,3,150,6,41.341,6.000000
0.75,4,150,6,41.338,6.000000
0.75,5,150,6,41.341,6.000000
0.75,6,150,6,41.341,6.000000
0.75,7,150,6,41.338,6.000000
0.75,8,150,6,41.350,6.000000
0.75,9,150,6,41.341,6.000000
0.75,0,180,0,-48.316,0.000000
0.75,1,180,0,-48.319,0.000000
0.75,2,180,0,-48.310,0.000000
0.75,3,180,0,-48.317,0.000000
0.75,4,180,0,-48.314,0.000000
0.75,5,180,0,-48.318,0.000000
0.75,6,180,0,-48.307,0.000000
0.75,7,180,0,-48.307,0.000000
0.75,8,180,0,-48.321,0.000000
0.75,9,180,0,-48.320,0.000000
0.75,0,210,0,-47.307,0.000000
0.75,1,210,0,-47.311,0.000000
0.75,2,210,0,-47.312,0.000000
0.75,3,210,0,-47.303,0.000000
0.75,4,210,0,-47.310,0.000000
0.75,5,210,0,-47.308,0.000000
0.75,6,210,0,-47.317,0.000000
0.75,7,210,0,-47.323,0.000000
0.75,8,210,0,-47.318,0.000000
0.75,9,210,0,-47.320,0.000000
0.75,0,240,0,-49.866,0.000000
0.75,1,240,0,-49.871,0.000000
0.75,2,240,0,-49.880,0.000000
0.75,3,240,0,-49.872,0.000000
0.75,4,240,0,-49.869,0.000000
0.75,5,240,0,-49.869,0.000000
0.75,6,240,0,-49.865,0.000000
0.75,7,240,0,-49.873,0.000000
0.75,8,240,0,-49.875,0.000000
0.75,9,240,0,-49.869,0.000000
0.75,0,270,0,-49.282,0.000000
0.75,1,270,0,-49.281,0.000000
0.75,2,270,0,-49.283,0.000000
0.75,3,270,0,-49.282,0.000000
0.75,4,270,0,-49.283,0.000000
0.75,5,270,0,-49.281,0.000000
0.75,6,270,0,-49.278,0.000000
0.75,7,270,0,-49.289,0.000000
0.75,8,270,0,-49.281,0.000000
0.75,9,270,0,-49.285,0.000000
0.75,0,300,0,-48.558,0.000000
0.75,1,300,0,-48.566,0.000000
0.75,2,300,0,-48.560,0.000000
0.75,3,300,0,-48.563,0.000000
0.75,4,300,0,-48.563,0.000000
0.75,5,300,0,-48.567,0.000000
0.75,6,300,0,-48.563,0.000000
0.75,7,300,0,-48.559,0.000000
0.75,8,300,0,-48.556,0.000000
0.75,9,300,0,-48.558,0.000000
0.75,0,330,13,44.604,13.000000
0.75,1,330,13,44.614,13.000000
0.75,2,330,13,44.602,13.000000
0.75,3,330,13,44.610,13.000000
0.75,4,330,13,44.611,13.000000
0.75,5,330,13,44.618,13.000000
0.75,6,330,13,44.613,13.000000
0.75,7,330,13,44.610,13.000000
0.75,8,330,13,44.606,13.000000
0.75,9,330,13,44.610,13.000000
1.00,0,0,14,44.294,14.000000
1.00,1,0,14,44.402,14.000000
1.00,2,0,14,44.367,14.000000
1.00,3,0,14,44.424,14.000000
1.00,4,0,14,44.380,14.000000
1.00,5,0,14,44.355,14.000000
1.00,6,0,14,44.230,14.000000
1.00,7,0,14,44.412,14.000000
1.00,8,0,14,44.405,14.000000
1.00,9,0,14,44.284,14.000000
1.00,0,30,14,44.043,14.000000
1.00,1,30,14,43.790,14.000000
1.00,2,30,14,43.810,14.000000
1.00,3,30,14,43.775,14.000000
1.00,4,30,14,43.872,14.000000
1.00,5,30,14,43.793,14.000000
1.00,6,30,14,43.832,14.000000
1.00,7,30,14,43.887,14.000000
1.00,8,30,14,43.885,14.000000
1.00,9,30,14,43.801,14.000000
1.00,0,60,13,43.647,13.000000
1.00,1,60,13,43.706,13.000000
1.00,2,60,13,43.806,13.000000
1.00,3,60,13,44.008,13.000000
1.00,4,60,13,43.763,13.000000
1.00,5,60,13,43.607,13.000000
1.00,6,60,13,43.798,13.000000
1.00,7,60,13,43.704,13.000000
1.00,8,60,13,43.848,13.000000
1.00,9,60,13,43.781,13.000000
1.00,0,90,13,44.505,13.000000
1.00,1,90,13,44.528,13.000000
1.00,2,90,13,44.519,13.000000
1.00,3,90,13,44.525,13.000000
1.00,4,90,13,44.493,13.000000
1.00,5,90,13,44.522,13.000000
1.00,6,90,13,44.525,13.000000
1.00,7,90,13,44.528,13.000000
1.00,8,90,13,44.508,13.000000
1.00,9,90,13,44.467,13.000000
1.00,0,120,15,44.606,15.000000
1.00,1,120,15,44.572,15.000000
1.00,2,120,15,44.608,15.000000
1.00,3,120,15,44.579,15.000000
1.00,4,120,15,44.608,15.000000
1.00,5,120,15,44.568,15.000000
1.00,6,120,15,44.575,15.000000
1.00,7,120,15,44.603,15.000000
1.00,8,120,15,44.578,15.000000
1.00,9,120,15,44.619,15.000000
1.00,0,150,6,41.277,6.000000
1.00,1,150,6,41.285,6.000000
1.00,2,150,6,41.292,6.000000
1.00,3,150,6,41.283,6.000000
1.00,4,150,6,41.280,6.000000
1.00,5,150,6,41.283,6.000000
1.00,6,150,6,41.283,6.000000
1.00,7,150,6,41.280,6.000000
1.00,8,150,6,41.293,6.000000
1.00,9,150,6,41.284,6.000000
1.00,0,180,0,-48.247,0.000000
1.00,1,180,0,-48.251,0.000000
1.00,2,180,0,-48.242,0.000000
1.00,3,180,0,-48.248,0.000000
1.00,4,180,0,-48.245,0.000000
1.00,5,180,0,-48.250,0.000000
1.00,6,180,0,-48.239,0.000000
1.00,7,180,0,-48.238,0.000000
1.00,8,180,0,-48.252,0.000000
1.00,9,180,0,-48.252,0.000000
1.00,0,210,0,-47.458,0.000000
1.00,1,210,0,-47.460,0.000000
1.00,2,210,0,-47.461,0.000000
1.00,3,210,0,-47.454,0.000000
1.00,4,210,0,-47.462,0.000000
1.00,5,210,0,-47.458,0.000000
1.00,6,210,0,-47.467,0.000000
1.00,7,210,0,-47.470,0.000000
1.00,8,210,0,-47.463,0.000000
1.00,9,210,0,-47.471,0.000000
1.00,0,240,0,-49.874,0.000000
1.00,1,240,0,-49.876,0.000000
1.00,2,240,0,-49.888,0.000000
1.00,3,240,0,-49.883,0.000000
1.00,4,240,0,-49.880,0.000000
1.00,5,240,0,-49.879,0.000000
1.00,6,240,0,-49.875,0.000000
1.00,7,240,0,-49.879,0.000000
1.00,8,240,0,-49.881,0.000000
1.00,9,240,0,-49.875,0.000000
1.00,0,270,0,-49.478,0.000000
1.00,1,270,0,-49.477,0.000000
