gaba_null_ns,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
4.00,0,0,14,44.294,14.000000
4.00,1,0,14,44.402,14.000000
4.00,2,0,14,44.367,14.000000
4.00,3,0,14,44.424,14.000000
4.00,4,0,14,44.380,14.000000
4.00,5,0,14,44.355,14.000000
4.00,6,0,14,44.230,14.000000
4.00,7,0,14,44.412,14.000000
4.00,8,0,14,44.405,14.000000
4.00,9,0,14,44.284,14.000000
4.00,0,30,14,44.043,14.000000
4.00,1,30,14,43.790,14.000000
4.00,2,30,14,43.810,14.000000
4.00,3,30,14,43.775,14.000000
4.00,4,30,14,43.872,14.000000
4.00,5,30,14,43.793,14.000000
4.00,6,30,14,43.832,14.000000
4.00,7,30,14,43.887,14.000000
4.00,8,30,14,43.885,14.000000
4.00,9,30,14,43.801,14.000000
4.00,0,60,13,43.647,13.000000
4.00,1,60,13,43.706,13.000000
4.00,2,60,13,43.806,13.000000
4.00,3,60,13,44.008,13.000000
4.00,4,60,13,43.763,13.000000
4.00,5,60,13,43.607,13.000000
4.00,6,60,13,43.798,13.000000
4.00,7,60,13,43.704,13.000000
4.00,8,60,13,43.848,13.000000
4.00,9,60,13,43.781,13.000000
4.00,0,90,13,44.505,13.000000
4.00,1,90,13,44.528,13.000000
4.00,2,90,13,44.519,13.000000
4.00,3,90,13,44.525,13.000000
4.00,4,90,13,44.493,13.000000
4.00,5,90,13,44.522,13.000000
4.00,6,90,13,44.525,13.000000
4.00,7,90,13,44.528,13.000000
4.00,8,90,13,44.508,13.000000
4.00,9,90,13,44.467,13.000000
4.00,0,120,15,43.607,15.000000
4.00,1,120,15,43.612,15.000000
4.00,2,120,15,43.606,15.000000
4.00,3,120,15,43.613,15.000000
4.00,4,120,15,43.602,15.000000
4.00,5,120,15,43.605,15.000000
4.00,6,120,15,43.606,15.000000
4.00,7,120,15,43.607,15.000000
4.00,8,120,15,43.603,15.000000
4.00,9,120,15,43.613,15.000000
4.00,0,150,6,41.182,6.000000
4.00,1,150,6,41.210,6.000000
4.00,2,150,6,41.186,6.000000
4.00,3,150,6,41.224,6.000000
4.00,4,150,6,41.202,6.000000
4.00,5,150,6,41.205,6.000000
4.00,6,150,6,41.202,6.000000
4.00,7,150,6,41.220,6.000000
4.00,8,150,6,41.195,6.000000
4.00,9,150,6,41.234,6.000000
4.00,0,180,6,42.941,6.000000
4.00,1,180,6,42.950,6.000000
4.00,2,180,6,42.944,6.000000
4.00,3,180,6,42.944,6.000000
4.00,4,180,6,42.942,6.000000
4.00,5,180,6,42.942,6.000000
4.00,6,180,6,42.942,6.000000
4.00,7,180,6,42.943,6.000000
4.00,8,180,6,42.938,6.000000
4.00,9,180,6,42.941,6.000000
4.00,0,210,6,42.509,6.000000
4.00,1,210,6,42.464,6.000000
4.00,2,210,6,42.585,6.000000
4.00,3,210,6,42.467,6.000000
4.00,4,210,6,42.470,6.000000
4.00,5,210,6,42.497,6.000000
4.00,6,210,6,42.521,6.000000
4.00,7,210,6,42.547,6.000000
4.00,8,210,6,42.573,6.000000
4.00,9,210,6,42.567,6.000000
4.00,0,240,1,42.454,1.000000
4.00,1,240,1,42.730,1.000000
4.00,2,240,1,42.949,1.000000
4.00,3,240,1,42.644,1.000000
4.00,4,240,1,42.424,1.000000
4.00,5,240,1,42.421,1.000000
4.00,6,240,1,42.459,1.000000
4.00,7,240,1,42.483,1.000000
4.00,8,240,1,42.734,1.000000
4.00,9,240,1,42.420,1.000000
4.00,0,270,11,42.993,11.000000
4.00,1,270,11,42.980,11.000000
4.00,2,270,11,42.970,11.000000
4.00,3,270,11,42.984,11.000000
4.00,4,270,11,42.976,11.000000
4.00,5,270,11,42.979,11.000000
4.00,6,270,11,42.991,11.000000
4.00,7,270,11,42.983,11.000000
4.00,8,270,11,43.006,11.000000
4.00,9,270,11,42.975,11.000000
4.00,0,300,6,42.127,6.000000
4.00,1,300,6,42.128,6.000000
4.00,2,300,6,42.111,6.000000
4.00,3,300,6,42.117,6.000000
4.00,4,300,6,42.117,6.000000
4.00,5,300,6,42.124,6.000000
4.00,6,300,6,42.120,6.000000
4.00,7,300,6,42.124,6.000000
4.00,8,300,6,42.116,6.000000
4.00,9,300,6,42.119,6.000000
4.00,0,330,14,43.843,14.000000
4.00,1,330,14,43.869,14.000000
4.00,2,330,14,43.832,14.000000
4.00,3,330,14,43.842,14.000000
4.00,4,330,14,43.845,14.000000
4.00,5,330,14,43.848,14.000000
4.00,6,330,14,43.838,14.000000
4.00,7,330,14,43.840,14.000000
4.00,8,330,14,43.834,14.000000
4.00,9,330,14,43.849,14.000000
2.00,0,0,14,44.294,14.000000
2.00,1,0,14,44.402,14.000000
2.00,2,0,14,44.367,14.000000
2.00,3,0,14,44.424,14.000000
2.00,4,0,14,44.380,14.000000
2.00,5,0,14,44.355,14.000000
2.00,6,0,14,44.230,14.000000
2.00,7,0,14,44.412,14.000000
2.00,8,0,14,44.405,14.000000
2.00,9,0,14,44.284,14.000000
2.00,0,30,14,44.043,14.000000
2.00,1,30,14,43.790,14.000000
2.00,2,30,14,43.810,14.000000
2.00,3,30,14,43.775,14.000000
2.00,4,30,14,43.872,14.000000
2.00,5,30,14,43.793,14.000000
2.00,6,30,14,43.832,14.000000
2.00,7,30,14,43.887,14.000000
2.00,8,30,14,43.885,14.000000
2.00,9,30,14,43.801,14.000000
2.00,0,60,13,43.647,13.000000
2.00,1,60,13,43.706,13.000000
2.00,2,60,13,43.806,13.000000
2.00,3,60,13,44.008,13.000000
2.00,4,60,13,43.763,13.000000
2.00,5,60,13,43.607,13.000000
2.00,6,60,13,43.798,13.000000
2.00,7,60,13,43.704,13.000000
2.00,8,60,13,43.848,13.000000
2.00,9,60,13,43.781,13.000000
2.00,0,90,13,44.505,13.000000
