diameter_multiplier,trial,direction_deg,spike_count,peak_mv,firing_rate_hz
0.50,0,0,14,44.662,14.000000
0.50,1,0,14,44.707,14.000000
0.50,2,0,14,44.688,14.000000
0.50,3,0,14,44.694,14.000000
0.50,4,0,14,44.680,14.000000
0.50,5,0,14,44.702,14.000000
0.50,6,0,14,44.687,14.000000
0.50,7,0,14,44.705,14.000000
0.50,8,0,14,44.695,14.000000
0.50,9,0,14,44.712,14.000000
0.50,0,30,13,44.486,13.000000
0.50,1,30,13,44.643,13.000000
0.50,2,30,13,44.645,13.000000
0.50,3,30,13,44.658,13.000000
0.50,4,30,13,44.611,13.000000
0.50,5,30,13,44.641,13.000000
0.50,6,30,13,44.625,13.000000
0.50,7,30,13,44.586,13.000000
0.50,8,30,13,44.605,13.000000
0.50,9,30,13,44.662,13.000000
0.50,0,60,13,44.247,13.000000
0.50,1,60,13,44.285,13.000000
0.50,2,60,13,44.345,13.000000
0.50,3,60,13,44.470,13.000000
0.50,4,60,13,44.316,13.000000
0.50,5,60,13,44.223,13.000000
0.50,6,60,13,44.336,13.000000
0.50,7,60,13,44.293,13.000000
0.50,8,60,13,44.376,13.000000
0.50,9,60,13,44.324,13.000000
0.50,0,90,13,44.113,13.000000
0.50,1,90,13,44.094,13.000000
0.50,2,90,13,44.090,13.000000
0.50,3,90,13,44.030,13.000000
0.50,4,90,13,44.249,13.000000
0.50,5,90,13,44.023,13.000000
0.50,6,90,13,44.028,13.000000
0.50,7,90,13,44.045,13.000000
0.50,8,90,13,44.189,13.000000
0.50,9,90,13,44.386,13.000000
0.50,0,120,15,44.220,15.000000
0.50,1,120,15,44.258,15.000000
0.50,2,120,15,44.192,15.000000
0.50,3,120,15,44.319,15.000000
0.50,4,120,15,44.233,15.000000
0.50,5,120,15,44.288,15.000000
0.50,6,120,15,44.287,15.000000
0.50,7,120,15,44.254,15.000000
0.50,8,120,15,44.286,15.000000
0.50,9,120,15,44.211,15.000000
0.50,0,150,6,42.155,6.000000
0.50,1,150,6,42.150,6.000000
0.50,2,150,6,42.153,6.000000
0.50,3,150,6,42.150,6.000000
0.50,4,150,6,42.146,6.000000
0.50,5,150,6,42.151,6.000000
0.50,6,150,6,42.154,6.000000
0.50,7,150,6,42.152,6.000000
0.50,8,150,6,42.149,6.000000
0.50,9,150,6,42.151,6.000000
0.50,0,180,6,43.118,6.000000
0.50,1,180,6,43.113,6.000000
0.50,2,180,6,43.118,6.000000
0.50,3,180,6,43.112,6.000000
0.50,4,180,6,43.117,6.000000
0.50,5,180,6,43.119,6.000000
0.50,6,180,6,43.116,6.000000
0.50,7,180,6,43.117,6.000000
0.50,8,180,6,43.116,6.000000
0.50,9,180,6,43.115,6.000000
0.50,0,210,6,43.717,6.000000
0.50,1,210,6,43.713,6.000000
0.50,2,210,6,43.729,6.000000
0.50,3,210,6,43.718,6.000000
0.50,4,210,6,43.719,6.000000
0.50,5,210,6,43.725,6.000000
0.50,6,210,6,43.704,6.000000
0.50,7,210,6,43.716,6.000000
0.50,8,210,6,43.729,6.000000
0.50,9,210,6,43.718,6.000000
0.50,0,240,1,43.702,1.000000
0.50,1,240,1,43.565,1.000000
0.50,2,240,1,43.446,1.000000
0.50,3,240,1,43.613,1.000000
0.50,4,240,1,43.719,1.000000
0.50,5,240,1,43.714,1.000000
0.50,6,240,1,43.707,1.000000
0.50,7,240,1,43.692,1.000000
0.50,8,240,1,43.567,1.000000
0.50,9,240,1,43.717,1.000000
0.50,0,270,11,43.210,11.000000
0.50,1,270,11,43.215,11.000000
0.50,2,270,11,43.209,11.000000
0.50,3,270,11,43.199,11.000000
0.50,4,270,11,43.200,11.000000
0.50,5,270,11,43.209,11.000000
0.50,6,270,11,43.209,11.000000
0.50,7,270,11,43.207,11.000000
0.50,8,270,11,43.208,11.000000
0.50,9,270,11,43.207,11.000000
0.50,0,300,6,42.071,6.000000
0.50,1,300,6,42.059,6.000000
0.50,2,300,6,42.070,6.000000
0.50,3,300,6,42.092,6.000000
0.50,4,300,6,42.050,6.000000
0.50,5,300,6,42.069,6.000000
0.50,6,300,6,42.073,6.000000
0.50,7,300,6,42.096,6.000000
0.50,8,300,6,42.075,6.000000
0.50,9,300,6,42.085,6.000000
0.50,0,330,14,44.320,14.000000
0.50,1,330,14,44.405,14.000000
0.50,2,330,14,44.350,14.000000
0.50,3,330,14,44.031,14.000000
0.50,4,330,14,44.507,14.000000
0.50,5,330,14,44.489,14.000000
0.50,6,330,14,44.660,14.000000
0.50,7,330,14,44.038,14.000000
0.50,8,330,14,44.649,14.000000
0.50,9,330,14,44.025,14.000000
0.75,0,0,14,44.626,14.000000
0.75,1,0,14,44.619,14.000000
0.75,2,0,14,44.627,14.000000
0.75,3,0,14,44.628,14.000000
0.75,4,0,14,44.623,14.000000
0.75,5,0,14,44.615,14.000000
0.75,6,0,14,44.629,14.000000
0.75,7,0,14,44.612,14.000000
0.75,8,0,14,44.621,14.000000
0.75,9,0,14,44.614,14.000000
0.75,0,30,14,43.713,14.000000
0.75,1,30,14,43.631,14.000000
0.75,2,30,14,43.628,14.000000
0.75,3,30,14,43.638,14.000000
0.75,4,30,14,43.626,14.000000
0.75,5,30,14,43.624,14.000000
0.75,6,30,14,43.635,14.000000
0.75,7,30,14,43.624,14.000000
0.75,8,30,14,43.633,14.000000
0.75,9,30,14,43.632,14.000000
0.75,0,60,12,44.552,12.000000
0.75,1,60,13,44.573,13.000000
0.75,2,60,12,44.609,12.000000
0.75,3,60,13,44.666,13.000000
0.75,4,60,13,44.589,13.000000
0.75,5,60,13,44.540,13.000000
0.75,6,60,12,44.598,12.000000
0.75,7,60,12,44.578,12.000000
0.75,8,60,12,44.623,12.000000
0.75,9,60,12,44.596,12.000000
0.75,0,90,13,43.536,13.000000
0.75,1,90,13,43.556,13.000000
0.75,2,90,13,43.551,13.000000
0.75,3,90,13,43.544,13.000000
0.75,4,90,13,43.548,13.000000
0.75,5,90,13,43.540,13.000000
0.75,6,90,13,43.549,13.000000
0.75,7,90,13,43.550,13.000000
0.75,8,90,13,43.550,13.000000
0.75,9,90,13,43.556,13.000000
0.75,0,120,15,44.679,15.000000
0.75,1,120,15,44.703,15.000000
0.75,2,120,15,44.676,15.000000
0.75,3,120,15,44.709,15.000000
0.75,4,120,15,44.680,15.000000
0.75,5,120,15,44.712,15.000000
0.75,6,120,15,44.705,15.000000
0.75,7,120,15,44.686,15.000000
0.75,8,120,15,44.691,15.000000
0.75,9,120,15,44.671,15.000000
0.75,0,150,6,41.617,6.000000
0.75,1,150,6,41.643,6.000000
0.75,2,150,6,41.621,6.000000
0.75,3,150,6,41.656,6.000000
0.75,4,150,6,41.636,6.000000
0.75,5,150,6,41.638,6.000000
0.75,6,150,6,41.635,6.000000
0.75,7,150,6,41.653,6.000000
0.75,8,150,6,41.629,6.000000
0.75,9,150,6,41.664,6.000000
0.75,0,180,6,42.534,6.000000
0.75,1,180,6,42.571,6.000000
0.75,2,180,6,42.532,6.000000
0.75,3,180,6,42.555,6.000000
0.75,4,180,6,42.520,6.000000
0.75,5,180,6,42.538,6.000000
0.75,6,180,6,42.547,6.000000
0.75,7,180,6,42.543,6.000000
0.75,8,180,6,42.532,6.000000
0.75,9,180,6,42.547,6.000000
0.75,0,210,6,43.386,6.000000
0.75,1,210,6,43.383,6.000000
0.75,2,210,6,43.383,6.000000
0.75,3,210,6,43.380,6.000000
0.75,4,210,6,43.351,6.000000
0.75,5,210,6,43.383,6.000000
0.75,6,210,6,43.415,6.000000
0.75,7,210,6,43.405,6.000000
0.75,8,210,6,43.380,6.000000
0.75,9,210,6,43.391,6.000000
0.75,0,240,1,42.738,1.000000
0.75,1,240,1,43.038,1.000000
0.75,2,240,1,43.218,1.000000
0.75,3,240,1,42.967,1.000000
0.75,4,240,1,42.706,1.000000
0.75,5,240,1,42.705,1.000000
0.75,6,240,1,42.751,1.000000
0.75,7,240,1,42.779,1.000000
0.75,8,240,1,43.046,1.000000
0.75,9,240,1,42.687,1.000000
0.75,0,270,11,42.909,11.000000
0.75,1,270,11,42.951,11.000000
0.75,2,270,11,42.951,11.000000
0.75,3,270,11,42.982,11.000000
0.75,4,270,11,42.986,11.000000
0.75,5,270,11,42.930,11.000000
0.75,6,270,11,42.987,11.000000
0.75,7,270,11,42.924,11.000000
0.75,8,270,11,42.954,11.000000
0.75,9,270,11,43.000,11.000000
0.75,0,300,6,42.132,6.000000
0.75,1,300,6,42.116,6.000000
0.75,2,300,6,42.142,6.000000
0.75,3,300,6,42.131,6.000000
0.75,4,300,6,42.125,6.000000
0.75,5,300,6,42.127,6.000000
0.75,6,300,6,42.128,6.000000
0.75,7,300,6,42.132,6.000000
0.75,8,300,6,42.123,6.000000
0.75,9,300,6,42.127,6.000000
0.75,0,330,14,43.976,14.000000
0.75,1,330,14,43.914,14.000000
0.75,2,330,14,43.907,14.000000
0.75,3,330,14,44.070,14.000000
0.75,4,330,14,43.915,14.000000
0.75,5,330,14,43.941,14.000000
0.75,6,330,14,43.756,14.000000
0.75,7,330,14,44.072,14.000000
0.75,8,330,14,43.742,14.000000
0.75,9,330,14,44.214,14.000000
1.00,0,0,14,44.294,14.000000
1.00,1,0,14,44.402,14.000000
1.00,2,0,14,44.367,14.000000
1.00,3,0,14,44.424,14.000000
1.00,4,0,14,44.380,14.000000
1.00,5,0,14,44.355,14.000000
1.00,6,0,14,44.230,14.000000
1.00,7,0,14,44.412,14.000000
1.00,8,0,14,44.405,14.000000
1.00,9,0,14,44.284,14.000000
1.00,0,30,14,44.043,14.000000
1.00,1,30,14,43.790,14.000000
1.00,2,30,14,43.810,14.000000
1.00,3,30,14,43.775,14.000000
1.00,4,30,14,43.872,14.000000
1.00,5,30,14,43.793,14.000000
1.00,6,30,14,43.832,14.000000
1.00,7,30,14,43.887,14.000000
1.00,8,30,14,43.885,14.000000
1.00,9,30,14,43.801,14.000000
1.00,0,60,13,43.647,13.000000
1.00,1,60,13,43.706,13.000000
1.00,2,60,13,43.806,13.000000
1.00,3,60,13,44.008,13.000000
1.00,4,60,13,43.763,13.000000
1.00,5,60,13,43.607,13.000000
1.00,6,60,13,43.798,13.000000
1.00,7,60,13,43.704,13.000000
1.00,8,60,13,43.848,13.000000
1.00,9,60,13,43.781,13.000000
1.00,0,90,13,44.505,13.000000
1.00,1,90,13,44.528,13.000000
1.00,2,90,13,44.519,13.000000
1.00,3,90,13,44.525,13.000000
1.00,4,90,13,44.493,13.000000
1.00,5,90,13,44.522,13.000000
1.00,6,90,13,44.525,13.000000
1.00,7,90,13,44.528,13.000000
1.00,8,90,13,44.508,13.000000
1.00,9,90,13,44.467,13.000000
1.00,0,120,15,43.607,15.000000
1.00,1,120,15,43.612,15.000000
1.00,2,120,15,43.606,15.000000
1.00,3,120,15,43.613,15.000000
1.00,4,120,15,43.602,15.000000
1.00,5,120,15,43.605,15.000000
1.00,6,120,15,43.606,15.000000
1.00,7,120,15,43.607,15.000000
1.00,8,120,15,43.603,15.000000
1.00,9,120,15,43.613,15.000000
1.00,0,150,6,41.182,6.000000
1.00,1,150,6,41.210,6.000000
1.00,2,150,6,41.186,6.000000
1.00,3,150,6,41.224,6.000000
1.00,4,150,6,41.202,6.000000
1.00,5,150,6,41.205,6.000000
1.00,6,150,6,41.202,6.000000
1.00,7,150,6,41.220,6.000000
1.00,8,150,6,41.195,6.000000
1.00,9,150,6,41.234,6.000000
1.00,0,180,6,42.941,6.000000
1.00,1,180,6,42.950,6.000000
1.00,2,180,6,42.944,6.000000
1.00,3,180,6,42.944,6.000000
1.00,4,180,6,42.942,6.000000
1.00,5,180,6,42.942,6.000000
1.00,6,180,6,42.942,6.000000
1.00,7,180,6,42.943,6.000000
1.00,8,180,6,42.938,6.000000
1.00,9,180,6,42.941,6.000000
1.00,0,210,6,42.509,6.000000
1.00,1,210,6,42.464,6.000000
1.00,2,210,6,42.585,6.000000
1.00,3,210,6,42.467,6.000000
1.00,4,210,6,42.470,6.000000
1.00,5,210,6,42.497,6.000000
1.00,6,210,6,42.521,6.000000
1.00,7,210,6,42.547,6.000000
1.00,8,210,6,42.573,6.000000
1.00,9,210,6,42.567,6.000000
1.00,0,240,1,42.454,1.000000
1.00,1,240,1,42.730,1.000000
1.00,2,240,1,42.949,1.000000
1.00,3,240,1,42.644,1.000000
1.00,4,240,1,42.424,1.000000
1.00,5,240,1,42.421,1.000000
1.00,6,240,1,42.459,1.000000
1.00,7,240,1,42.483,1.000000
1.00,8,240,1,42.734,1.000000
1.00,9,240,1,42.420,1.000000
1.00,0,270,11,42.993,11.000000
1.00,1,270,11,42.980,11.000000
1.00,2,270,11,42.970,11.000000
1.00,3,270,11,42.984,11.000000
1.00,4,270,11,42.976,11.000000
1.00,5,270,11,42.979,11.000000
1.00,6,270,11,42.991,11.000000
1.00,7,270,11,42.983,11.000000
1.00,8,270,11,43.006,11.000000
