trial_seed,direction_label,direction_deg,exptype,flicker_var,stim_noise_var,b2gnmda_ns,peak_psp_mv,baseline_psp_mv,spike_count,ap_rate_hz,notes
1,PD,0,1,0.0000,0.0000,0.5000,25.1433,6.0213,0,0.0000,fig1_control_gnmda05
2,PD,0,1,0.0000,0.0000,0.5000,23.3142,6.3660,0,0.0000,fig1_control_gnmda05
3,PD,0,1,0.0000,0.0000,0.5000,22.4125,6.0710,0,0.0000,fig1_control_gnmda05
4,PD,0,1,0.0000,0.0000,0.5000,22.1117,5.9935,0,0.0000,fig1_control_gnmda05
1,ND,180,1,0.0000,0.0000,0.5000,15.7583,5.5859,0,0.0000,fig1_control_gnmda05
2,ND,180,1,0.0000,0.0000,0.5000,16.2704,5.6475,0,0.0000,fig1_control_gnmda05
3,ND,180,1,0.0000,0.0000,0.5000,16.2895,5.6449,0,0.0000,fig1_control_gnmda05
4,ND,180,1,0.0000,0.0000,0.5000,17.2317,5.5781,0,0.0000,fig1_control_gnmda05
1,PD,0,1,0.0000,0.0000,2.5000,41.5947,8.2371,0,0.0000,fig1_control_gnmda25
2,PD,0,1,0.0000,0.0000,2.5000,41.9537,8.9460,0,0.0000,fig1_control_gnmda25
3,PD,0,1,0.0000,0.0000,2.5000,41.3415,8.3882,0,0.0000,fig1_control_gnmda25
4,PD,0,1,0.0000,0.0000,2.5000,41.4943,8.6424,0,0.0000,fig1_control_gnmda25
1,ND,180,1,0.0000,0.0000,2.5000,39.8375,6.8101,0,0.0000,fig1_control_gnmda25
2,ND,180,1,0.0000,0.0000,2.5000,39.4597,7.6590,0,0.0000,fig1_control_gnmda25
3,ND,180,1,0.0000,0.0000,2.5000,40.0085,7.4408,0,0.0000,fig1_control_gnmda25
4,ND,180,1,0.0000,0.0000,2.5000,40.3441,7.1834,0,0.0000,fig1_control_gnmda25
