trial_seed,direction_label,direction_deg,exptype,flicker_var,stim_noise_var,b2gnmda_ns,peak_psp_mv,baseline_psp_mv,spike_count,ap_rate_hz,notes
1,PD,0,1,0.0000,0.0000,0.0000,13.4480,5.6056,0,0.0000,fig3_gnmda_0.00
2,PD,0,1,0.0000,0.0000,0.0000,13.4876,5.8385,0,0.0000,fig3_gnmda_0.00
1,ND,180,1,0.0000,0.0000,0.0000,10.7538,5.4275,0,0.0000,fig3_gnmda_0.00
2,ND,180,1,0.0000,0.0000,0.0000,10.2374,5.4092,0,0.0000,fig3_gnmda_0.00
1,PD,0,1,0.0000,0.0000,0.5000,25.1433,6.0213,0,0.0000,fig3_gnmda_0.50
2,PD,0,1,0.0000,0.0000,0.5000,23.3142,6.3660,0,0.0000,fig3_gnmda_0.50
1,ND,180,1,0.0000,0.0000,0.5000,15.7583,5.5859,0,0.0000,fig3_gnmda_0.50
2,ND,180,1,0.0000,0.0000,0.5000,16.2704,5.6475,0,0.0000,fig3_gnmda_0.50
1,PD,0,1,0.0000,0.0000,1.5000,38.4935,7.2883,0,0.0000,fig3_gnmda_1.50
2,PD,0,1,0.0000,0.0000,1.5000,38.3822,7.9569,0,0.0000,fig3_gnmda_1.50
1,ND,180,1,0.0000,0.0000,1.5000,34.7347,6.0721,0,0.0000,fig3_gnmda_1.50
2,ND,180,1,0.0000,0.0000,1.5000,34.8858,6.5029,0,0.0000,fig3_gnmda_1.50
1,PD,0,1,0.0000,0.0000,2.5000,41.5947,8.2371,0,0.0000,fig3_gnmda_2.50
2,PD,0,1,0.0000,0.0000,2.5000,41.9537,8.9460,0,0.0000,fig3_gnmda_2.50
1,ND,180,1,0.0000,0.0000,2.5000,39.8375,6.8101,0,0.0000,fig3_gnmda_2.50
2,ND,180,1,0.0000,0.0000,2.5000,39.4597,7.6590,0,0.0000,fig3_gnmda_2.50
