trial_seed,direction_label,direction_deg,exptype,flicker_var,stim_noise_var,b2gnmda_ns,peak_psp_mv,baseline_psp_mv,spike_count,ap_rate_hz,notes
1,PD,0,1,0.0000,0.0000,0.5000,25.1433,6.0213,0,0.0000,fig6_control_noise0.00
2,PD,0,1,0.0000,0.0000,0.5000,23.3142,6.3660,0,0.0000,fig6_control_noise0.00
1,ND,180,1,0.0000,0.0000,0.5000,15.7583,5.5859,0,0.0000,fig6_control_noise0.00
2,ND,180,1,0.0000,0.0000,0.5000,16.2704,5.6475,0,0.0000,fig6_control_noise0.00
1,PD,0,2,0.0000,0.0000,0.5000,23.1455,6.1259,0,0.0000,fig6_zeromg_noise0.00
2,PD,0,2,0.0000,0.0000,0.5000,22.1906,6.4211,0,0.0000,fig6_zeromg_noise0.00
1,ND,180,2,0.0000,0.0000,0.5000,18.0697,5.7270,0,0.0000,fig6_zeromg_noise0.00
2,ND,180,2,0.0000,0.0000,0.5000,18.5164,5.8403,0,0.0000,fig6_zeromg_noise0.00
1,PD,0,1,0.1000,0.0000,0.5000,23.7133,7.4931,0,0.0000,fig6_control_noise0.10
2,PD,0,1,0.1000,0.0000,0.5000,21.6654,6.0271,0,0.0000,fig6_control_noise0.10
1,ND,180,1,0.1000,0.0000,0.5000,15.7484,7.0419,0,0.0000,fig6_control_noise0.10
2,ND,180,1,0.1000,0.0000,0.5000,16.4791,5.6399,0,0.0000,fig6_control_noise0.10
1,PD,0,2,0.1000,0.0000,0.5000,22.6684,7.6784,0,0.0000,fig6_zeromg_noise0.10
2,PD,0,2,0.1000,0.0000,0.5000,21.4008,6.1501,0,0.0000,fig6_zeromg_noise0.10
1,ND,180,2,0.1000,0.0000,0.5000,17.7671,7.4127,0,0.0000,fig6_zeromg_noise0.10
2,ND,180,2,0.1000,0.0000,0.5000,18.4260,5.8176,0,0.0000,fig6_zeromg_noise0.10
