trial_seed,direction_label,direction_deg,exptype,flicker_var,stim_noise_var,b2gnmda_ns,peak_psp_mv,baseline_psp_mv,spike_count,ap_rate_hz,notes
1,PD,0,1,0.0000,0.0000,0.5000,109.2493,6.1173,13,13.0000,fig8_control_noise0.00
2,PD,0,1,0.0000,0.0000,0.5000,109.4496,6.4902,18,18.0000,fig8_control_noise0.00
1,ND,180,1,0.0000,0.0000,0.5000,108.5497,5.6591,3,3.0000,fig8_control_noise0.00
2,ND,180,1,0.0000,0.0000,0.5000,108.4003,5.7234,3,3.0000,fig8_control_noise0.00
1,PD,0,1,0.0000,0.0000,0.0000,14.4005,5.6800,0,0.0000,fig8_ap5_noise0.00
2,PD,0,1,0.0000,0.0000,0.0000,14.6342,5.9237,0,0.0000,fig8_ap5_noise0.00
1,ND,180,1,0.0000,0.0000,0.0000,11.0721,5.4953,0,0.0000,fig8_ap5_noise0.00
2,ND,180,1,0.0000,0.0000,0.0000,10.5095,5.4766,0,0.0000,fig8_ap5_noise0.00
1,PD,0,2,0.0000,0.0000,0.5000,109.2357,6.2274,20,20.0000,fig8_zeromg_noise0.00
2,PD,0,2,0.0000,0.0000,0.5000,109.4321,6.5460,20,20.0000,fig8_zeromg_noise0.00
1,ND,180,2,0.0000,0.0000,0.5000,108.5065,5.8057,14,14.0000,fig8_zeromg_noise0.00
2,ND,180,2,0.0000,0.0000,0.5000,108.1391,5.9240,12,12.0000,fig8_zeromg_noise0.00
