condition,flicker_var,direction,trial_seed,peak_psp_mv,baseline_mean_mv,peak_g_nmda_summed_ns,peak_g_ampa_summed_ns,peak_g_sacexc_summed_ns,peak_g_sacinhib_summed_ns
control,0.0,PD,10000,24.154953704297043,6.0484085120051745,62.783750696272094,10.208282623458535,15.445482413940619,107.9480021525768
control,0.0,PD,10001,25.47769279308499,6.008963343940742,68.69965834856553,10.808711389080164,16.517812281427272,104.4213562002875
control,0.0,PD,10002,22.985787003216927,6.0067717654087005,60.4892520339543,10.122490085786884,14.871417857820306,110.62442727807674
control,0.0,PD,10003,23.882397474364062,6.125209031232082,65.23832555063758,10.042094792589053,15.521953919015449,106.71951564669516
control,0.0,ND,10010,15.66390727083187,5.647403766559208,33.079318996785666,11.520744171936926,15.885620477814193,217.16817324770938
control,0.0,ND,10011,16.6297564812643,5.582238276052259,36.26200848669556,11.419230834060931,14.863760218873965,205.82467407041898
control,0.0,ND,10012,15.963405288345363,5.697120299031873,33.408797714261496,10.964652703579516,15.43584974455587,219.9771051678706
control,0.0,ND,10013,17.562657192991068,5.646800862826218,31.805143954074133,10.014779900521456,13.980986772609333,214.18738963224033
control,0.1,PD,10100,22.337262834806005,6.159088726628227,68.34102724123291,9.979344727363294,15.723225056210172,124.92480657866271
control,0.1,PD,10101,21.631405790192005,6.915623938973361,44.618605440263885,12.567179285287054,16.1465135538683,101.8180687802921
control,0.1,PD,10102,23.336658770254843,7.260593735245536,61.75099657105902,10.056881764281774,16.07281924993088,110.11996927069572
control,0.1,PD,10103,22.647264566308365,9.345015810648881,64.2736540259605,11.60043826381918,21.640840394471624,131.41336802904695
control,0.1,ND,10110,16.410808478169074,11.074801320396467,34.05301810814651,11.037496408501067,17.189295028476575,234.83687585375543
control,0.1,ND,10111,16.642027843198107,7.910637230048714,35.94940979295769,10.419938668844429,16.863974398471218,198.70102220347673
control,0.1,ND,10112,15.872324584871457,8.639916258356507,36.97520915693799,12.613750806170076,15.115394785517942,222.3613017044545
control,0.1,ND,10113,18.074464484943533,9.533777173062234,40.67149948486716,11.647922174100001,18.31222336391035,254.1025823360842
control,0.3,PD,10200,23.525432930154338,6.173608134367122,74.43844441871921,12.561794427555697,18.25143543693957,144.44437550116305
control,0.3,PD,10201,24.622555043036428,10.30950938325148,81.77717614894375,13.220103711556282,24.27401431091668,168.64295522627134
control,0.3,PD,10202,22.83965599294236,8.309802232894597,69.09022715323529,12.394313923623617,18.469446573035242,122.282865761383
control,0.3,PD,10203,19.731676219606165,12.20342359364431,52.24895169052447,10.47824382981197,18.6405705689128,132.4778031935904
control,0.3,ND,10210,17.213101494154202,8.864619246576652,33.510609532618965,11.619257484037668,24.179804863680634,243.24624084914245
control,0.3,ND,10211,16.163759297357785,11.911533579031122,37.853728972516954,12.022388226615538,19.057508142126082,226.14349799547435
control,0.3,ND,10212,17.47085247847736,5.674693704169542,33.67087708734084,9.82391505644231,19.469572609332946,201.79853293839773
control,0.3,ND,10213,15.702292623189969,10.981604626115356,31.921033060079182,12.007847807450997,16.99228964610016,224.95022854049444
control,0.5,PD,10300,23.383828703515583,8.612073027150814,73.58750986937754,11.276937542082228,19.53156061894828,131.7744483008411
control,0.5,PD,10301,24.858784877197394,11.048927608334083,71.55370669548367,11.755045731067609,21.076380711236688,140.40125335165064
control,0.5,PD,10302,21.510898866094735,7.8839131791348365,55.8066479960644,10.752338293437683,18.102185709965035,127.95360999130058
control,0.5,PD,10303,23.058010306067466,14.359446657626684,71.9716138825749,13.82619047731762,31.445763462571364,174.5779669640491
control,0.5,ND,10310,18.925548734303675,14.333573705062285,34.93528140670596,14.439171853421588,43.145845257286695,263.72579236030293
control,0.5,ND,10311,15.881962963939188,13.2748099190743,31.406043859529213,10.127026878037015,23.92779042856536,213.2726512610141
control,0.5,ND,10312,17.791345435686992,5.656757763249722,31.045758895794656,10.729644011208759,25.422181241533654,191.35298691977226
control,0.5,ND,10313,15.599363485166066,7.141018149039269,34.47459598910202,10.022034246350662,19.19877594616593,212.11720983951327
AP5,0.0,PD,11000,13.007008730512304,5.63953129499339,0.0,10.335986488648013,14.378395528500196,106.69567883091173
AP5,0.0,PD,11001,13.229160009973327,5.717496680781807,0.0,10.276277388548824,15.838060511977151,109.55333973995899
AP5,0.0,PD,11002,13.277428872444908,5.575764341948002,0.0,10.52688307036539,14.835970943529185,111.05357317596128
AP5,0.0,PD,11003,13.11798440086055,5.624421056615773,0.0,10.25289976339386,16.73192788003918,116.00750395511285
AP5,0.0,ND,11010,11.814861747108829,5.464643856091058,0.0,10.204557741342361,15.417059379160552,212.3409544360416
AP5,0.0,ND,11011,10.700257684233982,5.38433549155522,0.0,9.784866368282604,15.782131866030602,212.06862600704355
AP5,0.0,ND,11012,10.6594039365987,5.436006263540804,0.0,10.12284385983305,15.395588397636878,208.50059874069788
AP5,0.0,ND,11013,10.515754351772621,5.4410723482834555,0.0,10.977002773337736,14.315469643480082,220.65143850436422
AP5,0.1,PD,11100,14.048388036080468,6.451998740650815,0.0,12.925901616402784,17.283106513254328,111.64822942070857
AP5,0.1,PD,11101,13.458246339103738,6.897782394705338,0.0,11.376888184341396,17.84887368014496,130.91091167866287
AP5,0.1,PD,11102,15.161064249652938,7.913842369274981,0.0,9.11448048776873,19.716092492036204,110.27613519013721
AP5,0.1,PD,11103,13.082741358892534,5.993257728021874,0.0,8.869021449448296,13.078613518497983,106.1805303420476
