b2gnmda_ns,direction,t_ms,v_mv
0.0,PD,0.0,-65.0
0.0,PD,0.25,-64.36631507354856
0.0,PD,0.5,-63.811151287806545
0.0,PD,0.75,-63.328024118709344
0.0,PD,1.0,-62.9058110299775
0.0,PD,1.25,-62.53746121485403
0.0,PD,1.5,-62.21638051770103
0.0,PD,1.75,-61.935201253938345
0.0,PD,2.0,-61.691080023775704
0.0,PD,2.25,-61.47760209927759
0.0,PD,2.5,-61.291986193469
0.0,PD,2.75,-61.12971544261628
0.0,PD,3.0,-60.988025339980275
0.0,PD,3.25,-60.86510036975432
0.0,PD,3.5,-60.75763350683014
0.0,PD,3.75,-60.66396869567825
0.0,PD,4.0,-60.58238571703383
0.0,PD,4.25,-60.51103618671968
0.0,PD,4.5,-60.44906990679956
0.0,PD,4.75,-60.39498540194524
0.0,PD,5.0,-60.34781954848357
0.0,PD,5.25,-60.306721444822166
0.0,PD,5.5,-60.27085436517712
0.0,PD,5.75,-60.23958394442936
0.0,PD,6.0,-60.212365153303736
0.0,PD,6.25,-60.18868564165851
0.0,PD,6.5,-60.16790472614919
0.0,PD,6.75,-60.14997977353696
0.0,PD,7.0,-60.1342418765417
0.0,PD,7.25,-60.12054953186943
0.0,PD,7.5,-60.108656911298326
0.0,PD,7.75,-60.098237517066444
0.0,PD,8.0,-60.089193764864866
0.0,PD,8.25,-60.081282615638266
0.0,PD,8.5,-60.074428535093915
0.0,PD,8.75,-60.06844984526503
0.0,PD,9.0,-60.06320128208677
0.0,PD,9.25,-60.05867144504766
0.0,PD,9.5,-60.05470492701608
0.0,PD,9.75,-60.0512421352694
0.0,PD,10.0,-60.04825812901549
0.0,PD,10.25,-60.045623904595644
0.0,PD,10.5,-60.043356628441984
0.0,PD,10.75,-60.041376984495244
0.0,PD,11.0,-60.03964736572546
0.0,PD,11.25,-60.038125299948916
0.0,PD,11.5,-60.036810166102384
0.0,PD,11.75,-60.035658960352805
0.0,PD,12.0,-60.0346639696668
0.0,PD,12.25,-60.03379974413102
0.0,PD,12.5,-60.033049214164265
0.0,PD,12.75,-60.03240066915418
0.0,PD,13.0,-60.03181337909821
0.0,PD,13.25,-60.03130398282836
0.0,PD,13.5,-60.03087366987707
0.0,PD,13.75,-60.030491788684046
0.0,PD,14.0,-60.030165620343226
0.0,PD,14.25,-60.029887953560284
0.0,PD,14.5,-60.02962477301075
0.0,PD,14.75,-60.029416456937824
0.0,PD,15.0,-60.02922483031412
0.0,PD,15.25,-60.02905033555658
0.0,PD,15.5,-60.02892368916083
0.0,PD,15.75,-60.02880419298799
0.0,PD,16.0,-60.028706101225396
0.0,PD,16.25,-60.02859981180921
0.0,PD,16.5,-60.02852141144312
0.0,PD,16.75,-60.028441100972394
0.0,PD,17.0,-60.02838331761128
0.0,PD,17.25,-60.02834536442516
0.0,PD,17.5,-60.028278992913215
