angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0,1,0,0.0000,-65.0000
0,1,8,0.0699,-64.9855
0,1,16,0.6811,-64.9173
0,1,24,5.5147,-64.6276
0,1,32,14.0905,-64.5433
0,1,40,22.6664,-64.5540
0,1,48,36.8228,-64.5609
0,1,56,100.0000,-64.5618
0,1,64,100.0348,-64.5435
0,1,72,100.0564,-64.5132
0,1,80,100.0925,-64.4311
0,1,88,100.2995,-63.4064
0,1,96,100.3621,-62.9605
0,1,104,100.4119,-62.5743
0,1,112,100.4886,-61.9369
0,1,120,100.5590,-61.3150
0,1,128,100.7335,-59.6830
0,1,136,100.9963,-57.1450
0,1,144,101.0603,-56.5289
0,1,152,101.1445,-55.7182
0,1,160,101.4422,-52.7481
0,1,168,101.7253,-49.3111
0,1,176,102.0078,-42.7418
0,1,184,102.1962,-30.7444
0,1,192,102.3712,-14.5750
0,1,200,102.5462,-1.1316
0,1,208,102.6630,5.7980
0,1,216,102.6817,6.7551
0,1,224,102.7400,9.4611
0,1,232,102.7669,10.5752
0,1,240,102.9000,14.9177
0,1,248,102.9614,16.3247
0,1,256,103.0649,17.9626
0,1,264,103.2101,18.9509
0,1,272,103.6717,15.2039
0,1,280,103.7688,13.5377
0,1,288,104.0300,8.1816
0,1,296,104.0925,6.7583
0,1,304,104.5004,-3.1797
0,1,312,104.7540,-9.5064
0,1,320,104.8485,-11.8235
0,1,328,105.0100,-15.6864
0,1,336,105.1387,-18.6526
0,1,344,105.8495,-32.6886
0,1,352,106.2345,-38.6824
0,1,360,106.4256,-41.3547
0,1,368,106.5797,-43.4011
0,1,376,107.0378,-48.9842
0,1,384,107.4202,-52.9863
0,1,392,107.4701,-53.4520
0,1,400,107.6325,-54.8537
0,1,408,107.9851,-57.3328
0,1,416,108.1354,-58.1810
0,1,424,108.2715,-58.8541
0,1,432,108.3505,-59.2025
0,1,440,108.4054,-59.4242
0,1,448,108.6248,-60.1569
0,1,456,108.6878,-60.3275
0,1,464,109.0898,-61.1208
0,1,472,109.2366,-61.3251
0,1,480,109.3128,-61.4150
0,1,488,109.3744,-61.4770
0,1,496,109.6450,-61.6377
0,1,504,109.7338,-61.6634
0,1,512,110.1000,-61.6794
0,1,520,110.2183,-61.6662
0,1,528,110.7499,-61.5467
0,1,536,110.9825,-61.5023
0,1,544,111.1656,-61.4626
0,1,552,111.2303,-61.4479
0,1,560,111.3350,-61.4205
0,1,568,111.4144,-61.3952
0,1,576,111.5401,-61.3453
0,1,584,111.6150,-61.3082
0,1,592,111.6721,-61.2754
0,1,600,111.7615,-61.2177
0,1,608,111.9950,-61.0306
0,1,616,112.0784,-60.9539
0,1,624,112.1726,-60.8618
0,1,632,112.2837,-60.7445
0,1,640,112.3292,-60.6919
0,1,648,112.5058,-60.4624
0,1,656,112.7115,-60.1602
0,1,664,113.2050,-59.4308
0,1,672,113.2340,-59.3923
0,1,680,113.3950,-59.1690
0,1,688,113.4904,-59.0333
0,1,696,113.6402,-58.8199
0,1,704,113.7703,-58.6348
0,1,712,113.9523,-58.3727
0,1,720,114.6145,-57.5074
0,1,728,115.6950,-56.8714
0,1,736,115.7548,-56.8634
0,1,744,116.0550,-56.8399
0,1,752,116.1153,-56.8370
0,1,760,116.2302,-56.8279
0,1,768,116.2774,-56.8233
0,1,776,116.5133,-56.7787
0,1,784,117.1831,-56.5927
0,1,792,117.6163,-56.5549
0,1,800,117.7351,-56.5543
0,1,808,117.9220,-56.5479
0,1,816,118.6233,-56.5309
0,1,824,118.8844,-56.5681
0,1,832,119.0951,-56.6141
0,1,840,119.3559,-56.6768
0,1,848,119.4401,-56.6992
0,1,856,119.6741,-56.7374
0,1,864,120.3977,-56.8187
0,1,872,120.8848,-56.9738
0,1,880,121.1918,-57.0942
0,1,888,121.8750,-57.4235
0,1,896,122.0373,-57.5153
0,1,904,122.1899,-57.5970
0,1,912,122.4545,-57.7162
0,1,920,123.3431,-58.1360
0,1,928,124.1068,-58.6686
0,1,936,124.3320,-58.8364
0,1,944,125.2469,-59.4783
0,1,952,127.4417,-61.2709
0,1,960,130.8650,-63.4606
0,1,968,130.9149,-63.4816
0,1,976,131.2691,-63.5774
0,1,984,132.1488,-63.6838
0,1,992,133.7550,-63.8824
0,1,1000,133.8059,-63.8889
0,1,1008,134.2381,-63.8830
0,1,1016,135.4045,-63.7922
0,1,1024,137.9729,-63.9466
0,1,1032,142.9987,-64.4441
0,1,1040,148.0246,-64.6100
0,1,1048,154.2900,-64.6153
0,1,1056,173.0008,-64.5645
0,1,1064,218.8178,-64.5605
0,1,1072,263.9092,-64.5604
0,1,1080,302.7579,-64.5606
0,2,0,0.0000,-65.0000
0,2,8,0.0699,-64.9855
0,2,16,0.6811,-64.9173
0,2,24,5.5147,-64.6276
0,2,32,14.0905,-64.5433
0,2,40,22.6664,-64.5540
0,2,48,36.8228,-64.5609
0,2,56,100.0000,-64.5618
0,2,64,100.0348,-64.5435
0,2,72,100.0564,-64.5132
0,2,80,100.0925,-64.4311
0,2,88,100.2995,-63.4064
0,2,96,100.3621,-62.9605
0,2,104,100.4119,-62.5743
0,2,112,100.4886,-61.9369
0,2,120,100.5590,-61.3150
0,2,128,100.7335,-59.6830
0,2,136,100.9963,-57.1450
0,2,144,101.0603,-56.5289
0,2,152,101.1445,-55.7182
0,2,160,101.4422,-52.7481
0,2,168,101.7253,-49.3111
0,2,176,102.0078,-42.7418
0,2,184,102.1962,-30.7444
0,2,192,102.3712,-14.5750
0,2,200,102.5462,-1.1316
0,2,208,102.6630,5.7980
0,2,216,102.6817,6.7551
0,2,224,102.7400,9.4611
0,2,232,102.7669,10.5752
0,2,240,102.9000,14.9177
0,2,248,102.9614,16.3247
0,2,256,103.0649,17.9626
0,2,264,103.2101,18.9509
0,2,272,103.6717,15.2039
0,2,280,103.7688,13.5377
0,2,288,104.0300,8.1816
0,2,296,104.0925,6.7583
0,2,304,104.5004,-3.1797
0,2,312,104.7540,-9.5064
0,2,320,104.8485,-11.8235
0,2,328,105.0100,-15.6864
0,2,336,105.1387,-18.6526
0,2,344,105.8495,-32.6886
0,2,352,106.2345,-38.6824
0,2,360,106.4256,-41.3547
0,2,368,106.5797,-43.4011
0,2,376,107.0378,-48.9842
0,2,384,107.4202,-52.9863
0,2,392,107.4701,-53.4520
0,2,400,107.6325,-54.8537
0,2,408,107.9851,-57.3328
0,2,416,108.1354,-58.1810
0,2,424,108.2715,-58.8541
0,2,432,108.3505,-59.2025
0,2,440,108.4054,-59.4242
0,2,448,108.6248,-60.1569
0,2,456,108.6878,-60.3275
0,2,464,109.0898,-61.1208
0,2,472,109.2366,-61.3251
0,2,480,109.3128,-61.4150
0,2,488,109.3744,-61.4770
0,2,496,109.6450,-61.6377
0,2,504,109.7338,-61.6634
0,2,512,110.1000,-61.6794
0,2,520,110.2183,-61.6662
0,2,528,110.7499,-61.5467
0,2,536,110.9825,-61.5023
0,2,544,111.1656,-61.4626
0,2,552,111.2303,-61.4479
0,2,560,111.3350,-61.4205
0,2,568,111.4144,-61.3952
0,2,576,111.5401,-61.3453
0,2,584,111.6150,-61.3082
0,2,592,111.6721,-61.2754
0,2,600,111.7615,-61.2177
0,2,608,111.9950,-61.0306
0,2,616,112.0784,-60.9539
0,2,624,112.1726,-60.8618
0,2,632,112.2837,-60.7445
0,2,640,112.3292,-60.6919
0,2,648,112.5058,-60.4624
0,2,656,112.7115,-60.1602
0,2,664,113.2050,-59.4308
0,2,672,113.2340,-59.3923
0,2,680,113.3950,-59.1690
0,2,688,113.4904,-59.0333
0,2,696,113.6402,-58.8199
0,2,704,113.7703,-58.6348
0,2,712,113.9523,-58.3727
0,2,720,114.6145,-57.5074
0,2,728,115.6950,-56.8714
0,2,736,115.7548,-56.8634
0,2,744,116.0550,-56.8399
0,2,752,116.1153,-56.8370
0,2,760,116.2302,-56.8279
0,2,768,116.2774,-56.8233
0,2,776,116.5133,-56.7787
0,2,784,117.1831,-56.5927
0,2,792,117.6163,-56.5549
0,2,800,117.7351,-56.5543
0,2,808,117.9220,-56.5479
0,2,816,118.6233,-56.5309
0,2,824,118.8844,-56.5681
0,2,832,119.0951,-56.6141
0,2,840,119.3559,-56.6768
0,2,848,119.4401,-56.6992
0,2,856,119.6741,-56.7374
0,2,864,120.3977,-56.8187
0,2,872,120.8848,-56.9738
0,2,880,121.1918,-57.0942
0,2,888,121.8750,-57.4235
0,2,896,122.0373,-57.5153
0,2,904,122.1899,-57.5970
0,2,912,122.4545,-57.7162
0,2,920,123.3431,-58.1360
0,2,928,124.1068,-58.6686
0,2,936,124.3320,-58.8364
0,2,944,125.2469,-59.4783
0,2,952,127.4417,-61.2709
0,2,960,130.8650,-63.4606
0,2,968,130.9149,-63.4816
0,2,976,131.2691,-63.5774
0,2,984,132.1488,-63.6838
0,2,992,133.7550,-63.8824
0,2,1000,133.8059,-63.8889
0,2,1008,134.2381,-63.8830
0,2,1016,135.4045,-63.7922
0,2,1024,137.9729,-63.9466
0,2,1032,142.9987,-64.4441
0,2,1040,148.0246,-64.6100
0,2,1048,154.2900,-64.6153
0,2,1056,173.0008,-64.5645
0,2,1064,218.8178,-64.5605
0,2,1072,263.9092,-64.5604
0,2,1080,302.7579,-64.5606
0,3,0,0.0000,-65.0000
0,3,8,0.0699,-64.9855
0,3,16,0.6811,-64.9173
0,3,24,5.5147,-64.6276
0,3,32,14.0905,-64.5433
0,3,40,22.6664,-64.5540
0,3,48,36.8228,-64.5609
0,3,56,100.0000,-64.5618
0,3,64,100.0348,-64.5435
0,3,72,100.0564,-64.5132
0,3,80,100.0925,-64.4311
0,3,88,100.2995,-63.4064
0,3,96,100.3621,-62.9605
0,3,104,100.4119,-62.5743
0,3,112,100.4886,-61.9369
0,3,120,100.5590,-61.3150
0,3,128,100.7335,-59.6830
0,3,136,100.9963,-57.1450
0,3,144,101.0603,-56.5289
0,3,152,101.1445,-55.7182
0,3,160,101.4422,-52.7481
0,3,168,101.7253,-49.3111
0,3,176,102.0078,-42.7418
0,3,184,102.1962,-30.7444
0,3,192,102.3712,-14.5750
0,3,200,102.5462,-1.1316
0,3,208,102.6630,5.7980
0,3,216,102.6817,6.7551
0,3,224,102.7400,9.4611
0,3,232,102.7669,10.5752
0,3,240,102.9000,14.9177
0,3,248,102.9614,16.3247
0,3,256,103.0649,17.9626
0,3,264,103.2101,18.9509
0,3,272,103.6717,15.2039
0,3,280,103.7688,13.5377
0,3,288,104.0300,8.1816
0,3,296,104.0925,6.7583
0,3,304,104.5004,-3.1797
0,3,312,104.7540,-9.5064
0,3,320,104.8485,-11.8235
0,3,328,105.0100,-15.6864
0,3,336,105.1387,-18.6526
0,3,344,105.8495,-32.6886
0,3,352,106.2345,-38.6824
0,3,360,106.4256,-41.3547
0,3,368,106.5797,-43.4011
0,3,376,107.0378,-48.9842
0,3,384,107.4202,-52.9863
0,3,392,107.4701,-53.4520
0,3,400,107.6325,-54.8537
0,3,408,107.9851,-57.3328
0,3,416,108.1354,-58.1810
0,3,424,108.2715,-58.8541
0,3,432,108.3505,-59.2025
0,3,440,108.4054,-59.4242
0,3,448,108.6248,-60.1569
0,3,456,108.6878,-60.3275
0,3,464,109.0898,-61.1208
0,3,472,109.2366,-61.3251
0,3,480,109.3128,-61.4150
0,3,488,109.3744,-61.4770
0,3,496,109.6450,-61.6377
0,3,504,109.7338,-61.6634
0,3,512,110.1000,-61.6794
0,3,520,110.2183,-61.6662
0,3,528,110.7499,-61.5467
0,3,536,110.9825,-61.5023
0,3,544,111.1656,-61.4626
0,3,552,111.2303,-61.4479
0,3,560,111.3350,-61.4205
0,3,568,111.4144,-61.3952
0,3,576,111.5401,-61.3453
0,3,584,111.6150,-61.3082
0,3,592,111.6721,-61.2754
0,3,600,111.7615,-61.2177
0,3,608,111.9950,-61.0306
0,3,616,112.0784,-60.9539
0,3,624,112.1726,-60.8618
0,3,632,112.2837,-60.7445
0,3,640,112.3292,-60.6919
0,3,648,112.5058,-60.4624
0,3,656,112.7115,-60.1602
0,3,664,113.2050,-59.4308
0,3,672,113.2340,-59.3923
0,3,680,113.3950,-59.1690
0,3,688,113.4904,-59.0333
0,3,696,113.6402,-58.8199
0,3,704,113.7703,-58.6348
0,3,712,113.9523,-58.3727
0,3,720,114.6145,-57.5074
0,3,728,115.6950,-56.8714
0,3,736,115.7548,-56.8634
0,3,744,116.0550,-56.8399
0,3,752,116.1153,-56.8370
0,3,760,116.2302,-56.8279
0,3,768,116.2774,-56.8233
0,3,776,116.5133,-56.7787
0,3,784,117.1831,-56.5927
0,3,792,117.6163,-56.5549
0,3,800,117.7351,-56.5543
0,3,808,117.9220,-56.5479
0,3,816,118.6233,-56.5309
0,3,824,118.8844,-56.5681
0,3,832,119.0951,-56.6141
0,3,840,119.3559,-56.6768
0,3,848,119.4401,-56.6992
0,3,856,119.6741,-56.7374
0,3,864,120.3977,-56.8187
0,3,872,120.8848,-56.9738
0,3,880,121.1918,-57.0942
0,3,888,121.8750,-57.4235
0,3,896,122.0373,-57.5153
0,3,904,122.1899,-57.5970
0,3,912,122.4545,-57.7162
0,3,920,123.3431,-58.1360
0,3,928,124.1068,-58.6686
0,3,936,124.3320,-58.8364
0,3,944,125.2469,-59.4783
0,3,952,127.4417,-61.2709
0,3,960,130.8650,-63.4606
0,3,968,130.9149,-63.4816
0,3,976,131.2691,-63.5774
0,3,984,132.1488,-63.6838
0,3,992,133.7550,-63.8824
0,3,1000,133.8059,-63.8889
0,3,1008,134.2381,-63.8830
0,3,1016,135.4045,-63.7922
