angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0,1,0,0.0000,-65.0000
0,1,8,0.0699,-64.9855
0,1,16,0.6811,-64.9173
0,1,24,5.5147,-64.6276
0,1,32,14.0905,-64.5433
0,1,40,22.6664,-64.5540
0,1,48,36.8228,-64.5609
0,1,56,100.0000,-64.5618
0,1,64,100.0366,-64.5433
0,1,72,100.0556,-64.5187
0,1,80,100.0783,-64.4755
0,1,88,100.2268,-63.9242
0,1,96,100.3393,-63.2785
0,1,104,100.3939,-62.9194
0,1,112,100.4842,-62.2793
0,1,120,100.5539,-61.7607
0,1,128,100.7276,-60.4295
0,1,136,100.9962,-58.4454
0,1,144,101.0616,-57.9965
0,1,152,101.2036,-57.0656
0,1,160,101.6499,-54.4682
0,1,168,102.0683,-51.9777
0,1,176,102.3932,-48.5485
0,1,184,102.6348,-41.1270
0,1,192,102.6800,-38.4175
0,1,200,102.7061,-36.5925
0,1,208,102.7452,-33.5724
0,1,216,102.8153,-27.6567
0,1,224,102.9000,-20.6334
0,1,232,102.9391,-17.6097
0,1,240,103.0600,-9.2950
0,1,248,103.1206,-5.7355
0,1,256,103.3788,4.9687
0,1,264,103.7102,9.5153
0,1,272,103.7720,9.5154
0,1,280,104.0298,7.5758
0,1,288,104.0739,6.9924
0,1,296,104.4166,0.8344
0,1,304,104.7309,-6.3122
0,1,312,104.8352,-8.8253
0,1,320,105.0100,-13.0900
0,1,328,105.1221,-15.8245
0,1,336,105.5280,-25.3829
0,1,344,106.0612,-36.4007
0,1,352,106.2400,-39.6826
0,1,360,106.4784,-43.8281
0,1,368,106.6119,-46.0668
0,1,376,107.0311,-52.6870
0,1,384,107.4200,-57.7453
0,1,392,107.4702,-58.2898
0,1,400,107.6541,-60.0543
0,1,408,107.9851,-62.4513
0,1,416,108.1294,-63.2462
0,1,424,108.2713,-63.9086
0,1,432,108.3496,-64.2258
0,1,440,108.4004,-64.4116
0,1,448,108.5811,-64.9581
0,1,456,108.6650,-65.1618
0,1,464,109.0321,-65.7780
0,1,472,109.2375,-66.0070
0,1,480,109.3130,-66.0752
0,1,488,109.3758,-66.1223
0,1,496,109.6450,-66.2303
0,1,504,109.7385,-66.2461
0,1,512,110.1000,-66.2526
0,1,520,110.1897,-66.2492
0,1,528,110.8211,-66.2231
0,1,536,110.9897,-66.2380
0,1,544,111.2250,-66.2561
0,1,552,111.2857,-66.2603
0,1,560,111.3508,-66.2625
0,1,568,111.5132,-66.2570
0,1,576,111.5704,-66.2511
0,1,584,111.6333,-66.2402
0,1,592,111.7401,-66.2136
0,1,600,111.9172,-66.1493
0,1,608,112.0206,-66.1034
0,1,616,112.1358,-66.0470
0,1,624,112.2551,-65.9827
0,1,632,112.2932,-65.9599
0,1,640,112.5050,-65.8061
0,1,648,112.5985,-65.7289
0,1,656,113.0595,-65.3592
0,1,664,113.2250,-65.2647
0,1,672,113.3521,-65.1973
0,1,680,113.4290,-65.1554
0,1,688,113.6201,-65.0541
0,1,696,113.7571,-64.9867
0,1,704,113.8430,-64.9459
0,1,712,114.2977,-64.7640
0,1,720,115.3835,-65.0022
0,1,728,115.7092,-65.2300
0,1,736,115.8907,-65.3688
0,1,744,116.0688,-65.5001
0,1,752,116.2200,-65.5999
0,1,760,116.2600,-65.6238
0,1,768,116.3358,-65.6653
0,1,776,116.7989,-65.8190
0,1,784,117.6050,-66.0920
0,1,792,117.7026,-66.1344
0,1,800,117.7882,-66.1675
0,1,808,118.2207,-66.2924
0,1,816,118.8750,-66.4978
0,1,824,118.9823,-66.5405
0,1,832,119.3500,-66.6721
0,1,840,119.4109,-66.6928
0,1,848,119.5200,-66.7233
0,1,856,120.0471,-66.7678
0,1,864,120.8750,-66.9172
0,1,872,121.0116,-66.9545
0,1,880,121.6243,-67.0917
0,1,888,121.9102,-67.1715
0,1,896,122.1700,-67.2280
0,1,904,122.2487,-67.2392
0,1,912,122.7938,-67.2537
0,1,920,124.0496,-67.4861
0,1,928,124.1412,-67.5153
0,1,936,124.5143,-67.5939
0,1,944,125.5649,-67.7966
0,1,952,128.3067,-68.5154
0,1,960,130.8650,-68.8349
0,1,968,130.9496,-68.8362
0,1,976,131.3947,-68.7761
0,1,984,132.5422,-68.5776
0,1,992,133.7552,-68.4908
0,1,1000,133.8736,-68.4813
0,1,1008,134.4029,-68.3690
0,1,1016,135.7913,-68.1363
0,1,1024,139.3331,-68.0898
0,1,1032,145.1505,-67.7817
0,1,1040,152.7985,-67.0803
0,1,1048,169.4654,-65.8467
0,1,1056,189.0881,-65.0818
0,1,1064,230.0752,-64.6299
0,1,1072,273.4277,-64.5693
0,1,1080,312.7275,-64.5632
0,1,1088,352.0273,-64.5616
0,1,1096,432.9176,-64.5611
0,2,0,0.0000,-65.0000
0,2,8,0.0699,-64.9855
0,2,16,0.6811,-64.9173
0,2,24,5.5147,-64.6276
0,2,32,14.0905,-64.5433
0,2,40,22.6664,-64.5540
0,2,48,36.8228,-64.5609
0,2,56,100.0000,-64.5618
0,2,64,100.0366,-64.5433
0,2,72,100.0556,-64.5187
0,2,80,100.0783,-64.4755
0,2,88,100.2268,-63.9242
0,2,96,100.3393,-63.2785
0,2,104,100.3939,-62.9194
0,2,112,100.4842,-62.2793
0,2,120,100.5539,-61.7607
0,2,128,100.7276,-60.4295
0,2,136,100.9962,-58.4454
0,2,144,101.0616,-57.9965
0,2,152,101.2036,-57.0656
0,2,160,101.6499,-54.4682
0,2,168,102.0683,-51.9777
0,2,176,102.3932,-48.5485
0,2,184,102.6348,-41.1270
0,2,192,102.6800,-38.4175
0,2,200,102.7061,-36.5925
0,2,208,102.7452,-33.5724
0,2,216,102.8153,-27.6567
0,2,224,102.9000,-20.6334
0,2,232,102.9391,-17.6097
0,2,240,103.0600,-9.2950
0,2,248,103.1206,-5.7355
0,2,256,103.3788,4.9687
0,2,264,103.7102,9.5153
0,2,272,103.7720,9.5154
0,2,280,104.0298,7.5758
0,2,288,104.0739,6.9924
0,2,296,104.4166,0.8344
0,2,304,104.7309,-6.3122
0,2,312,104.8352,-8.8253
0,2,320,105.0100,-13.0900
0,2,328,105.1221,-15.8245
0,2,336,105.5280,-25.3829
0,2,344,106.0612,-36.4007
0,2,352,106.2400,-39.6826
0,2,360,106.4784,-43.8281
0,2,368,106.6119,-46.0668
0,2,376,107.0311,-52.6870
0,2,384,107.4200,-57.7453
0,2,392,107.4702,-58.2898
0,2,400,107.6541,-60.0543
0,2,408,107.9851,-62.4513
0,2,416,108.1294,-63.2462
0,2,424,108.2713,-63.9086
0,2,432,108.3496,-64.2258
0,2,440,108.4004,-64.4116
0,2,448,108.5811,-64.9581
0,2,456,108.6650,-65.1618
0,2,464,109.0321,-65.7780
0,2,472,109.2375,-66.0070
0,2,480,109.3130,-66.0752
0,2,488,109.3758,-66.1223
0,2,496,109.6450,-66.2303
0,2,504,109.7385,-66.2461
0,2,512,110.1000,-66.2526
0,2,520,110.1897,-66.2492
0,2,528,110.8211,-66.2231
0,2,536,110.9897,-66.2380
0,2,544,111.2250,-66.2561
0,2,552,111.2857,-66.2603
0,2,560,111.3508,-66.2625
0,2,568,111.5132,-66.2570
0,2,576,111.5704,-66.2511
0,2,584,111.6333,-66.2402
0,2,592,111.7401,-66.2136
0,2,600,111.9172,-66.1493
0,2,608,112.0206,-66.1034
0,2,616,112.1358,-66.0470
0,2,624,112.2551,-65.9827
0,2,632,112.2932,-65.9599
0,2,640,112.5050,-65.8061
0,2,648,112.5985,-65.7289
0,2,656,113.0595,-65.3592
0,2,664,113.2250,-65.2647
0,2,672,113.3521,-65.1973
0,2,680,113.4290,-65.1554
0,2,688,113.6201,-65.0541
0,2,696,113.7571,-64.9867
0,2,704,113.8430,-64.9459
0,2,712,114.2977,-64.7640
0,2,720,115.3835,-65.0022
0,2,728,115.7092,-65.2300
0,2,736,115.8907,-65.3688
0,2,744,116.0688,-65.5001
0,2,752,116.2200,-65.5999
0,2,760,116.2600,-65.6238
0,2,768,116.3358,-65.6653
0,2,776,116.7989,-65.8190
0,2,784,117.6050,-66.0920
0,2,792,117.7026,-66.1344
0,2,800,117.7882,-66.1675
0,2,808,118.2207,-66.2924
0,2,816,118.8750,-66.4978
0,2,824,118.9823,-66.5405
0,2,832,119.3500,-66.6721
0,2,840,119.4109,-66.6928
0,2,848,119.5200,-66.7233
0,2,856,120.0471,-66.7678
0,2,864,120.8750,-66.9172
0,2,872,121.0116,-66.9545
0,2,880,121.6243,-67.0917
0,2,888,121.9102,-67.1715
0,2,896,122.1700,-67.2280
0,2,904,122.2487,-67.2392
0,2,912,122.7938,-67.2537
0,2,920,124.0496,-67.4861
0,2,928,124.1412,-67.5153
0,2,936,124.5143,-67.5939
0,2,944,125.5649,-67.7966
0,2,952,128.3067,-68.5154
0,2,960,130.8650,-68.8349
0,2,968,130.9496,-68.8362
0,2,976,131.3947,-68.7761
0,2,984,132.5422,-68.5776
0,2,992,133.7552,-68.4908
0,2,1000,133.8736,-68.4813
0,2,1008,134.4029,-68.3690
0,2,1016,135.7913,-68.1363
0,2,1024,139.3331,-68.0898
0,2,1032,145.1505,-67.7817
0,2,1040,152.7985,-67.0803
0,2,1048,169.4654,-65.8467
0,2,1056,189.0881,-65.0818
0,2,1064,230.0752,-64.6299
0,2,1072,273.4277,-64.5693
0,2,1080,312.7275,-64.5632
0,2,1088,352.0273,-64.5616
0,2,1096,432.9176,-64.5611
0,3,0,0.0000,-65.0000
0,3,8,0.0699,-64.9855
0,3,16,0.6811,-64.9173
0,3,24,5.5147,-64.6276
0,3,32,14.0905,-64.5433
0,3,40,22.6664,-64.5540
0,3,48,36.8228,-64.5609
0,3,56,100.0000,-64.5618
0,3,64,100.0366,-64.5433
0,3,72,100.0556,-64.5187
0,3,80,100.0783,-64.4755
0,3,88,100.2268,-63.9242
0,3,96,100.3393,-63.2785
0,3,104,100.3939,-62.9194
0,3,112,100.4842,-62.2793
0,3,120,100.5539,-61.7607
0,3,128,100.7276,-60.4295
0,3,136,100.9962,-58.4454
0,3,144,101.0616,-57.9965
0,3,152,101.2036,-57.0656
0,3,160,101.6499,-54.4682
0,3,168,102.0683,-51.9777
0,3,176,102.3932,-48.5485
0,3,184,102.6348,-41.1270
0,3,192,102.6800,-38.4175
0,3,200,102.7061,-36.5925
0,3,208,102.7452,-33.5724
0,3,216,102.8153,-27.6567
0,3,224,102.9000,-20.6334
0,3,232,102.9391,-17.6097
0,3,240,103.0600,-9.2950
0,3,248,103.1206,-5.7355
0,3,256,103.3788,4.9687
0,3,264,103.7102,9.5153
0,3,272,103.7720,9.5154
0,3,280,104.0298,7.5758
0,3,288,104.0739,6.9924
0,3,296,104.4166,0.8344
0,3,304,104.7309,-6.3122
0,3,312,104.8352,-8.8253
0,3,320,105.0100,-13.0900
0,3,328,105.1221,-15.8245
0,3,336,105.5280,-25.3829
0,3,344,106.0612,-36.4007
0,3,352,106.2400,-39.6826
0,3,360,106.4784,-43.8281
0,3,368,106.6119,-46.0668
0,3,376,107.0311,-52.6870
0,3,384,107.4200,-57.7453
0,3,392,107.4702,-58.2898
0,3,400,107.6541,-60.0543
0,3,408,107.9851,-62.4513
0,3,416,108.1294,-63.2462
0,3,424,108.2713,-63.9086
0,3,432,108.3496,-64.2258
0,3,440,108.4004,-64.4116
0,3,448,108.5811,-64.9581
0,3,456,108.6650,-65.1618
0,3,464,109.0321,-65.7780
0,3,472,109.2375,-66.0070
0,3,480,109.3130,-66.0752
0,3,488,109.3758,-66.1223
0,3,496,109.6450,-66.2303
0,3,504,109.7385,-66.2461
0,3,512,110.1000,-66.2526
0,3,520,110.1897,-66.2492
0,3,528,110.8211,-66.2231
0,3,536,110.9897,-66.2380
0,3,544,111.2250,-66.2561
0,3,552,111.2857,-66.2603
0,3,560,111.3508,-66.2625
0,3,568,111.5132,-66.2570
0,3,576,111.5704,-66.2511
0,3,584,111.6333,-66.2402
0,3,592,111.7401,-66.2136
0,3,600,111.9172,-66.1493
0,3,608,112.0206,-66.1034
0,3,616,112.1358,-66.0470
0,3,624,112.2551,-65.9827
0,3,632,112.2932,-65.9599
0,3,640,112.5050,-65.8061
0,3,648,112.5985,-65.7289
0,3,656,113.0595,-65.3592
0,3,664,113.2250,-65.2647
0,3,672,113.3521,-65.1973
0,3,680,113.4290,-65.1554
0,3,688,113.6201,-65.0541
0,3,696,113.7571,-64.9867
0,3,704,113.8430,-64.9459
0,3,712,114.2977,-64.7640
0,3,720,115.3835,-65.0022
0,3,728,115.7092,-65.2300
0,3,736,115.8907,-65.3688
0,3,744,116.0688,-65.5001
0,3,752,116.2200,-65.5999
0,3,760,116.2600,-65.6238
0,3,768,116.3358,-65.6653
0,3,776,116.7989,-65.8190
0,3,784,117.6050,-66.0920
0,3,792,117.7026,-66.1344
0,3,800,117.7882,-66.1675
0,3,808,118.2207,-66.2924
0,3,816,118.8750,-66.4978
0,3,824,118.9823,-66.5405
0,3,832,119.3500,-66.6721
0,3,840,119.4109,-66.6928
0,3,848,119.5200,-66.7233
0,3,856,120.0471,-66.7678
0,3,864,120.8750,-66.9172
0,3,872,121.0116,-66.9545
0,3,880,121.6243,-67.0917
0,3,888,121.9102,-67.1715
0,3,896,122.1700,-67.2280
0,3,904,122.2487,-67.2392
0,3,912,122.7938,-67.2537
0,3,920,124.0496,-67.4861
0,3,928,124.1412,-67.5153
0,3,936,124.5143,-67.5939
0,3,944,125.5649,-67.7966
0,3,952,128.3067,-68.5154
0,3,960,130.8650,-68.8349
0,3,968,130.9496,-68.8362
0,3,976,131.3947,-68.7761
