angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0,1,0,0.0000,-65.0000
0,1,8,0.0699,-64.9855
0,1,16,0.6811,-64.9173
0,1,24,5.5147,-64.6276
0,1,32,14.0905,-64.5433
0,1,40,22.6664,-64.5540
0,1,48,36.8228,-64.5609
0,1,56,100.0000,-64.5618
0,1,64,100.0454,-64.5647
0,1,72,100.0833,-64.5717
0,1,80,100.3251,-64.6910
0,1,88,100.3958,-64.7481
0,1,96,100.5136,-64.8611
0,1,104,100.6676,-65.0359
0,1,112,101.0073,-65.4939
0,1,120,101.1176,-65.6566
0,1,128,102.2479,-67.2803
0,1,136,102.6800,-67.7746
0,1,144,102.7902,-67.8859
0,1,152,102.9370,-68.0272
0,1,160,103.1198,-68.1921
0,1,168,103.7451,-68.6745
0,1,176,104.0300,-68.8513
0,1,184,104.3421,-69.0201
0,1,192,104.7976,-69.2225
0,1,200,104.9650,-69.2844
0,1,208,105.2472,-69.3785
0,1,216,106.2262,-69.6147
0,1,224,106.5350,-69.6615
0,1,232,106.8480,-69.7010
0,1,240,107.4290,-69.7543
0,1,248,107.7264,-69.7729
0,1,256,108.0605,-69.7901
0,1,264,108.3400,-69.8022
0,1,272,108.3960,-69.8048
0,1,280,108.6254,-69.8172
0,1,288,109.1761,-69.8529
0,1,296,109.3000,-69.8606
0,1,304,109.3693,-69.8651
0,1,312,109.6495,-69.8860
0,1,320,110.1001,-69.9217
0,1,328,110.7121,-69.9648
0,1,336,111.2250,-69.9905
0,1,344,111.3350,-69.9955
0,1,352,111.5400,-70.0050
0,1,360,111.6150,-70.0086
0,1,368,111.7401,-70.0151
0,1,376,111.9951,-70.0300
0,1,384,112.1310,-70.0387
0,1,392,112.2847,-70.0492
0,1,400,112.4841,-70.0649
0,1,408,112.6853,-70.0829
0,1,416,113.2051,-70.1315
0,1,424,113.3497,-70.1447
0,1,432,113.5930,-70.1675
0,1,440,113.7700,-70.1841
0,1,448,114.0176,-70.2077
0,1,456,115.1794,-70.2868
0,1,464,115.7742,-70.2990
0,1,472,116.0756,-70.2983
0,1,480,116.2530,-70.2971
0,1,488,116.4924,-70.2959
0,1,496,117.6050,-70.2839
0,1,504,117.7350,-70.2809
0,1,512,118.3830,-70.2662
0,1,520,118.8858,-70.2500
0,1,528,119.3506,-70.2316
0,1,536,119.4626,-70.2270
0,1,544,120.5809,-70.1886
0,1,552,120.9741,-70.1714
0,1,560,121.8751,-70.1261
0,1,568,122.1701,-70.1100
0,1,576,122.8267,-70.0782
0,1,584,124.1064,-70.0035
0,1,592,125.4120,-69.9100
0,1,600,128.4998,-69.6103
0,1,608,130.8829,-69.3348
0,1,616,132.0711,-69.2092
0,1,624,133.7588,-69.0358
0,1,632,134.5892,-68.9562
0,1,640,139.7033,-68.4403
0,1,648,149.4456,-67.3963
0,1,656,164.7057,-66.1318
0,1,664,174.4678,-65.5875
0,1,672,194.7696,-64.9578
0,1,680,224.6140,-64.6525
0,1,688,270.2377,-64.5695
0,1,696,320.6468,-64.5623
0,1,704,371.0560,-64.5622
0,1,712,421.4652,-64.5621
0,1,720,471.8744,-64.5623
0,1,728,518.8418,-64.5609
0,1,736,551.2072,-64.5613
0,1,744,626.8010,-64.5610
0,2,0,0.0000,-65.0000
0,2,8,0.0699,-64.9855
0,2,16,0.6811,-64.9173
0,2,24,5.5147,-64.6276
0,2,32,14.0905,-64.5433
0,2,40,22.6664,-64.5540
0,2,48,36.8228,-64.5609
0,2,56,100.0000,-64.5618
0,2,64,100.0454,-64.5647
0,2,72,100.0833,-64.5717
0,2,80,100.3251,-64.6910
0,2,88,100.3958,-64.7481
0,2,96,100.5136,-64.8611
0,2,104,100.6676,-65.0359
0,2,112,101.0073,-65.4939
0,2,120,101.1176,-65.6566
0,2,128,102.2479,-67.2803
0,2,136,102.6800,-67.7746
0,2,144,102.7902,-67.8859
0,2,152,102.9370,-68.0272
0,2,160,103.1198,-68.1921
0,2,168,103.7451,-68.6745
0,2,176,104.0300,-68.8513
0,2,184,104.3421,-69.0201
0,2,192,104.7976,-69.2225
0,2,200,104.9650,-69.2844
0,2,208,105.2472,-69.3785
0,2,216,106.2262,-69.6147
0,2,224,106.5350,-69.6615
0,2,232,106.8480,-69.7010
0,2,240,107.4290,-69.7543
0,2,248,107.7264,-69.7729
0,2,256,108.0605,-69.7901
0,2,264,108.3400,-69.8022
0,2,272,108.3960,-69.8048
0,2,280,108.6254,-69.8172
0,2,288,109.1761,-69.8529
0,2,296,109.3000,-69.8606
0,2,304,109.3693,-69.8651
0,2,312,109.6495,-69.8860
0,2,320,110.1001,-69.9217
0,2,328,110.7121,-69.9648
0,2,336,111.2250,-69.9905
0,2,344,111.3350,-69.9955
0,2,352,111.5400,-70.0050
0,2,360,111.6150,-70.0086
0,2,368,111.7401,-70.0151
0,2,376,111.9951,-70.0300
0,2,384,112.1310,-70.0387
0,2,392,112.2847,-70.0492
0,2,400,112.4841,-70.0649
0,2,408,112.6853,-70.0829
0,2,416,113.2051,-70.1315
0,2,424,113.3497,-70.1447
0,2,432,113.5930,-70.1675
0,2,440,113.7700,-70.1841
0,2,448,114.0176,-70.2077
0,2,456,115.1794,-70.2868
0,2,464,115.7742,-70.2990
0,2,472,116.0756,-70.2983
0,2,480,116.2530,-70.2971
0,2,488,116.4924,-70.2959
0,2,496,117.6050,-70.2839
0,2,504,117.7350,-70.2809
0,2,512,118.3830,-70.2662
0,2,520,118.8858,-70.2500
0,2,528,119.3506,-70.2316
0,2,536,119.4626,-70.2270
0,2,544,120.5809,-70.1886
0,2,552,120.9741,-70.1714
0,2,560,121.8751,-70.1261
0,2,568,122.1701,-70.1100
0,2,576,122.8267,-70.0782
0,2,584,124.1064,-70.0035
0,2,592,125.4120,-69.9100
0,2,600,128.4998,-69.6103
0,2,608,130.8829,-69.3348
0,2,616,132.0711,-69.2092
0,2,624,133.7588,-69.0358
0,2,632,134.5892,-68.9562
0,2,640,139.7033,-68.4403
0,2,648,149.4456,-67.3963
0,2,656,164.7057,-66.1318
0,2,664,174.4678,-65.5875
0,2,672,194.7696,-64.9578
0,2,680,224.6140,-64.6525
0,2,688,270.2377,-64.5695
0,2,696,320.6468,-64.5623
0,2,704,371.0560,-64.5622
0,2,712,421.4652,-64.5621
0,2,720,471.8744,-64.5623
0,2,728,518.8418,-64.5609
0,2,736,551.2072,-64.5613
0,2,744,626.8010,-64.5610
0,3,0,0.0000,-65.0000
0,3,8,0.0699,-64.9855
0,3,16,0.6811,-64.9173
0,3,24,5.5147,-64.6276
0,3,32,14.0905,-64.5433
0,3,40,22.6664,-64.5540
0,3,48,36.8228,-64.5609
0,3,56,100.0000,-64.5618
0,3,64,100.0454,-64.5647
0,3,72,100.0833,-64.5717
0,3,80,100.3251,-64.6910
0,3,88,100.3958,-64.7481
0,3,96,100.5136,-64.8611
0,3,104,100.6676,-65.0359
0,3,112,101.0073,-65.4939
0,3,120,101.1176,-65.6566
0,3,128,102.2479,-67.2803
0,3,136,102.6800,-67.7746
0,3,144,102.7902,-67.8859
0,3,152,102.9370,-68.0272
0,3,160,103.1198,-68.1921
0,3,168,103.7451,-68.6745
0,3,176,104.0300,-68.8513
0,3,184,104.3421,-69.0201
0,3,192,104.7976,-69.2225
0,3,200,104.9650,-69.2844
0,3,208,105.2472,-69.3785
0,3,216,106.2262,-69.6147
0,3,224,106.5350,-69.6615
0,3,232,106.8480,-69.7010
0,3,240,107.4290,-69.7543
0,3,248,107.7264,-69.7729
0,3,256,108.0605,-69.7901
0,3,264,108.3400,-69.8022
0,3,272,108.3960,-69.8048
0,3,280,108.6254,-69.8172
0,3,288,109.1761,-69.8529
0,3,296,109.3000,-69.8606
0,3,304,109.3693,-69.8651
0,3,312,109.6495,-69.8860
0,3,320,110.1001,-69.9217
0,3,328,110.7121,-69.9648
0,3,336,111.2250,-69.9905
0,3,344,111.3350,-69.9955
0,3,352,111.5400,-70.0050
0,3,360,111.6150,-70.0086
0,3,368,111.7401,-70.0151
0,3,376,111.9951,-70.0300
0,3,384,112.1310,-70.0387
0,3,392,112.2847,-70.0492
0,3,400,112.4841,-70.0649
0,3,408,112.6853,-70.0829
0,3,416,113.2051,-70.1315
0,3,424,113.3497,-70.1447
0,3,432,113.5930,-70.1675
0,3,440,113.7700,-70.1841
0,3,448,114.0176,-70.2077
0,3,456,115.1794,-70.2868
0,3,464,115.7742,-70.2990
0,3,472,116.0756,-70.2983
0,3,480,116.2530,-70.2971
0,3,488,116.4924,-70.2959
0,3,496,117.6050,-70.2839
0,3,504,117.7350,-70.2809
0,3,512,118.3830,-70.2662
0,3,520,118.8858,-70.2500
0,3,528,119.3506,-70.2316
0,3,536,119.4626,-70.2270
0,3,544,120.5809,-70.1886
0,3,552,120.9741,-70.1714
0,3,560,121.8751,-70.1261
0,3,568,122.1701,-70.1100
0,3,576,122.8267,-70.0782
0,3,584,124.1064,-70.0035
0,3,592,125.4120,-69.9100
0,3,600,128.4998,-69.6103
0,3,608,130.8829,-69.3348
0,3,616,132.0711,-69.2092
0,3,624,133.7588,-69.0358
0,3,632,134.5892,-68.9562
0,3,640,139.7033,-68.4403
0,3,648,149.4456,-67.3963
0,3,656,164.7057,-66.1318
0,3,664,174.4678,-65.5875
0,3,672,194.7696,-64.9578
0,3,680,224.6140,-64.6525
0,3,688,270.2377,-64.5695
0,3,696,320.6468,-64.5623
0,3,704,371.0560,-64.5622
0,3,712,421.4652,-64.5621
0,3,720,471.8744,-64.5623
0,3,728,518.8418,-64.5609
0,3,736,551.2072,-64.5613
0,3,744,626.8010,-64.5610
0,4,0,0.0000,-65.0000
0,4,8,0.0699,-64.9855
0,4,16,0.6811,-64.9173
0,4,24,5.5147,-64.6276
0,4,32,14.0905,-64.5433
0,4,40,22.6664,-64.5540
0,4,48,36.8228,-64.5609
0,4,56,100.0000,-64.5618
0,4,64,100.0454,-64.5647
0,4,72,100.0833,-64.5717
0,4,80,100.3251,-64.6910
0,4,88,100.3958,-64.7481
0,4,96,100.5136,-64.8611
0,4,104,100.6676,-65.0359
0,4,112,101.0073,-65.4939
0,4,120,101.1176,-65.6566
0,4,128,102.2479,-67.2803
0,4,136,102.6800,-67.7746
0,4,144,102.7902,-67.8859
0,4,152,102.9370,-68.0272
0,4,160,103.1198,-68.1921
0,4,168,103.7451,-68.6745
0,4,176,104.0300,-68.8513
0,4,184,104.3421,-69.0201
0,4,192,104.7976,-69.2225
0,4,200,104.9650,-69.2844
0,4,208,105.2472,-69.3785
0,4,216,106.2262,-69.6147
0,4,224,106.5350,-69.6615
0,4,232,106.8480,-69.7010
0,4,240,107.4290,-69.7543
0,4,248,107.7264,-69.7729
0,4,256,108.0605,-69.7901
0,4,264,108.3400,-69.8022
0,4,272,108.3960,-69.8048
0,4,280,108.6254,-69.8172
0,4,288,109.1761,-69.8529
0,4,296,109.3000,-69.8606
0,4,304,109.3693,-69.8651
0,4,312,109.6495,-69.8860
0,4,320,110.1001,-69.9217
0,4,328,110.7121,-69.9648
0,4,336,111.2250,-69.9905
0,4,344,111.3350,-69.9955
0,4,352,111.5400,-70.0050
0,4,360,111.6150,-70.0086
0,4,368,111.7401,-70.0151
0,4,376,111.9951,-70.0300
0,4,384,112.1310,-70.0387
0,4,392,112.2847,-70.0492
0,4,400,112.4841,-70.0649
0,4,408,112.6853,-70.0829
0,4,416,113.2051,-70.1315
0,4,424,113.3497,-70.1447
0,4,432,113.5930,-70.1675
0,4,440,113.7700,-70.1841
0,4,448,114.0176,-70.2077
0,4,456,115.1794,-70.2868
0,4,464,115.7742,-70.2990
0,4,472,116.0756,-70.2983
0,4,480,116.2530,-70.2971
0,4,488,116.4924,-70.2959
0,4,496,117.6050,-70.2839
0,4,504,117.7350,-70.2809
0,4,512,118.3830,-70.2662
0,4,520,118.8858,-70.2500
0,4,528,119.3506,-70.2316
0,4,536,119.4626,-70.2270
0,4,544,120.5809,-70.1886
0,4,552,120.9741,-70.1714
0,4,560,121.8751,-70.1261
0,4,568,122.1701,-70.1100
0,4,576,122.8267,-70.0782
0,4,584,124.1064,-70.0035
0,4,592,125.4120,-69.9100
0,4,600,128.4998,-69.6103
0,4,608,130.8829,-69.3348
0,4,616,132.0711,-69.2092
0,4,624,133.7588,-69.0358
0,4,632,134.5892,-68.9562
0,4,640,139.7033,-68.4403
0,4,648,149.4456,-67.3963
0,4,656,164.7057,-66.1318
0,4,664,174.4678,-65.5875
0,4,672,194.7696,-64.9578
0,4,680,224.6140,-64.6525
0,4,688,270.2377,-64.5695
0,4,696,320.6468,-64.5623
0,4,704,371.0560,-64.5622
0,4,712,421.4652,-64.5621
0,4,720,471.8744,-64.5623
0,4,728,518.8418,-64.5609
0,4,736,551.2072,-64.5613
0,4,744,626.8010,-64.5610
0,5,0,0.0000,-65.0000
0,5,8,0.0699,-64.9855
0,5,16,0.6811,-64.9173
0,5,24,5.5147,-64.6276
0,5,32,14.0905,-64.5433
0,5,40,22.6664,-64.5540
0,5,48,36.8228,-64.5609
0,5,56,100.0000,-64.5618
0,5,64,100.0454,-64.5647
0,5,72,100.0833,-64.5717
0,5,80,100.3251,-64.6910
0,5,88,100.3958,-64.7481
0,5,96,100.5136,-64.8611
0,5,104,100.6676,-65.0359
0,5,112,101.0073,-65.4939
0,5,120,101.1176,-65.6566
0,5,128,102.2479,-67.2803
0,5,136,102.6800,-67.7746
0,5,144,102.7902,-67.8859
0,5,152,102.9370,-68.0272
0,5,160,103.1198,-68.1921
0,5,168,103.7451,-68.6745
0,5,176,104.0300,-68.8513
0,5,184,104.3421,-69.0201
