angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0,1,0,0.0000,-65.0000
0,1,8,0.0699,-64.9855
0,1,16,0.6811,-64.9173
0,1,24,5.5147,-64.6276
0,1,32,14.0905,-64.5433
0,1,40,22.6664,-64.5540
0,1,48,36.8228,-64.5609
0,1,56,100.0000,-64.5618
0,1,64,100.0412,-64.5428
0,1,72,100.0551,-64.5274
0,1,80,100.0747,-64.4975
0,1,88,100.1992,-64.1532
0,1,96,100.3367,-63.5582
0,1,104,100.3873,-63.3080
0,1,112,100.4762,-62.8447
0,1,120,100.5500,-62.4516
0,1,128,100.6417,-61.9666
0,1,136,100.9950,-60.3467
0,1,144,101.0600,-60.1156
0,1,152,101.1068,-59.9623
0,1,160,101.5486,-59.0039
0,1,168,102.1938,-59.0442
0,1,176,102.6646,-59.8334
0,1,184,102.7038,-59.9177
0,1,192,102.7619,-60.0430
0,1,200,102.9001,-60.3423
0,1,208,102.9841,-60.5227
0,1,216,103.0794,-60.7225
0,1,224,103.3297,-61.2247
0,1,232,103.7451,-62.0314
0,1,240,103.8606,-62.2564
0,1,248,104.0342,-62.5877
0,1,256,104.3258,-63.0920
0,1,264,104.7363,-63.7612
0,1,272,104.8350,-63.9197
0,1,280,104.9024,-64.0247
0,1,288,105.0182,-64.1963
0,1,296,105.3170,-64.5744
0,1,304,106.1338,-65.4577
0,1,312,106.2468,-65.5840
0,1,320,106.4425,-65.7944
0,1,328,106.5534,-65.9058
0,1,336,106.8683,-66.1687
0,1,344,107.4201,-66.5913
0,1,352,107.4701,-66.6307
0,1,360,107.6567,-66.7539
0,1,368,107.9856,-66.9141
0,1,376,108.1584,-66.9852
0,1,384,108.2728,-67.0258
0,1,392,108.3405,-67.0443
0,1,400,108.3971,-67.0540
0,1,408,108.5684,-67.0446
0,1,416,108.6516,-67.0272
0,1,424,108.9807,-66.9045
0,1,432,109.2304,-66.8211
0,1,440,109.3004,-66.8005
0,1,448,109.3500,-66.7845
0,1,456,109.4801,-66.7264
0,1,464,109.6498,-66.6349
0,1,472,109.8869,-66.5036
0,1,480,110.1175,-66.3912
0,1,488,110.3906,-66.2870
0,1,496,110.9651,-66.2089
0,1,504,111.0668,-66.2150
0,1,512,111.2261,-66.2258
0,1,520,111.3351,-66.2329
0,1,528,111.4218,-66.2347
0,1,536,111.5406,-66.2298
0,1,544,111.6150,-66.2210
0,1,552,111.7297,-66.1964
0,1,560,111.8027,-66.1750
0,1,568,111.9956,-66.0987
0,1,576,112.1300,-66.0344
0,1,584,112.2321,-65.9798
0,1,592,112.2850,-65.9488
0,1,600,112.4022,-65.8667
0,1,608,112.5239,-65.7671
0,1,616,112.8127,-65.5021
0,1,624,113.2072,-65.1919
0,1,632,113.2414,-65.1713
0,1,640,113.3951,-65.0709
0,1,648,113.5304,-64.9798
0,1,656,113.6513,-64.9002
0,1,664,113.7760,-64.8201
0,1,672,113.9831,-64.6870
0,1,680,114.6998,-64.4039
0,1,688,115.6950,-64.7596
0,1,696,115.7517,-64.7992
0,1,704,116.0550,-65.0093
0,1,712,116.1126,-65.0473
0,1,720,116.2258,-65.1145
0,1,728,116.2687,-65.1378
0,1,736,116.4408,-65.2121
0,1,744,117.0449,-65.3342
0,1,752,117.6055,-65.4983
0,1,760,117.7350,-65.5446
0,1,768,117.8253,-65.5720
0,1,776,118.3272,-65.6758
0,1,784,118.8753,-65.8188
0,1,792,119.0016,-65.8626
0,1,800,119.3500,-65.9702
0,1,808,119.4270,-65.9926
0,1,816,119.4950,-66.0087
0,1,824,119.9158,-66.0250
0,1,832,120.8745,-66.1098
0,1,840,120.9254,-66.1219
0,1,848,121.3522,-66.1929
0,1,856,121.8789,-66.3034
0,1,864,122.1153,-66.3497
0,1,872,122.2074,-66.3623
0,1,880,122.5887,-66.3610
0,1,888,123.5917,-66.4187
0,1,896,124.1181,-66.5540
0,1,904,124.3631,-66.6081
0,1,912,125.2042,-66.7414
0,1,920,127.0869,-67.2650
0,1,928,130.8650,-68.0462
0,1,936,130.9139,-68.0497
0,1,944,131.3072,-68.0171
0,1,952,132.3414,-67.8372
0,1,960,133.7550,-67.7248
0,1,968,133.8179,-67.7211
0,1,976,134.2816,-67.6277
0,1,984,135.4142,-67.3800
0,1,992,138.1047,-67.2752
0,1,1000,143.3190,-67.1966
0,1,1008,148.7932,-66.8285
0,1,1016,154.2673,-66.4071
0,1,1024,167.6786,-65.6001
0,1,1032,184.5071,-65.0355
0,1,1040,214.0515,-64.6715
0,1,1048,251.4998,-64.5783
0,1,1056,288.9481,-64.5638
0,1,1064,326.3964,-64.5616
0,1,1072,383.6556,-64.5608
0,1,1080,652.3598,-64.5611
0,2,0,0.0000,-65.0000
0,2,8,0.0699,-64.9855
0,2,16,0.6811,-64.9173
0,2,24,5.5147,-64.6276
0,2,32,14.0905,-64.5433
0,2,40,22.6664,-64.5540
0,2,48,36.8228,-64.5609
0,2,56,100.0000,-64.5618
0,2,64,100.0412,-64.5428
0,2,72,100.0551,-64.5274
0,2,80,100.0747,-64.4975
0,2,88,100.1992,-64.1532
0,2,96,100.3367,-63.5582
0,2,104,100.3873,-63.3080
0,2,112,100.4762,-62.8447
0,2,120,100.5500,-62.4516
0,2,128,100.6417,-61.9666
0,2,136,100.9950,-60.3467
0,2,144,101.0600,-60.1156
0,2,152,101.1068,-59.9623
0,2,160,101.5486,-59.0039
0,2,168,102.1938,-59.0442
0,2,176,102.6646,-59.8334
0,2,184,102.7038,-59.9177
0,2,192,102.7619,-60.0430
0,2,200,102.9001,-60.3423
0,2,208,102.9841,-60.5227
0,2,216,103.0794,-60.7225
0,2,224,103.3297,-61.2247
0,2,232,103.7451,-62.0314
0,2,240,103.8606,-62.2564
0,2,248,104.0342,-62.5877
0,2,256,104.3258,-63.0920
0,2,264,104.7363,-63.7612
0,2,272,104.8350,-63.9197
0,2,280,104.9024,-64.0247
0,2,288,105.0182,-64.1963
0,2,296,105.3170,-64.5744
0,2,304,106.1338,-65.4577
0,2,312,106.2468,-65.5840
0,2,320,106.4425,-65.7944
0,2,328,106.5534,-65.9058
0,2,336,106.8683,-66.1687
0,2,344,107.4201,-66.5913
0,2,352,107.4701,-66.6307
0,2,360,107.6567,-66.7539
0,2,368,107.9856,-66.9141
0,2,376,108.1584,-66.9852
0,2,384,108.2728,-67.0258
0,2,392,108.3405,-67.0443
0,2,400,108.3971,-67.0540
0,2,408,108.5684,-67.0446
0,2,416,108.6516,-67.0272
0,2,424,108.9807,-66.9045
0,2,432,109.2304,-66.8211
0,2,440,109.3004,-66.8005
0,2,448,109.3500,-66.7845
0,2,456,109.4801,-66.7264
0,2,464,109.6498,-66.6349
0,2,472,109.8869,-66.5036
0,2,480,110.1175,-66.3912
0,2,488,110.3906,-66.2870
0,2,496,110.9651,-66.2089
0,2,504,111.0668,-66.2150
0,2,512,111.2261,-66.2258
0,2,520,111.3351,-66.2329
0,2,528,111.4218,-66.2347
0,2,536,111.5406,-66.2298
0,2,544,111.6150,-66.2210
0,2,552,111.7297,-66.1964
0,2,560,111.8027,-66.1750
0,2,568,111.9956,-66.0987
0,2,576,112.1300,-66.0344
0,2,584,112.2321,-65.9798
0,2,592,112.2850,-65.9488
0,2,600,112.4022,-65.8667
0,2,608,112.5239,-65.7671
0,2,616,112.8127,-65.5021
0,2,624,113.2072,-65.1919
0,2,632,113.2414,-65.1713
0,2,640,113.3951,-65.0709
0,2,648,113.5304,-64.9798
0,2,656,113.6513,-64.9002
0,2,664,113.7760,-64.8201
0,2,672,113.9831,-64.6870
0,2,680,114.6998,-64.4039
0,2,688,115.6950,-64.7596
0,2,696,115.7517,-64.7992
0,2,704,116.0550,-65.0093
0,2,712,116.1126,-65.0473
0,2,720,116.2258,-65.1145
0,2,728,116.2687,-65.1378
0,2,736,116.4408,-65.2121
0,2,744,117.0449,-65.3342
0,2,752,117.6055,-65.4983
0,2,760,117.7350,-65.5446
0,2,768,117.8253,-65.5720
0,2,776,118.3272,-65.6758
0,2,784,118.8753,-65.8188
0,2,792,119.0016,-65.8626
0,2,800,119.3500,-65.9702
0,2,808,119.4270,-65.9926
0,2,816,119.4950,-66.0087
0,2,824,119.9158,-66.0250
0,2,832,120.8745,-66.1098
0,2,840,120.9254,-66.1219
0,2,848,121.3522,-66.1929
0,2,856,121.8789,-66.3034
0,2,864,122.1153,-66.3497
0,2,872,122.2074,-66.3623
0,2,880,122.5887,-66.3610
0,2,888,123.5917,-66.4187
0,2,896,124.1181,-66.5540
0,2,904,124.3631,-66.6081
0,2,912,125.2042,-66.7414
0,2,920,127.0869,-67.2650
0,2,928,130.8650,-68.0462
0,2,936,130.9139,-68.0497
0,2,944,131.3072,-68.0171
0,2,952,132.3414,-67.8372
0,2,960,133.7550,-67.7248
0,2,968,133.8179,-67.7211
0,2,976,134.2816,-67.6277
0,2,984,135.4142,-67.3800
0,2,992,138.1047,-67.2752
0,2,1000,143.3190,-67.1966
0,2,1008,148.7932,-66.8285
0,2,1016,154.2673,-66.4071
0,2,1024,167.6786,-65.6001
0,2,1032,184.5071,-65.0355
0,2,1040,214.0515,-64.6715
0,2,1048,251.4998,-64.5783
0,2,1056,288.9481,-64.5638
0,2,1064,326.3964,-64.5616
0,2,1072,383.6556,-64.5608
0,2,1080,652.3598,-64.5611
0,3,0,0.0000,-65.0000
0,3,8,0.0699,-64.9855
0,3,16,0.6811,-64.9173
0,3,24,5.5147,-64.6276
0,3,32,14.0905,-64.5433
0,3,40,22.6664,-64.5540
0,3,48,36.8228,-64.5609
0,3,56,100.0000,-64.5618
0,3,64,100.0412,-64.5428
0,3,72,100.0551,-64.5274
0,3,80,100.0747,-64.4975
0,3,88,100.1992,-64.1532
0,3,96,100.3367,-63.5582
0,3,104,100.3873,-63.3080
0,3,112,100.4762,-62.8447
0,3,120,100.5500,-62.4516
0,3,128,100.6417,-61.9666
0,3,136,100.9950,-60.3467
0,3,144,101.0600,-60.1156
0,3,152,101.1068,-59.9623
0,3,160,101.5486,-59.0039
0,3,168,102.1938,-59.0442
0,3,176,102.6646,-59.8334
0,3,184,102.7038,-59.9177
0,3,192,102.7619,-60.0430
0,3,200,102.9001,-60.3423
0,3,208,102.9841,-60.5227
0,3,216,103.0794,-60.7225
0,3,224,103.3297,-61.2247
0,3,232,103.7451,-62.0314
0,3,240,103.8606,-62.2564
0,3,248,104.0342,-62.5877
0,3,256,104.3258,-63.0920
0,3,264,104.7363,-63.7612
0,3,272,104.8350,-63.9197
0,3,280,104.9024,-64.0247
0,3,288,105.0182,-64.1963
0,3,296,105.3170,-64.5744
0,3,304,106.1338,-65.4577
0,3,312,106.2468,-65.5840
0,3,320,106.4425,-65.7944
0,3,328,106.5534,-65.9058
0,3,336,106.8683,-66.1687
0,3,344,107.4201,-66.5913
0,3,352,107.4701,-66.6307
0,3,360,107.6567,-66.7539
0,3,368,107.9856,-66.9141
0,3,376,108.1584,-66.9852
0,3,384,108.2728,-67.0258
0,3,392,108.3405,-67.0443
0,3,400,108.3971,-67.0540
0,3,408,108.5684,-67.0446
0,3,416,108.6516,-67.0272
0,3,424,108.9807,-66.9045
0,3,432,109.2304,-66.8211
0,3,440,109.3004,-66.8005
0,3,448,109.3500,-66.7845
0,3,456,109.4801,-66.7264
0,3,464,109.6498,-66.6349
0,3,472,109.8869,-66.5036
0,3,480,110.1175,-66.3912
0,3,488,110.3906,-66.2870
0,3,496,110.9651,-66.2089
0,3,504,111.0668,-66.2150
0,3,512,111.2261,-66.2258
0,3,520,111.3351,-66.2329
0,3,528,111.4218,-66.2347
0,3,536,111.5406,-66.2298
0,3,544,111.6150,-66.2210
0,3,552,111.7297,-66.1964
0,3,560,111.8027,-66.1750
0,3,568,111.9956,-66.0987
0,3,576,112.1300,-66.0344
0,3,584,112.2321,-65.9798
0,3,592,112.2850,-65.9488
0,3,600,112.4022,-65.8667
0,3,608,112.5239,-65.7671
0,3,616,112.8127,-65.5021
0,3,624,113.2072,-65.1919
0,3,632,113.2414,-65.1713
0,3,640,113.3951,-65.0709
0,3,648,113.5304,-64.9798
0,3,656,113.6513,-64.9002
0,3,664,113.7760,-64.8201
0,3,672,113.9831,-64.6870
0,3,680,114.6998,-64.4039
0,3,688,115.6950,-64.7596
0,3,696,115.7517,-64.7992
0,3,704,116.0550,-65.0093
0,3,712,116.1126,-65.0473
0,3,720,116.2258,-65.1145
0,3,728,116.2687,-65.1378
0,3,736,116.4408,-65.2121
0,3,744,117.0449,-65.3342
0,3,752,117.6055,-65.4983
0,3,760,117.7350,-65.5446
0,3,768,117.8253,-65.5720
0,3,776,118.3272,-65.6758
0,3,784,118.8753,-65.8188
0,3,792,119.0016,-65.8626
0,3,800,119.3500,-65.9702
0,3,808,119.4270,-65.9926
0,3,816,119.4950,-66.0087
0,3,824,119.9158,-66.0250
0,3,832,120.8745,-66.1098
0,3,840,120.9254,-66.1219
0,3,848,121.3522,-66.1929
0,3,856,121.8789,-66.3034
0,3,864,122.1153,-66.3497
0,3,872,122.2074,-66.3623
0,3,880,122.5887,-66.3610
0,3,888,123.5917,-66.4187
0,3,896,124.1181,-66.5540
0,3,904,124.3631,-66.6081
0,3,912,125.2042,-66.7414
0,3,920,127.0869,-67.2650
0,3,928,130.8650,-68.0462
0,3,936,130.9139,-68.0497
0,3,944,131.3072,-68.0171
0,3,952,132.3414,-67.8372
0,3,960,133.7550,-67.7248
0,3,968,133.8179,-67.7211
0,3,976,134.2816,-67.6277
0,3,984,135.4142,-67.3800
0,3,992,138.1047,-67.2752
0,3,1000,143.3190,-67.1966
