angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0,1,0,0.0000,-65.0000
0,1,8,0.0699,-64.9855
0,1,16,0.6811,-64.9173
0,1,24,5.5147,-64.6276
0,1,32,14.0905,-64.5433
0,1,40,22.6664,-64.5540
0,1,48,36.8228,-64.5609
0,1,56,100.0000,-64.5618
0,1,64,100.0450,-64.5698
0,1,72,100.0700,-64.5815
0,1,80,100.2443,-64.7725
0,1,88,100.3715,-65.0160
0,1,96,100.4750,-65.2627
0,1,104,100.5500,-65.4613
0,1,112,100.7003,-65.8948
0,1,120,100.9962,-66.8098
0,1,128,101.0948,-67.1149
0,1,136,101.6844,-68.7506
0,1,144,102.6600,-70.4517
0,1,152,102.7271,-70.5270
0,1,160,102.9000,-70.7017
0,1,168,103.0600,-70.8410
0,1,176,103.5247,-71.1472
0,1,184,103.8654,-71.2973
0,1,192,104.1720,-71.3917
0,1,200,104.7602,-71.4981
0,1,208,105.0100,-71.5203
0,1,216,105.9458,-71.5351
0,1,224,106.5350,-71.5087
0,1,232,107.4200,-71.4423
0,1,240,107.7472,-71.4127
0,1,248,108.2600,-71.3633
0,1,256,108.3950,-71.3498
0,1,264,108.7282,-71.3157
0,1,272,109.3000,-71.2555
0,1,280,109.6450,-71.2182
0,1,288,110.1002,-71.1684
0,1,296,110.9655,-71.0719
0,1,304,111.3350,-71.0302
0,1,312,111.5475,-71.0061
0,1,320,111.7458,-70.9836
0,1,328,112.1300,-70.9397
0,1,336,112.2850,-70.9219
0,1,344,112.5309,-70.8937
0,1,352,113.2250,-70.8136
0,1,360,113.6200,-70.7678
0,1,368,113.7771,-70.7496
0,1,376,115.6956,-70.5245
0,1,384,116.0588,-70.4819
0,1,392,116.2600,-70.4583
0,1,400,117.6061,-70.2988
0,1,408,118.1403,-70.2353
0,1,416,119.3500,-70.0909
0,1,424,119.4375,-70.0805
0,1,432,120.9210,-69.9028
0,1,440,121.9879,-69.7749
0,1,448,124.1050,-69.5224
0,1,456,126.4955,-69.2389
0,1,464,130.9007,-68.7205
0,1,472,133.7550,-68.3925
0,1,480,134.8179,-68.2731
0,1,488,136.8872,-68.0447
0,1,496,149.4883,-66.8091
0,1,504,175.4863,-65.3005
0,1,512,194.4354,-64.8629
0,1,520,209.1552,-64.7064
0,1,528,223.8750,-64.6298
0,1,536,243.4808,-64.5866
0,1,544,272.6642,-64.5671
0,1,552,332.2174,-64.5617
0,1,560,444.1681,-64.5611
0,1,568,728.5632,-64.5610
0,2,0,0.0000,-65.0000
0,2,8,0.0699,-64.9855
0,2,16,0.6811,-64.9173
0,2,24,5.5147,-64.6276
0,2,32,14.0905,-64.5433
0,2,40,22.6664,-64.5540
0,2,48,36.8228,-64.5609
0,2,56,100.0000,-64.5618
0,2,64,100.0450,-64.5698
0,2,72,100.0700,-64.5815
0,2,80,100.2443,-64.7725
0,2,88,100.3715,-65.0160
0,2,96,100.4750,-65.2627
0,2,104,100.5500,-65.4613
0,2,112,100.7003,-65.8948
0,2,120,100.9962,-66.8098
0,2,128,101.0948,-67.1149
0,2,136,101.6844,-68.7506
0,2,144,102.6600,-70.4517
0,2,152,102.7271,-70.5270
0,2,160,102.9000,-70.7017
0,2,168,103.0600,-70.8410
0,2,176,103.5247,-71.1472
0,2,184,103.8654,-71.2973
0,2,192,104.1720,-71.3917
0,2,200,104.7602,-71.4981
0,2,208,105.0100,-71.5203
0,2,216,105.9458,-71.5351
0,2,224,106.5350,-71.5087
0,2,232,107.4200,-71.4423
0,2,240,107.7472,-71.4127
0,2,248,108.2600,-71.3633
0,2,256,108.3950,-71.3498
0,2,264,108.7282,-71.3157
0,2,272,109.3000,-71.2555
0,2,280,109.6450,-71.2182
0,2,288,110.1002,-71.1684
0,2,296,110.9655,-71.0719
0,2,304,111.3350,-71.0302
0,2,312,111.5475,-71.0061
0,2,320,111.7458,-70.9836
0,2,328,112.1300,-70.9397
0,2,336,112.2850,-70.9219
0,2,344,112.5309,-70.8937
0,2,352,113.2250,-70.8136
0,2,360,113.6200,-70.7678
0,2,368,113.7771,-70.7496
0,2,376,115.6956,-70.5245
0,2,384,116.0588,-70.4819
0,2,392,116.2600,-70.4583
0,2,400,117.6061,-70.2988
0,2,408,118.1403,-70.2353
0,2,416,119.3500,-70.0909
0,2,424,119.4375,-70.0805
0,2,432,120.9210,-69.9028
0,2,440,121.9879,-69.7749
0,2,448,124.1050,-69.5224
0,2,456,126.4955,-69.2389
0,2,464,130.9007,-68.7205
0,2,472,133.7550,-68.3925
0,2,480,134.8179,-68.2731
0,2,488,136.8872,-68.0447
0,2,496,149.4883,-66.8091
0,2,504,175.4863,-65.3005
0,2,512,194.4354,-64.8629
0,2,520,209.1552,-64.7064
0,2,528,223.8750,-64.6298
0,2,536,243.4808,-64.5866
0,2,544,272.6642,-64.5671
0,2,552,332.2174,-64.5617
0,2,560,444.1681,-64.5611
0,2,568,728.5632,-64.5610
0,3,0,0.0000,-65.0000
0,3,8,0.0699,-64.9855
0,3,16,0.6811,-64.9173
0,3,24,5.5147,-64.6276
0,3,32,14.0905,-64.5433
0,3,40,22.6664,-64.5540
0,3,48,36.8228,-64.5609
0,3,56,100.0000,-64.5618
0,3,64,100.0450,-64.5698
0,3,72,100.0700,-64.5815
0,3,80,100.2443,-64.7725
0,3,88,100.3715,-65.0160
0,3,96,100.4750,-65.2627
0,3,104,100.5500,-65.4613
0,3,112,100.7003,-65.8948
0,3,120,100.9962,-66.8098
0,3,128,101.0948,-67.1149
0,3,136,101.6844,-68.7506
0,3,144,102.6600,-70.4517
0,3,152,102.7271,-70.5270
0,3,160,102.9000,-70.7017
0,3,168,103.0600,-70.8410
0,3,176,103.5247,-71.1472
0,3,184,103.8654,-71.2973
0,3,192,104.1720,-71.3917
0,3,200,104.7602,-71.4981
0,3,208,105.0100,-71.5203
0,3,216,105.9458,-71.5351
0,3,224,106.5350,-71.5087
0,3,232,107.4200,-71.4423
0,3,240,107.7472,-71.4127
0,3,248,108.2600,-71.3633
0,3,256,108.3950,-71.3498
0,3,264,108.7282,-71.3157
0,3,272,109.3000,-71.2555
0,3,280,109.6450,-71.2182
0,3,288,110.1002,-71.1684
0,3,296,110.9655,-71.0719
0,3,304,111.3350,-71.0302
0,3,312,111.5475,-71.0061
0,3,320,111.7458,-70.9836
0,3,328,112.1300,-70.9397
0,3,336,112.2850,-70.9219
0,3,344,112.5309,-70.8937
0,3,352,113.2250,-70.8136
0,3,360,113.6200,-70.7678
0,3,368,113.7771,-70.7496
0,3,376,115.6956,-70.5245
0,3,384,116.0588,-70.4819
0,3,392,116.2600,-70.4583
0,3,400,117.6061,-70.2988
0,3,408,118.1403,-70.2353
0,3,416,119.3500,-70.0909
0,3,424,119.4375,-70.0805
0,3,432,120.9210,-69.9028
0,3,440,121.9879,-69.7749
0,3,448,124.1050,-69.5224
0,3,456,126.4955,-69.2389
0,3,464,130.9007,-68.7205
0,3,472,133.7550,-68.3925
0,3,480,134.8179,-68.2731
0,3,488,136.8872,-68.0447
0,3,496,149.4883,-66.8091
0,3,504,175.4863,-65.3005
0,3,512,194.4354,-64.8629
0,3,520,209.1552,-64.7064
0,3,528,223.8750,-64.6298
0,3,536,243.4808,-64.5866
0,3,544,272.6642,-64.5671
0,3,552,332.2174,-64.5617
0,3,560,444.1681,-64.5611
0,3,568,728.5632,-64.5610
0,4,0,0.0000,-65.0000
0,4,8,0.0699,-64.9855
0,4,16,0.6811,-64.9173
0,4,24,5.5147,-64.6276
0,4,32,14.0905,-64.5433
0,4,40,22.6664,-64.5540
0,4,48,36.8228,-64.5609
0,4,56,100.0000,-64.5618
0,4,64,100.0450,-64.5698
0,4,72,100.0700,-64.5815
0,4,80,100.2443,-64.7725
0,4,88,100.3715,-65.0160
0,4,96,100.4750,-65.2627
0,4,104,100.5500,-65.4613
0,4,112,100.7003,-65.8948
0,4,120,100.9962,-66.8098
0,4,128,101.0948,-67.1149
0,4,136,101.6844,-68.7506
0,4,144,102.6600,-70.4517
0,4,152,102.7271,-70.5270
0,4,160,102.9000,-70.7017
0,4,168,103.0600,-70.8410
0,4,176,103.5247,-71.1472
0,4,184,103.8654,-71.2973
0,4,192,104.1720,-71.3917
0,4,200,104.7602,-71.4981
0,4,208,105.0100,-71.5203
0,4,216,105.9458,-71.5351
0,4,224,106.5350,-71.5087
0,4,232,107.4200,-71.4423
0,4,240,107.7472,-71.4127
0,4,248,108.2600,-71.3633
0,4,256,108.3950,-71.3498
0,4,264,108.7282,-71.3157
0,4,272,109.3000,-71.2555
0,4,280,109.6450,-71.2182
0,4,288,110.1002,-71.1684
0,4,296,110.9655,-71.0719
0,4,304,111.3350,-71.0302
0,4,312,111.5475,-71.0061
0,4,320,111.7458,-70.9836
0,4,328,112.1300,-70.9397
0,4,336,112.2850,-70.9219
0,4,344,112.5309,-70.8937
0,4,352,113.2250,-70.8136
0,4,360,113.6200,-70.7678
0,4,368,113.7771,-70.7496
0,4,376,115.6956,-70.5245
0,4,384,116.0588,-70.4819
0,4,392,116.2600,-70.4583
0,4,400,117.6061,-70.2988
0,4,408,118.1403,-70.2353
0,4,416,119.3500,-70.0909
0,4,424,119.4375,-70.0805
0,4,432,120.9210,-69.9028
0,4,440,121.9879,-69.7749
0,4,448,124.1050,-69.5224
0,4,456,126.4955,-69.2389
0,4,464,130.9007,-68.7205
0,4,472,133.7550,-68.3925
0,4,480,134.8179,-68.2731
0,4,488,136.8872,-68.0447
0,4,496,149.4883,-66.8091
0,4,504,175.4863,-65.3005
0,4,512,194.4354,-64.8629
0,4,520,209.1552,-64.7064
0,4,528,223.8750,-64.6298
0,4,536,243.4808,-64.5866
0,4,544,272.6642,-64.5671
0,4,552,332.2174,-64.5617
0,4,560,444.1681,-64.5611
0,4,568,728.5632,-64.5610
0,5,0,0.0000,-65.0000
0,5,8,0.0699,-64.9855
0,5,16,0.6811,-64.9173
0,5,24,5.5147,-64.6276
0,5,32,14.0905,-64.5433
0,5,40,22.6664,-64.5540
0,5,48,36.8228,-64.5609
0,5,56,100.0000,-64.5618
0,5,64,100.0450,-64.5698
0,5,72,100.0700,-64.5815
0,5,80,100.2443,-64.7725
0,5,88,100.3715,-65.0160
0,5,96,100.4750,-65.2627
0,5,104,100.5500,-65.4613
0,5,112,100.7003,-65.8948
0,5,120,100.9962,-66.8098
0,5,128,101.0948,-67.1149
0,5,136,101.6844,-68.7506
0,5,144,102.6600,-70.4517
0,5,152,102.7271,-70.5270
0,5,160,102.9000,-70.7017
0,5,168,103.0600,-70.8410
0,5,176,103.5247,-71.1472
0,5,184,103.8654,-71.2973
0,5,192,104.1720,-71.3917
0,5,200,104.7602,-71.4981
0,5,208,105.0100,-71.5203
0,5,216,105.9458,-71.5351
0,5,224,106.5350,-71.5087
0,5,232,107.4200,-71.4423
0,5,240,107.7472,-71.4127
0,5,248,108.2600,-71.3633
0,5,256,108.3950,-71.3498
0,5,264,108.7282,-71.3157
0,5,272,109.3000,-71.2555
0,5,280,109.6450,-71.2182
0,5,288,110.1002,-71.1684
0,5,296,110.9655,-71.0719
0,5,304,111.3350,-71.0302
0,5,312,111.5475,-71.0061
0,5,320,111.7458,-70.9836
0,5,328,112.1300,-70.9397
0,5,336,112.2850,-70.9219
0,5,344,112.5309,-70.8937
0,5,352,113.2250,-70.8136
0,5,360,113.6200,-70.7678
0,5,368,113.7771,-70.7496
0,5,376,115.6956,-70.5245
0,5,384,116.0588,-70.4819
0,5,392,116.2600,-70.4583
0,5,400,117.6061,-70.2988
0,5,408,118.1403,-70.2353
0,5,416,119.3500,-70.0909
0,5,424,119.4375,-70.0805
0,5,432,120.9210,-69.9028
0,5,440,121.9879,-69.7749
0,5,448,124.1050,-69.5224
0,5,456,126.4955,-69.2389
0,5,464,130.9007,-68.7205
0,5,472,133.7550,-68.3925
0,5,480,134.8179,-68.2731
0,5,488,136.8872,-68.0447
0,5,496,149.4883,-66.8091
0,5,504,175.4863,-65.3005
0,5,512,194.4354,-64.8629
0,5,520,209.1552,-64.7064
0,5,528,223.8750,-64.6298
0,5,536,243.4808,-64.5866
0,5,544,272.6642,-64.5671
0,5,552,332.2174,-64.5617
0,5,560,444.1681,-64.5611
0,5,568,728.5632,-64.5610
0,6,0,0.0000,-65.0000
0,6,8,0.0699,-64.9855
0,6,16,0.6811,-64.9173
0,6,24,5.5147,-64.6276
0,6,32,14.0905,-64.5433
0,6,40,22.6664,-64.5540
0,6,48,36.8228,-64.5609
0,6,56,100.0000,-64.5618
0,6,64,100.0450,-64.5698
0,6,72,100.0700,-64.5815
0,6,80,100.2443,-64.7725
0,6,88,100.3715,-65.0160
0,6,96,100.4750,-65.2627
0,6,104,100.5500,-65.4613
0,6,112,100.7003,-65.8948
0,6,120,100.9962,-66.8098
0,6,128,101.0948,-67.1149
0,6,136,101.6844,-68.7506
0,6,144,102.6600,-70.4517
0,6,152,102.7271,-70.5270
0,6,160,102.9000,-70.7017
0,6,168,103.0600,-70.8410
0,6,176,103.5247,-71.1472
0,6,184,103.8654,-71.2973
0,6,192,104.1720,-71.3917
0,6,200,104.7602,-71.4981
0,6,208,105.0100,-71.5203
0,6,216,105.9458,-71.5351
0,6,224,106.5350,-71.5087
0,6,232,107.4200,-71.4423
0,6,240,107.7472,-71.4127
0,6,248,108.2600,-71.3633
0,6,256,108.3950,-71.3498
0,6,264,108.7282,-71.3157
0,6,272,109.3000,-71.2555
0,6,280,109.6450,-71.2182
0,6,288,110.1002,-71.1684
0,6,296,110.9655,-71.0719
0,6,304,111.3350,-71.0302
0,6,312,111.5475,-71.0061
