angle_deg,trial_seed,firing_rate_hz
0,1,8.0
0,2,8.0
0,3,8.0
0,4,8.0
0,5,8.0
0,6,8.0
0,7,8.0
0,8,8.0
0,9,8.0
0,10,8.0
30,1001,8.0
30,1002,8.0
30,1003,8.0
30,1004,8.0
30,1005,8.0
30,1006,8.0
30,1007,8.0
30,1008,8.0
30,1009,8.0
30,1010,8.0
60,2001,7.333333
60,2002,7.333333
60,2003,7.333333
60,2004,7.333333
60,2005,7.333333
60,2006,7.333333
60,2007,7.333333
60,2008,7.333333
60,2009,7.333333
60,2010,7.333333
90,3001,7.333333
90,3002,7.333333
90,3003,7.333333
90,3004,7.333333
90,3005,7.333333
90,3006,7.333333
90,3007,7.333333
90,3008,7.333333
90,3009,7.333333
90,3010,7.333333
120,4001,6.0
120,4002,6.0
120,4003,6.0
120,4004,6.0
120,4005,6.0
120,4006,6.0
120,4007,6.0
120,4008,6.0
120,4009,6.0
120,4010,6.0
150,5001,6.0
150,5002,6.0
150,5003,6.0
150,5004,6.0
150,5005,6.0
150,5006,6.0
150,5007,6.0
150,5008,6.0
150,5009,6.0
150,5010,6.0
180,6001,6.0
180,6002,6.0
180,6003,6.0
180,6004,6.0
180,6005,6.0
180,6006,6.0
180,6007,6.0
180,6008,6.0
180,6009,6.0
180,6010,6.0
210,7001,6.0
210,7002,6.0
210,7003,6.0
210,7004,6.0
210,7005,6.0
210,7006,6.0
210,7007,6.0
210,7008,6.0
210,7009,6.0
210,7010,6.0
240,8001,6.0
240,8002,6.0
240,8003,6.0
240,8004,6.0
240,8005,6.0
240,8006,6.0
240,8007,6.0
240,8008,6.0
240,8009,6.0
240,8010,6.0
270,9001,7.333333
270,9002,7.333333
270,9003,7.333333
270,9004,7.333333
270,9005,7.333333
270,9006,7.333333
270,9007,7.333333
270,9008,7.333333
270,9009,7.333333
270,9010,7.333333
300,10001,7.333333
300,10002,7.333333
300,10003,7.333333
300,10004,7.333333
300,10005,7.333333
300,10006,7.333333
300,10007,7.333333
300,10008,7.333333
300,10009,7.333333
300,10010,7.333333
330,11001,8.0
330,11002,8.0
330,11003,8.0
330,11004,8.0
330,11005,8.0
330,11006,8.0
330,11007,8.0
330,11008,8.0
330,11009,8.0
330,11010,8.0
