gnmda_ns,angle_deg,trial_index,spike_time_s
0.000000,0,1,0.102911
0.000000,0,2,0.102911
0.000000,0,3,0.102911
0.000000,0,4,0.102911
0.000000,0,5,0.102911
0.000000,0,6,0.102911
0.000000,0,7,0.102911
0.000000,0,8,0.102911
0.000000,0,9,0.102911
0.000000,0,10,0.102911
0.000000,30,1001,0.103384
0.000000,30,1002,0.103384
0.000000,30,1003,0.103384
0.000000,30,1004,0.103384
0.000000,30,1005,0.103384
0.000000,30,1006,0.103384
0.000000,30,1007,0.103384
0.000000,30,1008,0.103384
0.000000,30,1009,0.103384
0.000000,30,1010,0.103384
0.000000,60,2001,0.103776
0.000000,60,2002,0.103776
0.000000,60,2003,0.103776
0.000000,60,2004,0.103776
0.000000,60,2005,0.103776
0.000000,60,2006,0.103776
0.000000,60,2007,0.103776
0.000000,60,2008,0.103776
0.000000,60,2009,0.103776
0.000000,60,2010,0.103776
0.000000,300,10001,0.103931
0.000000,300,10002,0.103931
0.000000,300,10003,0.103931
0.000000,300,10004,0.103931
0.000000,300,10005,0.103931
0.000000,300,10006,0.103931
0.000000,300,10007,0.103931
0.000000,300,10008,0.103931
0.000000,300,10009,0.103931
0.000000,300,10010,0.103931
0.000000,330,11001,0.103281
0.000000,330,11002,0.103281
0.000000,330,11003,0.103281
0.000000,330,11004,0.103281
0.000000,330,11005,0.103281
0.000000,330,11006,0.103281
0.000000,330,11007,0.103281
0.000000,330,11008,0.103281
0.000000,330,11009,0.103281
0.000000,330,11010,0.103281
0.250000,0,1,0.102637
0.250000,0,1,0.118144
0.250000,0,1,0.131453
0.250000,0,1,0.143824
0.250000,0,1,0.156179
0.250000,0,1,0.168939
0.250000,0,1,0.182392
0.250000,0,1,0.196745
0.250000,0,1,0.212401
0.250000,0,1,0.229773
0.250000,0,1,0.249712
0.250000,0,1,0.274358
0.250000,0,2,0.102637
0.250000,0,2,0.118144
0.250000,0,2,0.131453
0.250000,0,2,0.143824
0.250000,0,2,0.156179
0.250000,0,2,0.168939
0.250000,0,2,0.182392
0.250000,0,2,0.196745
0.250000,0,2,0.212401
0.250000,0,2,0.229773
0.250000,0,2,0.249712
0.250000,0,2,0.274358
0.250000,0,3,0.102637
0.250000,0,3,0.118144
0.250000,0,3,0.131453
0.250000,0,3,0.143824
0.250000,0,3,0.156179
0.250000,0,3,0.168939
0.250000,0,3,0.182392
0.250000,0,3,0.196745
0.250000,0,3,0.212401
0.250000,0,3,0.229773
0.250000,0,3,0.249712
0.250000,0,3,0.274358
0.250000,0,4,0.102637
0.250000,0,4,0.118144
0.250000,0,4,0.131453
0.250000,0,4,0.143824
0.250000,0,4,0.156179
0.250000,0,4,0.168939
0.250000,0,4,0.182392
0.250000,0,4,0.196745
0.250000,0,4,0.212401
0.250000,0,4,0.229773
0.250000,0,4,0.249712
0.250000,0,4,0.274358
0.250000,0,5,0.102637
0.250000,0,5,0.118144
0.250000,0,5,0.131453
0.250000,0,5,0.143824
0.250000,0,5,0.156179
0.250000,0,5,0.168939
0.250000,0,5,0.182392
0.250000,0,5,0.196745
0.250000,0,5,0.212401
0.250000,0,5,0.229773
0.250000,0,5,0.249712
0.250000,0,5,0.274358
0.250000,0,6,0.102637
0.250000,0,6,0.118144
0.250000,0,6,0.131453
0.250000,0,6,0.143824
0.250000,0,6,0.156179
0.250000,0,6,0.168939
0.250000,0,6,0.182392
0.250000,0,6,0.196745
0.250000,0,6,0.212401
0.250000,0,6,0.229773
0.250000,0,6,0.249712
0.250000,0,6,0.274358
0.250000,0,7,0.102637
0.250000,0,7,0.118144
0.250000,0,7,0.131453
0.250000,0,7,0.143824
0.250000,0,7,0.156179
0.250000,0,7,0.168939
0.250000,0,7,0.182392
0.250000,0,7,0.196745
0.250000,0,7,0.212401
0.250000,0,7,0.229773
0.250000,0,7,0.249712
0.250000,0,7,0.274358
0.250000,0,8,0.102637
0.250000,0,8,0.118144
0.250000,0,8,0.131453
0.250000,0,8,0.143824
0.250000,0,8,0.156179
0.250000,0,8,0.168939
0.250000,0,8,0.182392
0.250000,0,8,0.196745
0.250000,0,8,0.212401
0.250000,0,8,0.229773
0.250000,0,8,0.249712
0.250000,0,8,0.274358
0.250000,0,9,0.102637
0.250000,0,9,0.118144
0.250000,0,9,0.131453
0.250000,0,9,0.143824
0.250000,0,9,0.156179
0.250000,0,9,0.168939
0.250000,0,9,0.182392
0.250000,0,9,0.196745
0.250000,0,9,0.212401
0.250000,0,9,0.229773
0.250000,0,9,0.249712
0.250000,0,9,0.274358
0.250000,0,10,0.102637
0.250000,0,10,0.118144
0.250000,0,10,0.131453
0.250000,0,10,0.143824
0.250000,0,10,0.156179
0.250000,0,10,0.168939
0.250000,0,10,0.182392
0.250000,0,10,0.196745
0.250000,0,10,0.212401
0.250000,0,10,0.229773
0.250000,0,10,0.249712
0.250000,0,10,0.274358
0.250000,30,1001,0.102951
0.250000,30,1001,0.120968
0.250000,30,1001,0.134708
0.250000,30,1001,0.147258
0.250000,30,1001,0.159832
0.250000,30,1001,0.172815
0.250000,30,1001,0.186486
0.250000,30,1001,0.201157
0.250000,30,1001,0.217181
0.250000,30,1001,0.235053
0.250000,30,1001,0.255800
0.250000,30,1001,0.282589
0.250000,30,1002,0.102951
0.250000,30,1002,0.120968
0.250000,30,1002,0.134708
0.250000,30,1002,0.147258
0.250000,30,1002,0.159832
0.250000,30,1002,0.172815
0.250000,30,1002,0.186486
0.250000,30,1002,0.201157
0.250000,30,1002,0.217181
0.250000,30,1002,0.235053
0.250000,30,1002,0.255800
0.250000,30,1002,0.282589
0.250000,30,1003,0.102951
0.250000,30,1003,0.120968
0.250000,30,1003,0.134708
0.250000,30,1003,0.147258
0.250000,30,1003,0.159832
0.250000,30,1003,0.172815
0.250000,30,1003,0.186486
0.250000,30,1003,0.201157
0.250000,30,1003,0.217181
0.250000,30,1003,0.235053
0.250000,30,1003,0.255800
0.250000,30,1003,0.282589
0.250000,30,1004,0.102951
0.250000,30,1004,0.120968
0.250000,30,1004,0.134708
0.250000,30,1004,0.147258
0.250000,30,1004,0.159832
0.250000,30,1004,0.172815
0.250000,30,1004,0.186486
0.250000,30,1004,0.201157
0.250000,30,1004,0.217181
0.250000,30,1004,0.235053
0.250000,30,1004,0.255800
0.250000,30,1004,0.282589
0.250000,30,1005,0.102951
0.250000,30,1005,0.120968
0.250000,30,1005,0.134708
0.250000,30,1005,0.147258
0.250000,30,1005,0.159832
0.250000,30,1005,0.172815
0.250000,30,1005,0.186486
0.250000,30,1005,0.201157
0.250000,30,1005,0.217181
0.250000,30,1005,0.235053
0.250000,30,1005,0.255800
0.250000,30,1005,0.282589
0.250000,30,1006,0.102951
0.250000,30,1006,0.120968
0.250000,30,1006,0.134708
0.250000,30,1006,0.147258
0.250000,30,1006,0.159832
0.250000,30,1006,0.172815
0.250000,30,1006,0.186486
0.250000,30,1006,0.201157
0.250000,30,1006,0.217181
0.250000,30,1006,0.235053
0.250000,30,1006,0.255800
0.250000,30,1006,0.282589
0.250000,30,1007,0.102951
0.250000,30,1007,0.120968
0.250000,30,1007,0.134708
0.250000,30,1007,0.147258
0.250000,30,1007,0.159832
0.250000,30,1007,0.172815
0.250000,30,1007,0.186486
0.250000,30,1007,0.201157
0.250000,30,1007,0.217181
0.250000,30,1007,0.235053
0.250000,30,1007,0.255800
0.250000,30,1007,0.282589
0.250000,30,1008,0.102951
0.250000,30,1008,0.120968
0.250000,30,1008,0.134708
0.250000,30,1008,0.147258
0.250000,30,1008,0.159832
0.250000,30,1008,0.172815
0.250000,30,1008,0.186486
0.250000,30,1008,0.201157
0.250000,30,1008,0.217181
0.250000,30,1008,0.235053
0.250000,30,1008,0.255800
0.250000,30,1008,0.282589
0.250000,30,1009,0.102951
0.250000,30,1009,0.120968
0.250000,30,1009,0.134708
0.250000,30,1009,0.147258
0.250000,30,1009,0.159832
0.250000,30,1009,0.172815
0.250000,30,1009,0.186486
0.250000,30,1009,0.201157
0.250000,30,1009,0.217181
0.250000,30,1009,0.235053
0.250000,30,1009,0.255800
0.250000,30,1009,0.282589
0.250000,30,1010,0.102951
0.250000,30,1010,0.120968
0.250000,30,1010,0.134708
0.250000,30,1010,0.147258
0.250000,30,1010,0.159832
0.250000,30,1010,0.172815
0.250000,30,1010,0.186486
0.250000,30,1010,0.201157
0.250000,30,1010,0.217181
0.250000,30,1010,0.235053
0.250000,30,1010,0.255800
0.250000,30,1010,0.282589
0.250000,60,2001,0.103095
0.250000,60,2001,0.124397
0.250000,60,2001,0.139015
0.250000,60,2001,0.152128
0.250000,60,2001,0.165189
0.250000,60,2001,0.178617
0.250000,60,2001,0.192800
0.250000,60,2001,0.208094
0.250000,60,2001,0.224910
0.250000,60,2001,0.243917
0.250000,60,2001,0.266615
0.250000,60,2002,0.103095
0.250000,60,2002,0.124397
0.250000,60,2002,0.139015
0.250000,60,2002,0.152128
0.250000,60,2002,0.165189
0.250000,60,2002,0.178617
0.250000,60,2002,0.192800
0.250000,60,2002,0.208094
0.250000,60,2002,0.224910
0.250000,60,2002,0.243917
0.250000,60,2002,0.266615
0.250000,60,2003,0.103095
0.250000,60,2003,0.124397
0.250000,60,2003,0.139015
0.250000,60,2003,0.152128
0.250000,60,2003,0.165189
0.250000,60,2003,0.178617
0.250000,60,2003,0.192800
0.250000,60,2003,0.208094
0.250000,60,2003,0.224910
0.250000,60,2003,0.243917
0.250000,60,2003,0.266615
0.250000,60,2004,0.103095
0.250000,60,2004,0.124397
0.250000,60,2004,0.139015
0.250000,60,2004,0.152128
0.250000,60,2004,0.165189
0.250000,60,2004,0.178617
0.250000,60,2004,0.192800
0.250000,60,2004,0.208094
0.250000,60,2004,0.224910
0.250000,60,2004,0.243917
0.250000,60,2004,0.266615
0.250000,60,2005,0.103095
0.250000,60,2005,0.124397
0.250000,60,2005,0.139015
0.250000,60,2005,0.152128
0.250000,60,2005,0.165189
0.250000,60,2005,0.178617
0.250000,60,2005,0.192800
0.250000,60,2005,0.208094
0.250000,60,2005,0.224910
0.250000,60,2005,0.243917
0.250000,60,2005,0.266615
0.250000,60,2006,0.103095
0.250000,60,2006,0.124397
0.250000,60,2006,0.139015
0.250000,60,2006,0.152128
0.250000,60,2006,0.165189
0.250000,60,2006,0.178617
0.250000,60,2006,0.192800
0.250000,60,2006,0.208094
0.250000,60,2006,0.224910
0.250000,60,2006,0.243917
0.250000,60,2006,0.266615
0.250000,60,2007,0.103095
0.250000,60,2007,0.124397
0.250000,60,2007,0.139015
0.250000,60,2007,0.152128
0.250000,60,2007,0.165189
0.250000,60,2007,0.178617
0.250000,60,2007,0.192800
0.250000,60,2007,0.208094
0.250000,60,2007,0.224910
0.250000,60,2007,0.243917
0.250000,60,2007,0.266615
0.250000,60,2008,0.103095
0.250000,60,2008,0.124397
0.250000,60,2008,0.139015
0.250000,60,2008,0.152128
0.250000,60,2008,0.165189
0.250000,60,2008,0.178617
0.250000,60,2008,0.192800
0.250000,60,2008,0.208094
0.250000,60,2008,0.224910
0.250000,60,2008,0.243917
0.250000,60,2008,0.266615
0.250000,60,2009,0.103095
0.250000,60,2009,0.124397
0.250000,60,2009,0.139015
0.250000,60,2009,0.152128
0.250000,60,2009,0.165189
0.250000,60,2009,0.178617
0.250000,60,2009,0.192800
0.250000,60,2009,0.208094
0.250000,60,2009,0.224910
0.250000,60,2009,0.243917
0.250000,60,2009,0.266615
0.250000,60,2010,0.103095
0.250000,60,2010,0.124397
0.250000,60,2010,0.139015
0.250000,60,2010,0.152128
0.250000,60,2010,0.165189
0.250000,60,2010,0.178617
0.250000,60,2010,0.192800
0.250000,60,2010,0.208094
0.250000,60,2010,0.224910
0.250000,60,2010,0.243917
0.250000,60,2010,0.266615
0.250000,90,3001,0.103231
0.250000,90,3001,0.133162
0.250000,90,3001,0.147888
0.250000,90,3001,0.161469
0.250000,90,3001,0.175111
0.250000,90,3001,0.189352
0.250000,90,3001,0.204547
0.250000,90,3001,0.221169
0.250000,90,3001,0.239855
0.250000,90,3001,0.261889
0.250000,90,3001,0.295883
0.250000,90,3002,0.103231
0.250000,90,3002,0.133162
0.250000,90,3002,0.147888
0.250000,90,3002,0.161469
0.250000,90,3002,0.175111
0.250000,90,3002,0.189352
0.250000,90,3002,0.204547
0.250000,90,3002,0.221169
0.250000,90,3002,0.239855
0.250000,90,3002,0.261889
0.250000,90,3002,0.295883
0.250000,90,3003,0.103231
0.250000,90,3003,0.133162
0.250000,90,3003,0.147888
0.250000,90,3003,0.161469
0.250000,90,3003,0.175111
0.250000,90,3003,0.189352
0.250000,90,3003,0.204547
0.250000,90,3003,0.221169
0.250000,90,3003,0.239855
0.250000,90,3003,0.261889
0.250000,90,3003,0.295883
0.250000,90,3004,0.103231
0.250000,90,3004,0.133162
0.250000,90,3004,0.147888
0.250000,90,3004,0.161469
0.250000,90,3004,0.175111
0.250000,90,3004,0.189352
0.250000,90,3004,0.204547
0.250000,90,3004,0.221169
0.250000,90,3004,0.239855
0.250000,90,3004,0.261889
0.250000,90,3004,0.295883
0.250000,90,3005,0.103231
0.250000,90,3005,0.133162
0.250000,90,3005,0.147888
0.250000,90,3005,0.161469
0.250000,90,3005,0.175111
0.250000,90,3005,0.189352
0.250000,90,3005,0.204547
0.250000,90,3005,0.221169
0.250000,90,3005,0.239855
0.250000,90,3005,0.261889
0.250000,90,3005,0.295883
0.250000,90,3006,0.103231
0.250000,90,3006,0.133162
0.250000,90,3006,0.147888
0.250000,90,3006,0.161469
0.250000,90,3006,0.175111
0.250000,90,3006,0.189352
0.250000,90,3006,0.204547
0.250000,90,3006,0.221169
0.250000,90,3006,0.239855
0.250000,90,3006,0.261889
0.250000,90,3006,0.295883
0.250000,90,3007,0.103231
