gnmda_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.000000,0,1,0,0.0000,-65.0000
0.000000,0,1,8,0.0707,-64.9854
0.000000,0,1,16,0.6925,-64.9161
0.000000,0,1,24,5.7031,-64.6221
0.000000,0,1,32,14.5994,-64.5431
0.000000,0,1,40,23.4957,-64.5550
0.000000,0,1,48,32.3920,-64.5604
0.000000,0,1,56,41.2882,-64.5625
0.000000,0,1,64,61.0579,-64.5615
0.000000,0,1,72,100.0231,-64.5617
0.000000,0,1,80,100.0691,-64.5677
0.000000,0,1,88,100.2274,-64.6274
0.000000,0,1,96,100.3800,-64.7339
0.000000,0,1,104,100.4750,-64.8212
0.000000,0,1,112,100.5552,-64.9048
0.000000,0,1,120,100.9950,-65.4754
0.000000,0,1,128,101.0601,-65.5707
0.000000,0,1,136,101.4175,-66.1099
0.000000,0,1,144,102.6601,-67.7537
0.000000,0,1,152,102.7400,-67.8356
0.000000,0,1,160,102.9000,-67.9922
0.000000,0,1,168,103.0600,-68.1392
0.000000,0,1,176,103.4455,-68.4595
0.000000,0,1,184,103.8008,-68.7110
0.000000,0,1,192,104.0514,-68.8636
0.000000,0,1,200,104.7301,-69.1959
0.000000,0,1,208,104.8368,-69.2374
0.000000,0,1,216,105.0121,-69.3008
0.000000,0,1,224,106.0077,-69.5742
0.000000,0,1,232,106.3436,-69.6337
0.000000,0,1,240,106.5839,-69.6682
0.000000,0,1,248,107.4200,-69.7537
0.000000,0,1,256,107.4748,-69.7573
0.000000,0,1,264,107.9851,-69.7865
0.000000,0,1,272,108.2606,-69.7987
0.000000,0,1,280,108.3721,-69.8036
0.000000,0,1,288,108.5796,-69.8146
0.000000,0,1,296,108.7565,-69.8254
0.000000,0,1,304,109.2209,-69.8556
0.000000,0,1,312,109.3499,-69.8638
0.000000,0,1,320,109.5420,-69.8778
0.000000,0,1,328,109.9044,-69.9063
0.000000,0,1,336,110.4177,-69.9458
0.000000,0,1,344,111.0541,-69.9832
0.000000,0,1,352,111.3178,-69.9953
0.000000,0,1,360,111.4075,-69.9994
0.000000,0,1,368,111.5957,-70.0082
0.000000,0,1,376,111.7400,-70.0157
0.000000,0,1,384,111.9950,-70.0305
0.000000,0,1,392,112.1300,-70.0391
0.000000,0,1,400,112.2551,-70.0475
0.000000,0,1,408,112.3771,-70.0566
0.000000,0,1,416,112.5623,-70.0721
0.000000,0,1,424,113.2050,-70.1313
0.000000,0,1,432,113.3950,-70.1486
0.000000,0,1,440,113.6200,-70.1696
0.000000,0,1,448,113.7700,-70.1837
0.000000,0,1,456,114.2022,-70.2245
0.000000,0,1,464,115.3219,-70.2948
0.000000,0,1,472,115.7682,-70.3021
0.000000,0,1,480,116.0626,-70.3014
0.000000,0,1,488,116.2600,-70.2998
0.000000,0,1,496,116.5911,-70.2981
0.000000,0,1,504,117.6050,-70.2853
0.000000,0,1,512,117.7358,-70.2822
0.000000,0,1,520,118.5092,-70.2635
