gaba_base_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.250000,0,1,0,0.0000,-65.0000
0.250000,0,1,8,0.0690,-64.9856
0.250000,0,1,16,0.6695,-64.9185
0.250000,0,1,24,5.3223,-64.6335
0.250000,0,1,32,18.4415,-64.5479
0.250000,0,1,40,36.9991,-64.5621
0.250000,0,1,48,55.5567,-64.5589
0.250000,0,1,56,68.9451,-64.5650
0.250000,0,1,64,81.5952,-64.5598
0.250000,0,1,72,95.0344,-64.5613
0.250000,0,1,80,100.0075,-64.5641
0.250000,0,1,88,100.0453,-64.5337
0.250000,0,1,96,100.0703,-64.4885
0.250000,0,1,104,100.1785,-64.1098
0.250000,0,1,112,100.3267,-63.2211
0.250000,0,1,120,100.3801,-62.8269
0.250000,0,1,128,100.4750,-62.0556
0.250000,0,1,136,100.5500,-61.3987
0.250000,0,1,144,100.6086,-60.8644
0.250000,0,1,152,100.9662,-57.4375
0.250000,0,1,160,101.0416,-56.7112
0.250000,0,1,168,101.0803,-56.3391
0.250000,0,1,176,101.2655,-54.5407
0.250000,0,1,184,101.6106,-50.8532
0.250000,0,1,192,101.8743,-46.6524
0.250000,0,1,200,102.0993,-38.2278
0.250000,0,1,208,102.2455,-26.2126
0.250000,0,1,216,102.3614,-15.4729
0.250000,0,1,224,102.5453,-1.2223
0.250000,0,1,232,102.6645,5.8511
0.250000,0,1,240,102.6851,6.8979
0.250000,0,1,248,102.7400,9.4407
0.250000,0,1,256,102.7796,11.0543
0.250000,0,1,264,102.9003,14.9118
0.250000,0,1,272,102.9869,16.8006
0.250000,0,1,280,103.0679,17.9902
0.250000,0,1,288,103.2413,18.9921
0.250000,0,1,296,103.7428,14.0109
0.250000,0,1,304,103.7843,13.2595
0.250000,0,1,312,104.0300,8.1908
0.250000,0,1,320,104.1210,6.1062
0.250000,0,1,328,104.5715,-4.9517
0.250000,0,1,336,104.7679,-9.8393
0.250000,0,1,344,104.8552,-11.9760
0.250000,0,1,352,105.0102,-15.6826
0.250000,0,1,360,105.1587,-19.0948
0.250000,0,1,368,105.9476,-34.3008
0.250000,0,1,376,106.2349,-38.6823
0.250000,0,1,384,106.4275,-41.3760
0.250000,0,1,392,106.5793,-43.3919
0.250000,0,1,400,107.0338,-48.9354
0.250000,0,1,408,107.4202,-52.9840
0.250000,0,1,416,107.4701,-53.4498
0.250000,0,1,424,107.6311,-54.8407
0.250000,0,1,432,107.9851,-57.3314
0.250000,0,1,440,108.1308,-58.1560
0.250000,0,1,448,108.2716,-58.8536
0.250000,0,1,456,108.3504,-59.2014
0.250000,0,1,464,108.4075,-59.4318
0.250000,0,1,472,108.6250,-60.1568
0.250000,0,1,480,108.6869,-60.3252
0.250000,0,1,488,109.1309,-61.1811
0.250000,0,1,496,109.2468,-61.3375
0.250000,0,1,504,109.3215,-61.4241
0.250000,0,1,512,109.3977,-61.4970
0.250000,0,1,520,109.6450,-61.6376
0.250000,0,1,528,109.7663,-61.6701
0.250000,0,1,536,110.1001,-61.6795
0.250000,0,1,544,110.2535,-61.6607
0.250000,0,1,552,110.8445,-61.5269
0.250000,0,1,560,110.9925,-61.5007
0.250000,0,1,568,111.2178,-61.4510
0.250000,0,1,576,111.2385,-61.4463
0.250000,0,1,584,111.3355,-61.4206
0.250000,0,1,592,111.4325,-61.3891
0.250000,0,1,600,111.5407,-61.3453
0.250000,0,1,608,111.6150,-61.3085
0.250000,0,1,616,111.6922,-61.2634
0.250000,0,1,624,111.7821,-61.2035
0.250000,0,1,632,111.9951,-61.0309
0.250000,0,1,640,112.1300,-60.9047
0.250000,0,1,648,112.2176,-60.8161
0.250000,0,1,656,112.2850,-60.7434
0.250000,0,1,664,112.3608,-60.6539
0.250000,0,1,672,112.5124,-60.4535
0.250000,0,1,680,112.7470,-60.1059
0.250000,0,1,688,113.2051,-59.4308
0.250000,0,1,696,113.2452,-59.3774
0.250000,0,1,704,113.3951,-59.1689
0.250000,0,1,712,113.5370,-58.9670
0.250000,0,1,720,113.6520,-58.8033
0.250000,0,1,728,113.7760,-58.6268
0.250000,0,1,736,113.9906,-58.3174
0.250000,0,1,744,114.7332,-57.3878
0.250000,0,1,752,115.6950,-56.8717
0.250000,0,1,760,115.7520,-56.8641
0.250000,0,1,768,116.0550,-56.8402
0.250000,0,1,776,116.1152,-56.8373
0.250000,0,1,784,116.2262,-56.8287
0.250000,0,1,792,116.2689,-56.8246
0.250000,0,1,800,116.4488,-56.7949
0.250000,0,1,808,117.0720,-56.6171
0.250000,0,1,816,117.6086,-56.5552
0.250000,0,1,824,117.7350,-56.5546
0.250000,0,1,832,117.8008,-56.5534
0.250000,0,1,840,118.3770,-56.5234
0.250000,0,1,848,118.8754,-56.5666
0.250000,0,1,856,119.0064,-56.5949
0.250000,0,1,864,119.3500,-56.6757
0.250000,0,1,872,119.4300,-56.6970
0.250000,0,1,880,119.5247,-56.7178
0.250000,0,1,888,120.1268,-56.7754
0.250000,0,1,896,120.8751,-56.9701
0.250000,0,1,904,121.0123,-57.0253
0.250000,0,1,912,121.6787,-57.3141
0.250000,0,1,920,121.9210,-57.4510
0.250000,0,1,928,122.1701,-57.5870
0.250000,0,1,936,122.2984,-57.6497
0.250000,0,1,944,122.9450,-57.9261
0.250000,0,1,952,124.1050,-58.6674
0.250000,0,1,960,124.1870,-58.7311
0.250000,0,1,968,124.7586,-59.1302
0.250000,0,1,976,126.1206,-60.1684
0.250000,0,1,984,128.8750,-62.3481
0.250000,0,1,992,130.8652,-63.4580
0.250000,0,1,1000,130.9684,-63.4988
0.250000,0,1,1008,131.4375,-63.6027
0.250000,0,1,1016,132.5032,-63.7193
0.250000,0,1,1024,133.7552,-63.8814
0.250000,0,1,1032,133.8812,-63.8935
0.250000,0,1,1040,134.4328,-63.8646
0.250000,0,1,1048,135.8249,-63.7868
0.250000,0,1,1056,139.1308,-64.0827
0.250000,0,1,1064,145.2176,-64.5503
0.250000,0,1,1072,154.8522,-64.6126
0.250000,0,1,1080,176.3269,-64.5620
0.250000,0,1,1088,235.8387,-64.5615
0.250000,0,1,1096,586.1159,-64.5607
0.250000,0,1,1104,1325.9760,-64.5603
0.250000,0,2,0,0.0000,-65.0000
0.250000,0,2,8,0.0690,-64.9856
0.250000,0,2,16,0.6695,-64.9185
0.250000,0,2,24,5.3223,-64.6335
0.250000,0,2,32,18.4415,-64.5479
0.250000,0,2,40,36.9991,-64.5621
0.250000,0,2,48,55.5567,-64.5589
0.250000,0,2,56,68.9451,-64.5650
0.250000,0,2,64,81.5952,-64.5598
0.250000,0,2,72,95.0344,-64.5613
0.250000,0,2,80,100.0075,-64.5641
0.250000,0,2,88,100.0453,-64.5337
0.250000,0,2,96,100.0703,-64.4885
0.250000,0,2,104,100.1785,-64.1098
0.250000,0,2,112,100.3267,-63.2211
0.250000,0,2,120,100.3801,-62.8269
0.250000,0,2,128,100.4750,-62.0556
0.250000,0,2,136,100.5500,-61.3987
0.250000,0,2,144,100.6086,-60.8644
0.250000,0,2,152,100.9662,-57.4375
0.250000,0,2,160,101.0416,-56.7112
0.250000,0,2,168,101.0803,-56.3391
0.250000,0,2,176,101.2655,-54.5407
0.250000,0,2,184,101.6106,-50.8532
0.250000,0,2,192,101.8743,-46.6524
0.250000,0,2,200,102.0993,-38.2278
0.250000,0,2,208,102.2455,-26.2126
0.250000,0,2,216,102.3614,-15.4729
0.250000,0,2,224,102.5453,-1.2223
0.250000,0,2,232,102.6645,5.8511
0.250000,0,2,240,102.6851,6.8979
0.250000,0,2,248,102.7400,9.4407
0.250000,0,2,256,102.7796,11.0543
0.250000,0,2,264,102.9003,14.9118
0.250000,0,2,272,102.9869,16.8006
0.250000,0,2,280,103.0679,17.9902
0.250000,0,2,288,103.2413,18.9921
0.250000,0,2,296,103.7428,14.0109
0.250000,0,2,304,103.7843,13.2595
0.250000,0,2,312,104.0300,8.1908
0.250000,0,2,320,104.1210,6.1062
0.250000,0,2,328,104.5715,-4.9517
0.250000,0,2,336,104.7679,-9.8393
0.250000,0,2,344,104.8552,-11.9760
0.250000,0,2,352,105.0102,-15.6826
0.250000,0,2,360,105.1587,-19.0948
0.250000,0,2,368,105.9476,-34.3008
0.250000,0,2,376,106.2349,-38.6823
0.250000,0,2,384,106.4275,-41.3760
0.250000,0,2,392,106.5793,-43.3919
0.250000,0,2,400,107.0338,-48.9354
0.250000,0,2,408,107.4202,-52.9840
0.250000,0,2,416,107.4701,-53.4498
0.250000,0,2,424,107.6311,-54.8407
0.250000,0,2,432,107.9851,-57.3314
0.250000,0,2,440,108.1308,-58.1560
0.250000,0,2,448,108.2716,-58.8536
0.250000,0,2,456,108.3504,-59.2014
0.250000,0,2,464,108.4075,-59.4318
0.250000,0,2,472,108.6250,-60.1568
0.250000,0,2,480,108.6869,-60.3252
0.250000,0,2,488,109.1309,-61.1811
0.250000,0,2,496,109.2468,-61.3375
0.250000,0,2,504,109.3215,-61.4241
0.250000,0,2,512,109.3977,-61.4970
0.250000,0,2,520,109.6450,-61.6376
0.250000,0,2,528,109.7663,-61.6701
0.250000,0,2,536,110.1001,-61.6795
0.250000,0,2,544,110.2535,-61.6607
0.250000,0,2,552,110.8445,-61.5269
0.250000,0,2,560,110.9925,-61.5007
0.250000,0,2,568,111.2178,-61.4510
0.250000,0,2,576,111.2385,-61.4463
0.250000,0,2,584,111.3355,-61.4206
0.250000,0,2,592,111.4325,-61.3891
0.250000,0,2,600,111.5407,-61.3453
0.250000,0,2,608,111.6150,-61.3085
0.250000,0,2,616,111.6922,-61.2634
0.250000,0,2,624,111.7821,-61.2035
0.250000,0,2,632,111.9951,-61.0309
0.250000,0,2,640,112.1300,-60.9047
0.250000,0,2,648,112.2176,-60.8161
0.250000,0,2,656,112.2850,-60.7434
0.250000,0,2,664,112.3608,-60.6539
0.250000,0,2,672,112.5124,-60.4535
0.250000,0,2,680,112.7470,-60.1059
0.250000,0,2,688,113.2051,-59.4308
0.250000,0,2,696,113.2452,-59.3774
0.250000,0,2,704,113.3951,-59.1689
0.250000,0,2,712,113.5370,-58.9670
0.250000,0,2,720,113.6520,-58.8033
0.250000,0,2,728,113.7760,-58.6268
0.250000,0,2,736,113.9906,-58.3174
0.250000,0,2,744,114.7332,-57.3878
0.250000,0,2,752,115.6950,-56.8717
0.250000,0,2,760,115.7520,-56.8641
0.250000,0,2,768,116.0550,-56.8402
0.250000,0,2,776,116.1152,-56.8373
0.250000,0,2,784,116.2262,-56.8287
0.250000,0,2,792,116.2689,-56.8246
0.250000,0,2,800,116.4488,-56.7949
0.250000,0,2,808,117.0720,-56.6171
0.250000,0,2,816,117.6086,-56.5552
0.250000,0,2,824,117.7350,-56.5546
0.250000,0,2,832,117.8008,-56.5534
0.250000,0,2,840,118.3770,-56.5234
0.250000,0,2,848,118.8754,-56.5666
0.250000,0,2,856,119.0064,-56.5949
0.250000,0,2,864,119.3500,-56.6757
0.250000,0,2,872,119.4300,-56.6970
0.250000,0,2,880,119.5247,-56.7178
0.250000,0,2,888,120.1268,-56.7754
0.250000,0,2,896,120.8751,-56.9701
0.250000,0,2,904,121.0123,-57.0253
0.250000,0,2,912,121.6787,-57.3141
0.250000,0,2,920,121.9210,-57.4510
0.250000,0,2,928,122.1701,-57.5870
0.250000,0,2,936,122.2984,-57.6497
0.250000,0,2,944,122.9450,-57.9261
0.250000,0,2,952,124.1050,-58.6674
0.250000,0,2,960,124.1870,-58.7311
0.250000,0,2,968,124.7586,-59.1302
0.250000,0,2,976,126.1206,-60.1684
0.250000,0,2,984,128.8750,-62.3481
0.250000,0,2,992,130.8652,-63.4580
0.250000,0,2,1000,130.9684,-63.4988
0.250000,0,2,1008,131.4375,-63.6027
0.250000,0,2,1016,132.5032,-63.7193
0.250000,0,2,1024,133.7552,-63.8814
0.250000,0,2,1032,133.8812,-63.8935
0.250000,0,2,1040,134.4328,-63.8646
0.250000,0,2,1048,135.8249,-63.7868
0.250000,0,2,1056,139.1308,-64.0827
0.250000,0,2,1064,145.2176,-64.5503
0.250000,0,2,1072,154.8522,-64.6126
0.250000,0,2,1080,176.3269,-64.5620
0.250000,0,2,1088,235.8387,-64.5615
0.250000,0,2,1096,586.1159,-64.5607
0.250000,0,2,1104,1325.9760,-64.5603
0.250000,0,3,0,0.0000,-65.0000
0.250000,0,3,8,0.0690,-64.9856
0.250000,0,3,16,0.6695,-64.9185
0.250000,0,3,24,5.3223,-64.6335
0.250000,0,3,32,18.4415,-64.5479
0.250000,0,3,40,36.9991,-64.5621
0.250000,0,3,48,55.5567,-64.5589
0.250000,0,3,56,68.9451,-64.5650
0.250000,0,3,64,81.5952,-64.5598
0.250000,0,3,72,95.0344,-64.5613
0.250000,0,3,80,100.0075,-64.5641
0.250000,0,3,88,100.0453,-64.5337
0.250000,0,3,96,100.0703,-64.4885
0.250000,0,3,104,100.1785,-64.1098
0.250000,0,3,112,100.3267,-63.2211
0.250000,0,3,120,100.3801,-62.8269
0.250000,0,3,128,100.4750,-62.0556
0.250000,0,3,136,100.5500,-61.3987
0.250000,0,3,144,100.6086,-60.8644
0.250000,0,3,152,100.9662,-57.4375
0.250000,0,3,160,101.0416,-56.7112
0.250000,0,3,168,101.0803,-56.3391
0.250000,0,3,176,101.2655,-54.5407
0.250000,0,3,184,101.6106,-50.8532
0.250000,0,3,192,101.8743,-46.6524
0.250000,0,3,200,102.0993,-38.2278
0.250000,0,3,208,102.2455,-26.2126
0.250000,0,3,216,102.3614,-15.4729
0.250000,0,3,224,102.5453,-1.2223
0.250000,0,3,232,102.6645,5.8511
0.250000,0,3,240,102.6851,6.8979
0.250000,0,3,248,102.7400,9.4407
0.250000,0,3,256,102.7796,11.0543
0.250000,0,3,264,102.9003,14.9118
0.250000,0,3,272,102.9869,16.8006
0.250000,0,3,280,103.0679,17.9902
0.250000,0,3,288,103.2413,18.9921
0.250000,0,3,296,103.7428,14.0109
0.250000,0,3,304,103.7843,13.2595
0.250000,0,3,312,104.0300,8.1908
0.250000,0,3,320,104.1210,6.1062
0.250000,0,3,328,104.5715,-4.9517
0.250000,0,3,336,104.7679,-9.8393
0.250000,0,3,344,104.8552,-11.9760
0.250000,0,3,352,105.0102,-15.6826
0.250000,0,3,360,105.1587,-19.0948
0.250000,0,3,368,105.9476,-34.3008
0.250000,0,3,376,106.2349,-38.6823
0.250000,0,3,384,106.4275,-41.3760
0.250000,0,3,392,106.5793,-43.3919
0.250000,0,3,400,107.0338,-48.9354
0.250000,0,3,408,107.4202,-52.9840
0.250000,0,3,416,107.4701,-53.4498
0.250000,0,3,424,107.6311,-54.8407
0.250000,0,3,432,107.9851,-57.3314
0.250000,0,3,440,108.1308,-58.1560
0.250000,0,3,448,108.2716,-58.8536
0.250000,0,3,456,108.3504,-59.2014
0.250000,0,3,464,108.4075,-59.4318
0.250000,0,3,472,108.6250,-60.1568
0.250000,0,3,480,108.6869,-60.3252
0.250000,0,3,488,109.1309,-61.1811
0.250000,0,3,496,109.2468,-61.3375
0.250000,0,3,504,109.3215,-61.4241
0.250000,0,3,512,109.3977,-61.4970
0.250000,0,3,520,109.6450,-61.6376
