gaba_base_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.250000,0,1,0,0.0000,-65.0000
0.250000,0,1,8,0.0690,-64.9856
0.250000,0,1,16,0.6695,-64.9185
0.250000,0,1,24,5.3223,-64.6335
0.250000,0,1,32,18.4415,-64.5479
0.250000,0,1,40,36.9991,-64.5621
0.250000,0,1,48,55.5567,-64.5589
0.250000,0,1,56,68.9451,-64.5650
0.250000,0,1,64,81.5952,-64.5598
0.250000,0,1,72,95.0344,-64.5613
0.250000,0,1,80,100.0031,-64.5657
0.250000,0,1,88,100.0450,-64.5357
0.250000,0,1,96,100.0592,-64.5129
0.250000,0,1,104,100.0892,-64.4445
0.250000,0,1,112,100.2519,-63.7247
0.250000,0,1,120,100.3379,-63.1687
0.250000,0,1,128,100.3879,-62.8087
0.250000,0,1,136,100.4781,-62.1068
0.250000,0,1,144,100.5502,-61.5138
0.250000,0,1,152,100.6604,-60.5770
0.250000,0,1,160,100.9950,-57.7173
0.250000,0,1,168,101.0600,-57.1772
0.250000,0,1,176,101.1046,-56.8080
0.250000,0,1,184,101.3473,-54.8032
0.250000,0,1,192,101.7008,-51.6686
0.250000,0,1,200,101.9738,-48.2125
0.250000,0,1,208,102.2230,-40.9275
0.250000,0,1,216,102.3835,-29.2739
0.250000,0,1,224,102.5007,-18.6528
0.250000,0,1,232,102.6600,-6.1538
0.250000,0,1,240,102.6809,-4.7318
0.250000,0,1,248,102.7400,-0.9742
0.250000,0,1,256,102.7722,0.8982
0.250000,0,1,264,102.9000,7.1361
0.250000,0,1,272,102.9398,8.6934
0.250000,0,1,280,103.0602,12.3754
0.250000,0,1,288,103.1640,14.4348
0.250000,0,1,296,103.3687,16.0711
0.250000,0,1,304,103.7450,13.3474
0.250000,0,1,312,103.8497,11.7216
0.250000,0,1,320,104.0348,8.2499
0.250000,0,1,328,104.2405,3.7523
0.250000,0,1,336,104.6784,-6.8790
0.250000,0,1,344,104.8215,-10.4239
0.250000,0,1,352,104.8927,-12.1689
0.250000,0,1,360,105.0218,-15.2898
0.250000,0,1,368,105.2640,-20.9087
0.250000,0,1,376,105.9633,-34.7112
0.250000,0,1,384,106.2375,-39.1628
0.250000,0,1,392,106.4392,-42.1935
0.250000,0,1,400,106.5802,-44.2166
0.250000,0,1,408,107.0481,-50.4122
0.250000,0,1,416,107.4213,-54.5906
0.250000,0,1,424,107.4725,-55.0923
0.250000,0,1,432,107.6796,-56.9177
0.250000,0,1,440,107.9868,-59.0697
0.250000,0,1,448,108.1655,-60.0612
0.250000,0,1,456,108.2717,-60.5720
0.250000,0,1,464,108.3502,-60.9115
0.250000,0,1,472,108.4002,-61.1095
0.250000,0,1,480,108.5779,-61.7026
0.250000,0,1,488,108.6681,-61.9493
0.250000,0,1,496,109.0348,-62.6627
0.250000,0,1,504,109.2371,-62.9318
0.250000,0,1,512,109.3125,-63.0140
0.250000,0,1,520,109.3737,-63.0704
0.250000,0,1,528,109.6450,-63.2120
0.250000,0,1,536,109.7337,-63.2329
0.250000,0,1,544,110.1000,-63.2391
0.250000,0,1,552,110.2183,-63.2263
0.250000,0,1,560,110.7494,-63.1279
0.250000,0,1,568,110.9820,-63.1016
0.250000,0,1,576,111.1729,-63.0781
0.250000,0,1,584,111.2456,-63.0691
0.250000,0,1,592,111.3393,-63.0540
0.250000,0,1,600,111.4570,-63.0272
0.250000,0,1,608,111.5502,-62.9990
0.250000,0,1,616,111.6160,-62.9736
0.250000,0,1,624,111.7400,-62.9132
0.250000,0,1,632,111.8750,-62.8302
0.250000,0,1,640,112.0109,-62.7319
0.250000,0,1,648,112.1302,-62.6364
0.250000,0,1,656,112.2550,-62.5272
0.250000,0,1,664,112.2860,-62.4978
0.250000,0,1,672,112.4955,-62.2663
0.250000,0,1,680,112.5593,-62.1873
0.250000,0,1,688,112.9459,-61.6770
0.250000,0,1,696,113.2250,-61.3463
0.250000,0,1,704,113.3154,-61.2461
0.250000,0,1,712,113.4164,-61.1309
0.250000,0,1,720,113.6200,-60.8979
0.250000,0,1,728,113.7087,-60.7981
0.250000,0,1,736,113.8154,-60.6789
0.250000,0,1,744,114.1650,-60.2929
0.250000,0,1,752,115.0875,-59.7228
0.250000,0,1,760,115.6983,-59.7998
0.250000,0,1,768,115.8239,-59.8507
0.250000,0,1,776,116.0561,-59.9544
0.250000,0,1,784,116.2079,-60.0207
0.250000,0,1,792,116.2454,-60.0357
0.250000,0,1,800,116.2970,-60.0555
0.250000,0,1,808,116.6256,-60.1345
0.250000,0,1,816,117.5010,-60.3277
0.250000,0,1,824,117.6598,-60.3952
0.250000,0,1,832,117.7669,-60.4381
0.250000,0,1,840,118.1238,-60.5572
0.250000,0,1,848,118.8750,-60.8469
0.250000,0,1,856,118.9566,-60.8894
0.250000,0,1,864,119.3242,-61.0753
0.250000,0,1,872,119.3826,-61.1048
0.250000,0,1,880,119.4779,-61.1507
0.250000,0,1,888,119.8560,-61.2623
0.250000,0,1,896,120.7341,-61.5225
0.250000,0,1,904,120.9320,-61.6140
0.250000,0,1,912,121.4214,-61.8174
0.250000,0,1,920,121.8899,-62.0403
0.250000,0,1,928,122.1700,-62.1675
0.250000,0,1,936,122.2297,-62.1907
0.250000,0,1,944,122.7028,-62.3159
0.250000,0,1,952,123.8168,-62.7186
0.250000,0,1,960,124.1272,-62.8848
0.250000,0,1,968,124.4433,-63.0325
0.250000,0,1,976,125.3709,-63.4326
0.250000,0,1,984,127.5062,-64.5998
0.250000,0,1,992,130.8650,-66.0488
0.250000,0,1,1000,130.9175,-66.0631
0.250000,0,1,1008,131.2433,-66.1067
0.250000,0,1,1016,132.3065,-66.1146
0.250000,0,1,1024,133.7550,-66.2109
0.250000,0,1,1032,133.8070,-66.2154
0.250000,0,1,1040,134.2343,-66.1926
0.250000,0,1,1048,135.3763,-66.0820
0.250000,0,1,1056,137.9245,-66.2548
0.250000,0,1,1064,143.1418,-66.7544
0.250000,0,1,1072,148.6468,-66.8959
0.250000,0,1,1080,154.1518,-66.9072
0.250000,0,1,1088,158.6172,-66.9023
0.250000,0,1,1096,162.4587,-66.8978
0.250000,0,1,1104,166.3003,-66.8982
0.250000,0,1,1112,170.1418,-66.8972
0.250000,0,1,1120,173.9834,-66.8959
0.250000,0,1,1128,177.8249,-66.8941
0.250000,0,1,1136,181.6665,-66.8927
0.250000,0,1,1144,185.5080,-66.8919
0.250000,0,1,1152,189.3495,-66.8933
0.250000,0,1,1160,193.1911,-66.8939
0.250000,0,1,1168,197.0326,-66.8912
0.250000,0,1,1176,200.0047,-66.8916
0.250000,0,1,1184,202.6869,-66.8917
0.250000,0,1,1192,205.3691,-66.8915
0.250000,0,1,1200,210.3618,-66.8929
0.250000,0,1,1208,215.6846,-66.8914
0.250000,0,1,1216,221.6520,-66.8919
0.250000,0,1,1224,270.6680,-66.8912
0.250000,0,1,1232,1140.0037,-66.8916
0.250000,0,1,1240,1397.5352,-66.8916
0.250000,0,1,1248,1399.1632,-66.8880
0.250000,0,1,1256,1399.5225,-66.8250
0.250000,0,1,1264,1400.3602,-66.3939
0.250000,0,1,1272,1403.4776,-65.2669
0.250000,0,1,1280,1411.1587,-64.5147
0.250000,0,1,1288,1418.4663,-64.4994
0.250000,0,1,1296,1423.4458,-64.5324
0.250000,0,1,1304,1428.0928,-64.5499
0.250000,0,1,1312,1432.7398,-64.5520
0.250000,0,1,1320,1437.3868,-64.5604
0.250000,0,1,1328,1442.0338,-64.5611
0.250000,0,1,1336,1446.6808,-64.5629
0.250000,0,1,1344,1450.1932,-64.5627
0.250000,0,1,1352,1452.6616,-64.5607
0.250000,0,1,1360,1454.7306,-64.5626
0.250000,0,1,1368,1456.7996,-64.5651
0.250000,0,1,1376,1458.8686,-64.5647
0.250000,0,1,1384,1460.9376,-64.5612
0.250000,0,1,1392,1463.0066,-64.5661
0.250000,0,1,1400,1465.0756,-64.5680
0.250000,0,1,1408,1467.1446,-64.5638
0.250000,0,1,1416,1469.2136,-64.5615
0.250000,0,1,1424,1471.2826,-64.5609
0.250000,0,1,1432,1473.3516,-64.5625
0.250000,0,1,1440,1475.4206,-64.5623
0.250000,0,1,1448,1477.4896,-64.5638
0.250000,0,1,1456,1479.5586,-64.5584
0.250000,0,1,1464,1481.6276,-64.5606
0.250000,0,1,1472,1483.6965,-64.5579
0.250000,0,1,1480,1485.7655,-64.5564
0.250000,0,1,1488,1487.8345,-64.5543
0.250000,0,1,1496,1489.9035,-64.5560
0.250000,0,1,1504,1491.5650,-64.5554
0.250000,0,1,1512,1492.9819,-64.5570
0.250000,0,1,1520,1494.3988,-64.5551
0.250000,0,1,1528,1495.8157,-64.5564
0.250000,0,1,1536,1497.2326,-64.5612
0.250000,0,1,1544,1498.6494,-64.5591
0.250000,0,2,0,0.0000,-65.0000
0.250000,0,2,8,0.0690,-64.9856
0.250000,0,2,16,0.6695,-64.9185
0.250000,0,2,24,5.3223,-64.6335
0.250000,0,2,32,18.4415,-64.5479
0.250000,0,2,40,36.9991,-64.5621
0.250000,0,2,48,55.5567,-64.5589
0.250000,0,2,56,68.9451,-64.5650
0.250000,0,2,64,81.5952,-64.5598
0.250000,0,2,72,95.0344,-64.5613
0.250000,0,2,80,100.0031,-64.5657
0.250000,0,2,88,100.0450,-64.5357
0.250000,0,2,96,100.0592,-64.5129
0.250000,0,2,104,100.0892,-64.4445
0.250000,0,2,112,100.2519,-63.7247
0.250000,0,2,120,100.3379,-63.1687
0.250000,0,2,128,100.3879,-62.8087
0.250000,0,2,136,100.4781,-62.1068
0.250000,0,2,144,100.5502,-61.5138
0.250000,0,2,152,100.6604,-60.5770
0.250000,0,2,160,100.9950,-57.7173
0.250000,0,2,168,101.0600,-57.1772
0.250000,0,2,176,101.1046,-56.8080
0.250000,0,2,184,101.3473,-54.8032
0.250000,0,2,192,101.7008,-51.6686
0.250000,0,2,200,101.9738,-48.2125
0.250000,0,2,208,102.2230,-40.9275
0.250000,0,2,216,102.3835,-29.2739
0.250000,0,2,224,102.5007,-18.6528
0.250000,0,2,232,102.6600,-6.1538
0.250000,0,2,240,102.6809,-4.7318
0.250000,0,2,248,102.7400,-0.9742
0.250000,0,2,256,102.7722,0.8982
0.250000,0,2,264,102.9000,7.1361
0.250000,0,2,272,102.9398,8.6934
0.250000,0,2,280,103.0602,12.3754
0.250000,0,2,288,103.1640,14.4348
0.250000,0,2,296,103.3687,16.0711
0.250000,0,2,304,103.7450,13.3474
0.250000,0,2,312,103.8497,11.7216
0.250000,0,2,320,104.0348,8.2499
0.250000,0,2,328,104.2405,3.7523
0.250000,0,2,336,104.6784,-6.8790
0.250000,0,2,344,104.8215,-10.4239
0.250000,0,2,352,104.8927,-12.1689
0.250000,0,2,360,105.0218,-15.2898
0.250000,0,2,368,105.2640,-20.9087
0.250000,0,2,376,105.9633,-34.7112
0.250000,0,2,384,106.2375,-39.1628
0.250000,0,2,392,106.4392,-42.1935
0.250000,0,2,400,106.5802,-44.2166
0.250000,0,2,408,107.0481,-50.4122
0.250000,0,2,416,107.4213,-54.5906
0.250000,0,2,424,107.4725,-55.0923
0.250000,0,2,432,107.6796,-56.9177
0.250000,0,2,440,107.9868,-59.0697
0.250000,0,2,448,108.1655,-60.0612
0.250000,0,2,456,108.2717,-60.5720
0.250000,0,2,464,108.3502,-60.9115
0.250000,0,2,472,108.4002,-61.1095
0.250000,0,2,480,108.5779,-61.7026
0.250000,0,2,488,108.6681,-61.9493
0.250000,0,2,496,109.0348,-62.6627
0.250000,0,2,504,109.2371,-62.9318
0.250000,0,2,512,109.3125,-63.0140
0.250000,0,2,520,109.3737,-63.0704
0.250000,0,2,528,109.6450,-63.2120
0.250000,0,2,536,109.7337,-63.2329
0.250000,0,2,544,110.1000,-63.2391
0.250000,0,2,552,110.2183,-63.2263
0.250000,0,2,560,110.7494,-63.1279
0.250000,0,2,568,110.9820,-63.1016
0.250000,0,2,576,111.1729,-63.0781
0.250000,0,2,584,111.2456,-63.0691
0.250000,0,2,592,111.3393,-63.0540
0.250000,0,2,600,111.4570,-63.0272
0.250000,0,2,608,111.5502,-62.9990
0.250000,0,2,616,111.6160,-62.9736
0.250000,0,2,624,111.7400,-62.9132
0.250000,0,2,632,111.8750,-62.8302
0.250000,0,2,640,112.0109,-62.7319
0.250000,0,2,648,112.1302,-62.6364
0.250000,0,2,656,112.2550,-62.5272
0.250000,0,2,664,112.2860,-62.4978
0.250000,0,2,672,112.4955,-62.2663
0.250000,0,2,680,112.5593,-62.1873
0.250000,0,2,688,112.9459,-61.6770
0.250000,0,2,696,113.2250,-61.3463
0.250000,0,2,704,113.3154,-61.2461
0.250000,0,2,712,113.4164,-61.1309
0.250000,0,2,720,113.6200,-60.8979
0.250000,0,2,728,113.7087,-60.7981
0.250000,0,2,736,113.8154,-60.6789
0.250000,0,2,744,114.1650,-60.2929
0.250000,0,2,752,115.0875,-59.7228
0.250000,0,2,760,115.6983,-59.7998
0.250000,0,2,768,115.8239,-59.8507
0.250000,0,2,776,116.0561,-59.9544
0.250000,0,2,784,116.2079,-60.0207
0.250000,0,2,792,116.2454,-60.0357
0.250000,0,2,800,116.2970,-60.0555
0.250000,0,2,808,116.6256,-60.1345
0.250000,0,2,816,117.5010,-60.3277
0.250000,0,2,824,117.6598,-60.3952
0.250000,0,2,832,117.7669,-60.4381
0.250000,0,2,840,118.1238,-60.5572
0.250000,0,2,848,118.8750,-60.8469
0.250000,0,2,856,118.9566,-60.8894
0.250000,0,2,864,119.3242,-61.0753
0.250000,0,2,872,119.3826,-61.1048
0.250000,0,2,880,119.4779,-61.1507
0.250000,0,2,888,119.8560,-61.2623
0.250000,0,2,896,120.7341,-61.5225
0.250000,0,2,904,120.9320,-61.6140
0.250000,0,2,912,121.4214,-61.8174
0.250000,0,2,920,121.8899,-62.0403
0.250000,0,2,928,122.1700,-62.1675
0.250000,0,2,936,122.2297,-62.1907
0.250000,0,2,944,122.7028,-62.3159
0.250000,0,2,952,123.8168,-62.7186
0.250000,0,2,960,124.1272,-62.8848
0.250000,0,2,968,124.4433,-63.0325
0.250000,0,2,976,125.3709,-63.4326
0.250000,0,2,984,127.5062,-64.5998
0.250000,0,2,992,130.8650,-66.0488
0.250000,0,2,1000,130.9175,-66.0631
0.250000,0,2,1008,131.2433,-66.1067
0.250000,0,2,1016,132.3065,-66.1146
0.250000,0,2,1024,133.7550,-66.2109
0.250000,0,2,1032,133.8070,-66.2154
0.250000,0,2,1040,134.2343,-66.1926
0.250000,0,2,1048,135.3763,-66.0820
0.250000,0,2,1056,137.9245,-66.2548
0.250000,0,2,1064,143.1418,-66.7544
0.250000,0,2,1072,148.6468,-66.8959
0.250000,0,2,1080,154.1518,-66.9072
0.250000,0,2,1088,158.6172,-66.9023
0.250000,0,2,1096,162.4587,-66.8978
0.250000,0,2,1104,166.3003,-66.8982
0.250000,0,2,1112,170.1418,-66.8972
0.250000,0,2,1120,173.9834,-66.8959
0.250000,0,2,1128,177.8249,-66.8941
0.250000,0,2,1136,181.6665,-66.8927
0.250000,0,2,1144,185.5080,-66.8919
0.250000,0,2,1152,189.3495,-66.8933
