gaba_base_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.250000,0,1,0,0.0000,-65.0000
0.250000,0,1,8,0.0690,-64.9856
0.250000,0,1,16,0.6695,-64.9185
0.250000,0,1,24,5.3223,-64.6335
0.250000,0,1,32,18.4415,-64.5479
0.250000,0,1,40,36.9991,-64.5621
0.250000,0,1,48,55.5567,-64.5589
0.250000,0,1,56,68.9451,-64.5650
0.250000,0,1,64,81.5952,-64.5598
0.250000,0,1,72,95.0344,-64.5613
0.250000,0,1,80,100.0044,-64.5659
0.250000,0,1,88,100.0550,-64.5664
0.250000,0,1,96,100.1103,-64.5675
0.250000,0,1,104,100.3308,-64.5905
0.250000,0,1,112,100.4172,-64.6131
0.250000,0,1,120,100.5500,-64.6647
0.250000,0,1,128,100.7877,-64.8033
0.250000,0,1,136,101.0102,-64.9604
0.250000,0,1,144,101.4053,-65.2239
0.250000,0,1,152,102.6800,-65.8767
0.250000,0,1,160,102.9000,-65.9625
0.250000,0,1,168,103.3908,-66.1320
0.250000,0,1,176,104.0476,-66.3172
0.250000,0,1,184,104.8185,-66.4846
0.250000,0,1,192,105.1016,-66.5344
0.250000,0,1,200,106.5350,-66.7200
0.250000,0,1,208,107.4414,-66.7929
0.250000,0,1,216,108.0016,-66.8256
0.250000,0,1,224,108.3950,-66.8442
0.250000,0,1,232,109.1734,-66.8728
0.250000,0,1,240,109.3500,-66.8780
0.250000,0,1,248,110.1000,-66.8955
0.250000,0,1,256,111.2250,-66.9120
0.250000,0,1,264,111.5638,-66.9151
0.250000,0,1,272,111.9950,-66.9182
0.250000,0,1,280,112.2850,-66.9197
0.250000,0,1,288,113.2050,-66.9227
0.250000,0,1,296,113.6200,-66.9232
0.250000,0,1,304,115.6950,-66.9218
0.250000,0,1,312,116.2406,-66.9206
0.250000,0,1,320,117.7350,-66.9169
0.250000,0,1,328,119.3500,-66.9127
0.250000,0,1,336,120.8750,-66.9092
0.250000,0,1,344,122.1700,-66.9065
0.250000,0,1,352,127.2946,-66.8990
0.250000,0,1,360,133.7550,-66.8944
0.250000,0,1,368,159.9524,-66.8916
0.250000,0,1,376,1365.7576,-66.8916
0.250000,0,1,384,1399.2418,-66.8827
0.250000,0,1,392,1399.8223,-66.6900
0.250000,0,1,400,1401.0493,-66.0614
0.250000,0,1,408,1404.5786,-65.0396
0.250000,0,1,416,1413.1232,-64.4917
0.250000,0,1,424,1429.3252,-64.5474
0.250000,0,1,432,1463.9508,-64.5628
0.250000,0,1,440,1484.7273,-64.5604
0.250000,0,2,0,0.0000,-65.0000
0.250000,0,2,8,0.0690,-64.9856
0.250000,0,2,16,0.6695,-64.9185
0.250000,0,2,24,5.3223,-64.6335
0.250000,0,2,32,18.4415,-64.5479
0.250000,0,2,40,36.9991,-64.5621
0.250000,0,2,48,55.5567,-64.5589
0.250000,0,2,56,68.9451,-64.5650
0.250000,0,2,64,81.5952,-64.5598
0.250000,0,2,72,95.0344,-64.5613
0.250000,0,2,80,100.0044,-64.5659
0.250000,0,2,88,100.0550,-64.5664
0.250000,0,2,96,100.1103,-64.5675
0.250000,0,2,104,100.3308,-64.5905
0.250000,0,2,112,100.4172,-64.6131
0.250000,0,2,120,100.5500,-64.6647
0.250000,0,2,128,100.7877,-64.8033
0.250000,0,2,136,101.0102,-64.9604
0.250000,0,2,144,101.4053,-65.2239
0.250000,0,2,152,102.6800,-65.8767
0.250000,0,2,160,102.9000,-65.9625
0.250000,0,2,168,103.3908,-66.1320
0.250000,0,2,176,104.0476,-66.3172
0.250000,0,2,184,104.8185,-66.4846
0.250000,0,2,192,105.1016,-66.5344
0.250000,0,2,200,106.5350,-66.7200
0.250000,0,2,208,107.4414,-66.7929
0.250000,0,2,216,108.0016,-66.8256
0.250000,0,2,224,108.3950,-66.8442
0.250000,0,2,232,109.1734,-66.8728
0.250000,0,2,240,109.3500,-66.8780
0.250000,0,2,248,110.1000,-66.8955
0.250000,0,2,256,111.2250,-66.9120
0.250000,0,2,264,111.5638,-66.9151
0.250000,0,2,272,111.9950,-66.9182
0.250000,0,2,280,112.2850,-66.9197
0.250000,0,2,288,113.2050,-66.9227
0.250000,0,2,296,113.6200,-66.9232
0.250000,0,2,304,115.6950,-66.9218
0.250000,0,2,312,116.2406,-66.9206
0.250000,0,2,320,117.7350,-66.9169
0.250000,0,2,328,119.3500,-66.9127
0.250000,0,2,336,120.8750,-66.9092
0.250000,0,2,344,122.1700,-66.9065
0.250000,0,2,352,127.2946,-66.8990
0.250000,0,2,360,133.7550,-66.8944
0.250000,0,2,368,159.9524,-66.8916
0.250000,0,2,376,1365.7576,-66.8916
0.250000,0,2,384,1399.2418,-66.8827
0.250000,0,2,392,1399.8223,-66.6900
0.250000,0,2,400,1401.0493,-66.0614
0.250000,0,2,408,1404.5786,-65.0396
0.250000,0,2,416,1413.1232,-64.4917
0.250000,0,2,424,1429.3252,-64.5474
0.250000,0,2,432,1463.9508,-64.5628
0.250000,0,2,440,1484.7273,-64.5604
0.250000,0,3,0,0.0000,-65.0000
0.250000,0,3,8,0.0690,-64.9856
0.250000,0,3,16,0.6695,-64.9185
0.250000,0,3,24,5.3223,-64.6335
0.250000,0,3,32,18.4415,-64.5479
0.250000,0,3,40,36.9991,-64.5621
0.250000,0,3,48,55.5567,-64.5589
0.250000,0,3,56,68.9451,-64.5650
0.250000,0,3,64,81.5952,-64.5598
0.250000,0,3,72,95.0344,-64.5613
0.250000,0,3,80,100.0044,-64.5659
0.250000,0,3,88,100.0550,-64.5664
0.250000,0,3,96,100.1103,-64.5675
0.250000,0,3,104,100.3308,-64.5905
0.250000,0,3,112,100.4172,-64.6131
0.250000,0,3,120,100.5500,-64.6647
0.250000,0,3,128,100.7877,-64.8033
0.250000,0,3,136,101.0102,-64.9604
0.250000,0,3,144,101.4053,-65.2239
0.250000,0,3,152,102.6800,-65.8767
0.250000,0,3,160,102.9000,-65.9625
0.250000,0,3,168,103.3908,-66.1320
0.250000,0,3,176,104.0476,-66.3172
0.250000,0,3,184,104.8185,-66.4846
0.250000,0,3,192,105.1016,-66.5344
0.250000,0,3,200,106.5350,-66.7200
0.250000,0,3,208,107.4414,-66.7929
0.250000,0,3,216,108.0016,-66.8256
0.250000,0,3,224,108.3950,-66.8442
0.250000,0,3,232,109.1734,-66.8728
0.250000,0,3,240,109.3500,-66.8780
0.250000,0,3,248,110.1000,-66.8955
0.250000,0,3,256,111.2250,-66.9120
0.250000,0,3,264,111.5638,-66.9151
0.250000,0,3,272,111.9950,-66.9182
0.250000,0,3,280,112.2850,-66.9197
0.250000,0,3,288,113.2050,-66.9227
0.250000,0,3,296,113.6200,-66.9232
0.250000,0,3,304,115.6950,-66.9218
0.250000,0,3,312,116.2406,-66.9206
0.250000,0,3,320,117.7350,-66.9169
0.250000,0,3,328,119.3500,-66.9127
0.250000,0,3,336,120.8750,-66.9092
0.250000,0,3,344,122.1700,-66.9065
0.250000,0,3,352,127.2946,-66.8990
0.250000,0,3,360,133.7550,-66.8944
0.250000,0,3,368,159.9524,-66.8916
0.250000,0,3,376,1365.7576,-66.8916
0.250000,0,3,384,1399.2418,-66.8827
0.250000,0,3,392,1399.8223,-66.6900
0.250000,0,3,400,1401.0493,-66.0614
0.250000,0,3,408,1404.5786,-65.0396
0.250000,0,3,416,1413.1232,-64.4917
0.250000,0,3,424,1429.3252,-64.5474
0.250000,0,3,432,1463.9508,-64.5628
0.250000,0,3,440,1484.7273,-64.5604
0.250000,0,4,0,0.0000,-65.0000
0.250000,0,4,8,0.0690,-64.9856
0.250000,0,4,16,0.6695,-64.9185
0.250000,0,4,24,5.3223,-64.6335
0.250000,0,4,32,18.4415,-64.5479
0.250000,0,4,40,36.9991,-64.5621
0.250000,0,4,48,55.5567,-64.5589
0.250000,0,4,56,68.9451,-64.5650
0.250000,0,4,64,81.5952,-64.5598
0.250000,0,4,72,95.0344,-64.5613
0.250000,0,4,80,100.0044,-64.5659
0.250000,0,4,88,100.0550,-64.5664
0.250000,0,4,96,100.1103,-64.5675
0.250000,0,4,104,100.3308,-64.5905
0.250000,0,4,112,100.4172,-64.6131
0.250000,0,4,120,100.5500,-64.6647
0.250000,0,4,128,100.7877,-64.8033
0.250000,0,4,136,101.0102,-64.9604
0.250000,0,4,144,101.4053,-65.2239
0.250000,0,4,152,102.6800,-65.8767
0.250000,0,4,160,102.9000,-65.9625
0.250000,0,4,168,103.3908,-66.1320
0.250000,0,4,176,104.0476,-66.3172
0.250000,0,4,184,104.8185,-66.4846
0.250000,0,4,192,105.1016,-66.5344
0.250000,0,4,200,106.5350,-66.7200
0.250000,0,4,208,107.4414,-66.7929
0.250000,0,4,216,108.0016,-66.8256
0.250000,0,4,224,108.3950,-66.8442
0.250000,0,4,232,109.1734,-66.8728
0.250000,0,4,240,109.3500,-66.8780
0.250000,0,4,248,110.1000,-66.8955
0.250000,0,4,256,111.2250,-66.9120
0.250000,0,4,264,111.5638,-66.9151
0.250000,0,4,272,111.9950,-66.9182
0.250000,0,4,280,112.2850,-66.9197
0.250000,0,4,288,113.2050,-66.9227
0.250000,0,4,296,113.6200,-66.9232
0.250000,0,4,304,115.6950,-66.9218
0.250000,0,4,312,116.2406,-66.9206
0.250000,0,4,320,117.7350,-66.9169
0.250000,0,4,328,119.3500,-66.9127
0.250000,0,4,336,120.8750,-66.9092
0.250000,0,4,344,122.1700,-66.9065
0.250000,0,4,352,127.2946,-66.8990
0.250000,0,4,360,133.7550,-66.8944
0.250000,0,4,368,159.9524,-66.8916
0.250000,0,4,376,1365.7576,-66.8916
0.250000,0,4,384,1399.2418,-66.8827
0.250000,0,4,392,1399.8223,-66.6900
0.250000,0,4,400,1401.0493,-66.0614
0.250000,0,4,408,1404.5786,-65.0396
0.250000,0,4,416,1413.1232,-64.4917
0.250000,0,4,424,1429.3252,-64.5474
0.250000,0,4,432,1463.9508,-64.5628
0.250000,0,4,440,1484.7273,-64.5604
0.250000,0,5,0,0.0000,-65.0000
0.250000,0,5,8,0.0690,-64.9856
0.250000,0,5,16,0.6695,-64.9185
0.250000,0,5,24,5.3223,-64.6335
0.250000,0,5,32,18.4415,-64.5479
0.250000,0,5,40,36.9991,-64.5621
0.250000,0,5,48,55.5567,-64.5589
0.250000,0,5,56,68.9451,-64.5650
0.250000,0,5,64,81.5952,-64.5598
0.250000,0,5,72,95.0344,-64.5613
0.250000,0,5,80,100.0044,-64.5659
0.250000,0,5,88,100.0550,-64.5664
0.250000,0,5,96,100.1103,-64.5675
0.250000,0,5,104,100.3308,-64.5905
0.250000,0,5,112,100.4172,-64.6131
0.250000,0,5,120,100.5500,-64.6647
0.250000,0,5,128,100.7877,-64.8033
0.250000,0,5,136,101.0102,-64.9604
0.250000,0,5,144,101.4053,-65.2239
0.250000,0,5,152,102.6800,-65.8767
0.250000,0,5,160,102.9000,-65.9625
0.250000,0,5,168,103.3908,-66.1320
0.250000,0,5,176,104.0476,-66.3172
0.250000,0,5,184,104.8185,-66.4846
0.250000,0,5,192,105.1016,-66.5344
0.250000,0,5,200,106.5350,-66.7200
0.250000,0,5,208,107.4414,-66.7929
0.250000,0,5,216,108.0016,-66.8256
0.250000,0,5,224,108.3950,-66.8442
0.250000,0,5,232,109.1734,-66.8728
0.250000,0,5,240,109.3500,-66.8780
0.250000,0,5,248,110.1000,-66.8955
0.250000,0,5,256,111.2250,-66.9120
0.250000,0,5,264,111.5638,-66.9151
0.250000,0,5,272,111.9950,-66.9182
0.250000,0,5,280,112.2850,-66.9197
0.250000,0,5,288,113.2050,-66.9227
0.250000,0,5,296,113.6200,-66.9232
0.250000,0,5,304,115.6950,-66.9218
0.250000,0,5,312,116.2406,-66.9206
0.250000,0,5,320,117.7350,-66.9169
0.250000,0,5,328,119.3500,-66.9127
0.250000,0,5,336,120.8750,-66.9092
0.250000,0,5,344,122.1700,-66.9065
0.250000,0,5,352,127.2946,-66.8990
0.250000,0,5,360,133.7550,-66.8944
0.250000,0,5,368,159.9524,-66.8916
0.250000,0,5,376,1365.7576,-66.8916
0.250000,0,5,384,1399.2418,-66.8827
0.250000,0,5,392,1399.8223,-66.6900
0.250000,0,5,400,1401.0493,-66.0614
0.250000,0,5,408,1404.5786,-65.0396
0.250000,0,5,416,1413.1232,-64.4917
0.250000,0,5,424,1429.3252,-64.5474
0.250000,0,5,432,1463.9508,-64.5628
0.250000,0,5,440,1484.7273,-64.5604
0.250000,0,6,0,0.0000,-65.0000
0.250000,0,6,8,0.0690,-64.9856
0.250000,0,6,16,0.6695,-64.9185
0.250000,0,6,24,5.3223,-64.6335
0.250000,0,6,32,18.4415,-64.5479
0.250000,0,6,40,36.9991,-64.5621
0.250000,0,6,48,55.5567,-64.5589
0.250000,0,6,56,68.9451,-64.5650
0.250000,0,6,64,81.5952,-64.5598
0.250000,0,6,72,95.0344,-64.5613
0.250000,0,6,80,100.0044,-64.5659
0.250000,0,6,88,100.0550,-64.5664
0.250000,0,6,96,100.1103,-64.5675
0.250000,0,6,104,100.3308,-64.5905
0.250000,0,6,112,100.4172,-64.6131
0.250000,0,6,120,100.5500,-64.6647
0.250000,0,6,128,100.7877,-64.8033
0.250000,0,6,136,101.0102,-64.9604
0.250000,0,6,144,101.4053,-65.2239
0.250000,0,6,152,102.6800,-65.8767
0.250000,0,6,160,102.9000,-65.9625
0.250000,0,6,168,103.3908,-66.1320
0.250000,0,6,176,104.0476,-66.3172
0.250000,0,6,184,104.8185,-66.4846
0.250000,0,6,192,105.1016,-66.5344
0.250000,0,6,200,106.5350,-66.7200
0.250000,0,6,208,107.4414,-66.7929
0.250000,0,6,216,108.0016,-66.8256
0.250000,0,6,224,108.3950,-66.8442
0.250000,0,6,232,109.1734,-66.8728
0.250000,0,6,240,109.3500,-66.8780
0.250000,0,6,248,110.1000,-66.8955
0.250000,0,6,256,111.2250,-66.9120
0.250000,0,6,264,111.5638,-66.9151
0.250000,0,6,272,111.9950,-66.9182
0.250000,0,6,280,112.2850,-66.9197
0.250000,0,6,288,113.2050,-66.9227
0.250000,0,6,296,113.6200,-66.9232
0.250000,0,6,304,115.6950,-66.9218
0.250000,0,6,312,116.2406,-66.9206
0.250000,0,6,320,117.7350,-66.9169
0.250000,0,6,328,119.3500,-66.9127
0.250000,0,6,336,120.8750,-66.9092
0.250000,0,6,344,122.1700,-66.9065
0.250000,0,6,352,127.2946,-66.8990
0.250000,0,6,360,133.7550,-66.8944
0.250000,0,6,368,159.9524,-66.8916
0.250000,0,6,376,1365.7576,-66.8916
0.250000,0,6,384,1399.2418,-66.8827
0.250000,0,6,392,1399.8223,-66.6900
0.250000,0,6,400,1401.0493,-66.0614
0.250000,0,6,408,1404.5786,-65.0396
0.250000,0,6,416,1413.1232,-64.4917
0.250000,0,6,424,1429.3252,-64.5474
0.250000,0,6,432,1463.9508,-64.5628
0.250000,0,6,440,1484.7273,-64.5604
0.250000,0,7,0,0.0000,-65.0000
0.250000,0,7,8,0.0690,-64.9856
0.250000,0,7,16,0.6695,-64.9185
0.250000,0,7,24,5.3223,-64.6335
0.250000,0,7,32,18.4415,-64.5479
