gampa_ns,gaba_base_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.500000,0.100000,0,1,0,0.0000,-65.0000
0.500000,0.100000,0,1,8,0.0654,-64.9915
0.500000,0.100000,0,1,16,0.7270,-64.9524
0.500000,0.100000,0,1,24,6.3810,-64.8070
0.500000,0.100000,0,1,32,24.0332,-64.7738
0.500000,0.100000,0,1,40,84.4137,-64.7735
0.500000,0.100000,0,1,48,100.0193,-64.7681
0.500000,0.100000,0,1,56,100.0550,-64.7272
0.500000,0.100000,0,1,64,100.0800,-64.6747
0.500000,0.100000,0,1,72,100.2263,-64.0689
0.500000,0.100000,0,1,80,100.3368,-63.3552
0.500000,0.100000,0,1,88,100.3877,-62.9751
0.500000,0.100000,0,1,96,100.4782,-62.2383
0.500000,0.100000,0,1,104,100.5502,-61.6135
0.500000,0.100000,0,1,112,100.6502,-60.7077
0.500000,0.100000,0,1,120,100.9950,-57.5443
0.500000,0.100000,0,1,128,101.0600,-56.9791
0.500000,0.100000,0,1,136,101.1355,-56.3407
0.500000,0.100000,0,1,144,101.5425,-53.2869
0.500000,0.100000,0,1,152,102.6600,-48.8321
0.500000,0.100000,0,1,160,102.6800,-48.7969
0.500000,0.100000,0,1,168,102.7401,-48.6949
0.500000,0.100000,0,1,176,102.8932,-48.4653
0.500000,0.100000,0,1,184,102.9264,-48.4208
0.500000,0.100000,0,1,192,103.0601,-48.2551
0.500000,0.100000,0,1,200,103.1730,-48.1320
0.500000,0.100000,0,1,208,103.7450,-47.7629
0.500000,0.100000,0,1,216,103.8053,-47.7531
0.500000,0.100000,0,1,224,104.0301,-47.7545
0.500000,0.100000,0,1,232,104.1986,-47.7820
0.500000,0.100000,0,1,240,104.7301,-48.0383
0.500000,0.100000,0,1,248,104.8350,-48.1227
0.500000,0.100000,0,1,256,104.8995,-48.1777
0.500000,0.100000,0,1,264,105.0337,-48.2953
0.500000,0.100000,0,1,272,105.4392,-48.6548
0.500000,0.100000,0,1,280,106.2250,-49.5486
0.500000,0.100000,0,1,288,106.3018,-49.6550
0.500000,0.100000,0,1,296,106.5350,-49.9806
0.500000,0.100000,0,1,304,106.6460,-50.1320
0.500000,0.100000,0,1,312,107.3576,-51.1087
0.500000,0.100000,0,1,320,107.4576,-51.2561
0.500000,0.100000,0,1,328,107.5187,-51.3452
0.500000,0.100000,0,1,336,107.9850,-51.9626
0.500000,0.100000,0,1,344,108.0527,-52.0482
0.500000,0.100000,0,1,352,108.2605,-52.3025
0.500000,0.100000,0,1,360,108.3400,-52.3937
0.500000,0.100000,0,1,368,108.3951,-52.4519
0.500000,0.100000,0,1,376,108.5019,-52.5497
0.500000,0.100000,0,1,384,108.6334,-52.6514
0.500000,0.100000,0,1,392,108.9164,-52.8137
0.500000,0.100000,0,1,400,109.2257,-52.9727
0.500000,0.100000,0,1,408,109.3001,-53.0115
0.500000,0.100000,0,1,416,109.3501,-53.0358
0.500000,0.100000,0,1,424,109.5168,-53.0946
0.500000,0.100000,0,1,432,109.6660,-53.1319
0.500000,0.100000,0,1,440,110.0683,-53.2110
0.500000,0.100000,0,1,448,110.1634,-53.2323
0.500000,0.100000,0,1,456,110.6880,-53.3794
0.500000,0.100000,0,1,464,110.9801,-53.5153
