gampa_ns,gaba_base_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.500000,0.100000,0,1,0,0.0000,-65.0000
0.500000,0.100000,0,1,8,0.0654,-64.9915
0.500000,0.100000,0,1,16,0.7270,-64.9524
0.500000,0.100000,0,1,24,6.3810,-64.8070
0.500000,0.100000,0,1,32,24.0332,-64.7738
0.500000,0.100000,0,1,40,84.4137,-64.7735
0.500000,0.100000,0,1,48,99.8995,-64.7735
0.500000,0.100000,0,1,56,100.0450,-64.7737
0.500000,0.100000,0,1,64,100.0700,-64.7738
0.500000,0.100000,0,1,72,100.3250,-64.7833
0.500000,0.100000,0,1,80,100.4162,-64.7927
0.500000,0.100000,0,1,88,100.5500,-64.8138
0.500000,0.100000,0,1,96,100.8782,-64.8936
0.500000,0.100000,0,1,104,101.0600,-64.9444
0.500000,0.100000,0,1,112,102.4799,-65.2594
0.500000,0.100000,0,1,120,102.7598,-65.3059
0.500000,0.100000,0,1,128,103.0824,-65.3537
0.500000,0.100000,0,1,136,104.0300,-65.4689
0.500000,0.100000,0,1,144,104.8350,-65.5427
0.500000,0.100000,0,1,152,105.9783,-65.6194
0.500000,0.100000,0,1,160,106.7028,-65.6552
0.500000,0.100000,0,1,168,107.6647,-65.6913
0.500000,0.100000,0,1,176,108.3400,-65.7105
0.500000,0.100000,0,1,184,108.6250,-65.7175
0.500000,0.100000,0,1,192,109.3246,-65.7321
0.500000,0.100000,0,1,200,109.9077,-65.7421
0.500000,0.100000,0,1,208,111.2250,-65.7587
0.500000,0.100000,0,1,216,111.5654,-65.7620
0.500000,0.100000,0,1,224,111.9950,-65.7656
0.500000,0.100000,0,1,232,112.2850,-65.7678
0.500000,0.100000,0,1,240,113.2050,-65.7736
0.500000,0.100000,0,1,248,113.6200,-65.7757
0.500000,0.100000,0,1,256,115.6950,-65.7832
0.500000,0.100000,0,1,264,116.2600,-65.7844
0.500000,0.100000,0,1,272,117.7350,-65.7869
0.500000,0.100000,0,1,280,119.3720,-65.7885
0.500000,0.100000,0,1,288,121.8750,-65.7900
0.500000,0.100000,0,1,296,124.1050,-65.7906
0.500000,0.100000,0,1,304,133.7550,-65.7913
0.500000,0.100000,0,1,312,276.0210,-65.7914
0.500000,0.100000,0,1,320,296.5831,-65.7914
0.500000,0.100000,0,1,328,299.0079,-65.7914
0.500000,0.100000,0,1,336,299.4735,-65.7673
0.500000,0.100000,0,1,344,300.4806,-65.5390
0.500000,0.100000,0,1,352,306.6069,-64.9002
0.500000,0.100000,0,1,360,316.7266,-64.7802
0.500000,0.100000,0,1,368,336.8993,-64.7736
0.500000,0.100000,0,2,0,0.0000,-65.0000
0.500000,0.100000,0,2,8,0.0654,-64.9915
0.500000,0.100000,0,2,16,0.7270,-64.9524
0.500000,0.100000,0,2,24,6.3810,-64.8070
0.500000,0.100000,0,2,32,24.0332,-64.7738
0.500000,0.100000,0,2,40,84.4137,-64.7735
0.500000,0.100000,0,2,48,99.8995,-64.7735
0.500000,0.100000,0,2,56,100.0450,-64.7737
0.500000,0.100000,0,2,64,100.0700,-64.7738
0.500000,0.100000,0,2,72,100.3250,-64.7833
0.500000,0.100000,0,2,80,100.4162,-64.7927
0.500000,0.100000,0,2,88,100.5500,-64.8138
