gampa_ns,mode,peak_vm_mv,min_vm_mv,n_spikes,n_samples
0.100000,full,-58.982572,-65.000000,0,1230
0.100000,epsp_passive,-60.672567,-65.000000,0,816
0.500000,full,18.992108,-65.000000,1,1105
0.500000,epsp_passive,-47.746488,-65.000000,0,979
1.000000,full,19.490820,-65.000000,2,1189
1.000000,epsp_passive,-36.944363,-65.000000,0,1075
2.000000,full,19.127033,-65.000000,2,1594
2.000000,epsp_passive,-24.683440,-65.000000,0,1149
5.000000,full,17.168281,-65.000000,1,1459
5.000000,epsp_passive,-11.598210,-65.000000,1,1245
10.000000,full,14.922358,-66.745829,2,1762
10.000000,epsp_passive,-6.328577,-65.000000,1,1307
15.000000,full,13.532174,-66.249955,2,1700
15.000000,epsp_passive,-4.607726,-65.000000,1,1340
20.000000,full,12.562985,-65.827720,4,1692
20.000000,epsp_passive,-3.757048,-65.000000,1,1352
