gnmda_ns,mode,peak_vm_mv,min_vm_mv,n_spikes,n_samples
0.100000,full,-64.222655,-65.000000,0,617
0.100000,epsp_passive,-64.467824,-65.000000,0,541
0.500000,full,-62.611034,-65.000000,0,670
0.500000,epsp_passive,-63.104226,-65.000000,0,645
1.000000,full,-58.887771,-65.000000,0,762
1.000000,epsp_passive,-60.969254,-65.000000,0,659
2.000000,full,11.287088,-65.000000,3,1579
2.000000,epsp_passive,-52.577827,-65.000000,0,733
5.000000,full,13.115580,-65.053514,3,1718
5.000000,epsp_passive,-8.591595,-65.000000,1,923
10.000000,full,13.206899,-65.240211,3,2003
10.000000,epsp_passive,-4.666398,-65.000000,1,1047
15.000000,full,13.147216,-65.063441,2,2369
15.000000,epsp_passive,-3.365194,-65.000000,1,1080
20.000000,full,13.214544,-65.000000,1,1694
20.000000,epsp_passive,-2.701858,-65.000000,1,1095
