gnmda_ns,mode,peak_vm_mv,min_vm_mv,n_spikes,n_samples
0.100000,full,15.840592,-65.000000,2,14950
0.100000,epsp_passive,-52.561229,-65.000000,0,1399
0.500000,full,15.775615,-65.000000,2,1531
0.500000,epsp_passive,-51.851736,-65.000000,0,1410
1.000000,full,15.714830,-65.000000,2,1574
1.000000,epsp_passive,-49.537772,-65.000000,0,1413
2.000000,full,15.583850,-65.000000,4,1947
2.000000,epsp_passive,-33.425736,-65.000000,0,1403
5.000000,full,15.275571,-65.000000,2,1799
5.000000,epsp_passive,-8.544324,-65.000000,1,1355
10.000000,full,14.922356,-65.072160,3,1983
10.000000,epsp_passive,-4.654399,-65.000000,1,1283
15.000000,full,14.709437,-65.089972,3,2104
15.000000,epsp_passive,-3.360517,-65.000000,1,1279
20.000000,full,14.562787,-65.332431,3,2159
20.000000,epsp_passive,-2.699387,-65.000000,1,1299
