mode,direction,t_ms,v_mv
FULL,PD,0.0000,-65.000000
FULL,PD,0.1000,-64.732241
FULL,PD,0.2000,-64.486453
FULL,PD,0.3000,-64.254778
FULL,PD,0.4000,-64.034185
FULL,PD,0.5000,-63.823144
FULL,PD,0.6000,-63.623158
FULL,PD,0.7000,-63.434203
FULL,PD,0.8000,-63.254391
FULL,PD,0.9000,-63.082966
FULL,PD,1.0000,-62.923641
FULL,PD,1.1000,-62.769009
FULL,PD,1.2000,-62.625043
FULL,PD,1.3000,-62.489816
FULL,PD,1.4000,-62.358067
FULL,PD,1.5000,-62.234922
FULL,PD,1.6000,-62.117519
FULL,PD,1.7000,-62.007008
FULL,PD,1.8000,-61.900693
FULL,PD,1.9000,-61.800056
FULL,PD,2.0000,-61.704926
FULL,PD,2.1000,-61.615999
FULL,PD,2.2000,-61.530439
FULL,PD,2.3000,-61.449332
FULL,PD,2.4000,-61.373164
FULL,PD,2.5000,-61.300452
FULL,PD,2.6000,-61.231703
FULL,PD,2.7000,-61.166050
FULL,PD,2.8000,-61.104330
FULL,PD,2.9000,-61.045164
FULL,PD,3.0000,-60.989436
FULL,PD,3.1000,-60.936198
FULL,PD,3.2000,-60.886624
FULL,PD,3.3000,-60.838731
FULL,PD,3.4000,-60.793376
FULL,PD,3.5000,-60.750981
FULL,PD,3.6000,-60.710349
FULL,PD,3.7000,-60.672075
FULL,PD,3.8000,-60.635901
FULL,PD,3.9000,-60.601457
FULL,PD,4.0000,-60.568656
FULL,PD,4.1000,-60.537684
FULL,PD,4.2000,-60.508277
FULL,PD,4.3000,-60.480574
FULL,PD,4.4000,-60.453860
FULL,PD,4.5000,-60.428728
FULL,PD,4.6000,-60.404877
FULL,PD,4.7000,-60.382325
FULL,PD,4.8000,-60.360928
FULL,PD,4.9000,-60.340549
FULL,PD,5.0000,-60.321256
FULL,PD,5.1000,-60.303262
FULL,PD,5.2000,-60.285876
FULL,PD,5.3000,-60.269503
FULL,PD,5.4000,-60.254122
FULL,PD,5.5000,-60.239463
FULL,PD,5.6000,-60.225468
FULL,PD,5.7000,-60.212287
FULL,PD,5.8000,-60.199704
FULL,PD,5.9000,-60.187773
FULL,PD,6.0000,-60.176478
FULL,PD,6.1000,-60.165687
