condition_id,channel_kind,density_label,density_ms_cm2,angle_deg,trial_seed,trial_mode,n_spikes,firing_rate_hz,peak_vm_mv,baseline_vm_mv,is_unstable
baseline,baseline,n/a,0.0,0.0,1,FULL,18,18.0,43.187423305885375,-58.8701223700242,False
baseline,baseline,n/a,0.0,0.0,2,FULL,12,12.0,42.989263402299365,-58.99379842791172,False
baseline,baseline,n/a,0.0,0.0,3,FULL,15,15.0,43.805791316430444,-59.019748108798126,False
baseline,baseline,n/a,0.0,0.0,4,FULL,14,14.0,43.07164658373684,-58.98405132138674,False
baseline,baseline,n/a,0.0,0.0,5,FULL,17,17.0,43.808687136054736,-59.119792031272894,False
baseline,baseline,n/a,0.0,30.0,1,FULL,11,11.0,43.65551815279905,-43.11369658886868,False
baseline,baseline,n/a,0.0,30.0,2,FULL,15,15.0,44.22679785810176,-42.94647608691393,False
baseline,baseline,n/a,0.0,30.0,3,FULL,15,15.0,44.26217442862242,-43.31558933478515,False
baseline,baseline,n/a,0.0,30.0,4,FULL,14,14.0,43.800030971355184,-43.58707239631277,False
baseline,baseline,n/a,0.0,30.0,5,FULL,14,14.0,44.434950756982396,-43.31638573583726,False
baseline,baseline,n/a,0.0,60.0,1,FULL,8,8.0,43.26456245554786,-35.73542962276127,False
baseline,baseline,n/a,0.0,60.0,2,FULL,8,8.0,44.31834924822202,-36.1467925234607,False
baseline,baseline,n/a,0.0,60.0,3,FULL,8,8.0,43.28159401349821,-36.07727753905104,False
baseline,baseline,n/a,0.0,60.0,4,FULL,13,13.0,44.14874487086131,-35.863437647414294,False
baseline,baseline,n/a,0.0,60.0,5,FULL,9,9.0,43.73592882265077,-36.130496706248046,False
baseline,baseline,n/a,0.0,90.0,1,FULL,9,9.0,44.21429264324359,-35.348366038976174,False
baseline,baseline,n/a,0.0,90.0,2,FULL,7,7.0,43.316228446719336,-36.02861018029751,False
baseline,baseline,n/a,0.0,90.0,3,FULL,9,9.0,43.766788593641195,-36.1447808927054,False
baseline,baseline,n/a,0.0,90.0,4,FULL,9,9.0,44.30511668990801,-35.72014353850815,False
baseline,baseline,n/a,0.0,90.0,5,FULL,10,10.0,44.17823521859134,-35.8394254250571,False
baseline,baseline,n/a,0.0,120.0,1,FULL,8,8.0,44.21429264324359,-35.348366038976174,False
baseline,baseline,n/a,0.0,120.0,2,FULL,7,7.0,43.316228446719336,-36.02861018029751,False
baseline,baseline,n/a,0.0,120.0,3,FULL,9,9.0,43.766788593641195,-36.1447808927054,False
baseline,baseline,n/a,0.0,120.0,4,FULL,9,9.0,44.30511668990801,-35.72014353850815,False
