condition_id,angle_deg,trial_seed,firing_rate_hz
baseline,0.0,1,18.0
baseline,0.0,2,12.0
baseline,0.0,3,15.0
baseline,0.0,4,14.0
baseline,0.0,5,17.0
baseline,30.0,1,11.0
baseline,30.0,2,15.0
baseline,30.0,3,15.0
baseline,30.0,4,14.0
baseline,30.0,5,14.0
baseline,60.0,1,8.0
baseline,60.0,2,8.0
baseline,60.0,3,8.0
baseline,60.0,4,13.0
baseline,60.0,5,9.0
baseline,90.0,1,9.0
baseline,90.0,2,7.0
baseline,90.0,3,9.0
baseline,90.0,4,9.0
baseline,90.0,5,10.0
baseline,120.0,1,8.0
baseline,120.0,2,7.0
baseline,120.0,3,9.0
baseline,120.0,4,9.0
baseline,120.0,5,10.0
baseline,150.0,1,8.0
baseline,150.0,2,7.0
baseline,150.0,3,9.0
baseline,150.0,4,9.0
baseline,150.0,5,10.0
baseline,180.0,1,8.0
baseline,180.0,2,7.0
baseline,180.0,3,9.0
baseline,180.0,4,9.0
baseline,180.0,5,10.0
baseline,210.0,1,12.0
baseline,210.0,2,8.0
baseline,210.0,3,13.0
baseline,210.0,4,11.0
baseline,210.0,5,7.0
baseline,240.0,1,20.0
baseline,240.0,2,16.0
baseline,240.0,3,17.0
baseline,240.0,4,16.0
baseline,240.0,5,18.0
baseline,270.0,1,18.0
baseline,270.0,2,13.0
baseline,270.0,3,19.0
baseline,270.0,4,17.0
baseline,270.0,5,19.0
baseline,300.0,1,18.0
baseline,300.0,2,15.0
baseline,300.0,3,15.0
baseline,300.0,4,15.0
baseline,300.0,5,18.0
baseline,330.0,1,19.0
baseline,330.0,2,17.0
baseline,330.0,3,14.0
baseline,330.0,4,16.0
baseline,330.0,5,15.0
bk_high,0.0,1,11.0
bk_high,0.0,2,9.0
bk_high,0.0,3,12.0
bk_high,0.0,4,10.0
bk_high,0.0,5,11.0
bk_high,30.0,1,12.0
bk_high,30.0,2,10.0
bk_high,30.0,3,11.0
bk_high,30.0,4,13.0
bk_high,30.0,5,12.0
bk_high,60.0,1,7.0
bk_high,60.0,2,8.0
bk_high,60.0,3,6.0
bk_high,60.0,4,8.0
bk_high,60.0,5,8.0
bk_high,90.0,1,8.0
bk_high,90.0,2,6.0
bk_high,90.0,3,8.0
bk_high,90.0,4,7.0
bk_high,90.0,5,6.0
bk_high,120.0,1,8.0
bk_high,120.0,2,6.0
bk_high,120.0,3,8.0
bk_high,120.0,4,7.0
bk_high,120.0,5,6.0
bk_high,150.0,1,8.0
bk_high,150.0,2,6.0
bk_high,150.0,3,8.0
bk_high,150.0,4,7.0
bk_high,150.0,5,6.0
bk_high,180.0,1,8.0
bk_high,180.0,2,6.0
bk_high,180.0,3,8.0
bk_high,180.0,4,7.0
bk_high,180.0,5,6.0
bk_high,210.0,1,7.0
bk_high,210.0,2,8.0
bk_high,210.0,3,8.0
bk_high,210.0,4,9.0
bk_high,210.0,5,6.0
bk_high,240.0,1,13.0
bk_high,240.0,2,11.0
bk_high,240.0,3,13.0
bk_high,240.0,4,11.0
bk_high,240.0,5,11.0
bk_high,270.0,1,13.0
bk_high,270.0,2,11.0
bk_high,270.0,3,15.0
bk_high,270.0,4,11.0
bk_high,270.0,5,13.0
bk_high,300.0,1,13.0
bk_high,300.0,2,11.0
bk_high,300.0,3,11.0
bk_high,300.0,4,10.0
bk_high,300.0,5,12.0
bk_high,330.0,1,13.0
bk_high,330.0,2,9.0
bk_high,330.0,3,10.0
bk_high,330.0,4,10.0
bk_high,330.0,5,12.0
bk_low,0.0,1,17.0
bk_low,0.0,2,11.0
bk_low,0.0,3,14.0
bk_low,0.0,4,14.0
bk_low,0.0,5,16.0
bk_low,30.0,1,11.0
bk_low,30.0,2,15.0
bk_low,30.0,3,15.0
bk_low,30.0,4,15.0
bk_low,30.0,5,15.0
bk_low,60.0,1,9.0
bk_low,60.0,2,7.0
bk_low,60.0,3,7.0
bk_low,60.0,4,12.0
bk_low,60.0,5,11.0
bk_low,90.0,1,9.0
bk_low,90.0,2,7.0
bk_low,90.0,3,9.0
bk_low,90.0,4,10.0
bk_low,90.0,5,9.0
bk_low,120.0,1,8.0
