angle_deg,trial_seed,firing_rate_hz
0.0,1,17.0
0.0,2,11.0
0.0,3,14.0
0.0,4,14.0
0.0,5,16.0
30.0,1,11.0
30.0,2,15.0
30.0,3,15.0
30.0,4,15.0
30.0,5,15.0
60.0,1,9.0
60.0,2,7.0
60.0,3,7.0
60.0,4,12.0
60.0,5,11.0
90.0,1,9.0
90.0,2,7.0
90.0,3,9.0
90.0,4,10.0
90.0,5,9.0
120.0,1,8.0
120.0,2,7.0
120.0,3,9.0
120.0,4,10.0
120.0,5,9.0
150.0,1,8.0
150.0,2,7.0
150.0,3,9.0
150.0,4,10.0
150.0,5,9.0
180.0,1,8.0
180.0,2,7.0
180.0,3,9.0
180.0,4,10.0
180.0,5,9.0
210.0,1,12.0
210.0,2,8.0
210.0,3,12.0
210.0,4,11.0
210.0,5,7.0
240.0,1,19.0
240.0,2,17.0
240.0,3,15.0
240.0,4,16.0
240.0,5,17.0
270.0,1,17.0
270.0,2,13.0
270.0,3,18.0
270.0,4,14.0
270.0,5,19.0
300.0,1,17.0
300.0,2,14.0
300.0,3,13.0
300.0,4,15.0
300.0,5,16.0
330.0,1,18.0
330.0,2,17.0
330.0,3,13.0
330.0,4,16.0
330.0,5,15.0
