angle_deg,trial_seed,firing_rate_hz
0.0,1,62.0
0.0,2,77.0
0.0,3,71.0
0.0,4,74.0
0.0,5,71.0
30.0,1,76.0
30.0,2,71.0
30.0,3,71.0
30.0,4,75.0
30.0,5,72.0
60.0,1,69.0
60.0,2,74.0
60.0,3,71.0
60.0,4,69.0
60.0,5,72.0
90.0,1,67.0
90.0,2,73.0
90.0,3,74.0
90.0,4,69.0
90.0,5,73.0
120.0,1,65.0
120.0,2,73.0
120.0,3,71.0
120.0,4,72.0
120.0,5,73.0
150.0,1,70.0
150.0,2,72.0
150.0,3,68.0
150.0,4,71.0
150.0,5,71.0
180.0,1,69.0
180.0,2,75.0
180.0,3,70.0
180.0,4,71.0
180.0,5,75.0
210.0,1,68.0
210.0,2,79.0
210.0,3,74.0
210.0,4,76.0
210.0,5,74.0
240.0,1,72.0
240.0,2,69.0
240.0,3,74.0
240.0,4,71.0
240.0,5,74.0
270.0,1,55.0
270.0,2,60.0
270.0,3,55.0
270.0,4,60.0
270.0,5,58.0
300.0,1,52.0
300.0,2,51.0
300.0,3,56.0
300.0,4,55.0
300.0,5,55.0
330.0,1,54.0
330.0,2,57.0
330.0,3,61.0
330.0,4,57.0
330.0,5,56.0
