angle_deg,trial_seed,firing_rate_hz
0.0,1,26.0
0.0,2,23.0
0.0,3,26.0
0.0,4,25.0
0.0,5,26.0
30.0,1,21.0
30.0,2,18.0
30.0,3,17.0
30.0,4,19.0
30.0,5,20.0
60.0,1,16.0
60.0,2,13.0
60.0,3,15.0
60.0,4,16.0
60.0,5,15.0
90.0,1,15.0
90.0,2,13.0
90.0,3,13.0
90.0,4,13.0
90.0,5,11.0
120.0,1,12.0
120.0,2,12.0
120.0,3,13.0
120.0,4,11.0
120.0,5,9.0
150.0,1,11.0
150.0,2,13.0
150.0,3,14.0
150.0,4,13.0
150.0,5,10.0
180.0,1,14.0
180.0,2,12.0
180.0,3,15.0
180.0,4,14.0
180.0,5,11.0
210.0,1,17.0
210.0,2,11.0
210.0,3,17.0
210.0,4,15.0
210.0,5,16.0
240.0,1,27.0
240.0,2,24.0
240.0,3,28.0
240.0,4,29.0
240.0,5,26.0
270.0,1,26.0
270.0,2,25.0
270.0,3,28.0
270.0,4,28.0
270.0,5,29.0
300.0,1,27.0
300.0,2,27.0
300.0,3,24.0
300.0,4,26.0
300.0,5,28.0
330.0,1,27.0
330.0,2,29.0
330.0,3,27.0
330.0,4,27.0
330.0,5,27.0
