angle_deg,trial_seed,firing_rate_hz
0.0,1,36.0
0.0,2,34.0
0.0,3,38.0
0.0,4,39.0
0.0,5,37.0
30.0,1,28.0
30.0,2,29.0
30.0,3,28.0
30.0,4,32.0
30.0,5,31.0
60.0,1,20.0
60.0,2,23.0
60.0,3,22.0
60.0,4,21.0
60.0,5,21.0
90.0,1,19.0
90.0,2,15.0
90.0,3,19.0
90.0,4,18.0
90.0,5,20.0
120.0,1,17.0
120.0,2,14.0
120.0,3,17.0
120.0,4,17.0
120.0,5,17.0
150.0,1,16.0
150.0,2,15.0
150.0,3,17.0
150.0,4,17.0
150.0,5,18.0
180.0,1,18.0
180.0,2,19.0
180.0,3,20.0
180.0,4,20.0
180.0,5,21.0
210.0,1,26.0
210.0,2,25.0
210.0,3,30.0
210.0,4,25.0
210.0,5,23.0
240.0,1,32.0
240.0,2,33.0
240.0,3,35.0
240.0,4,39.0
240.0,5,37.0
270.0,1,38.0
270.0,2,40.0
270.0,3,40.0
270.0,4,40.0
270.0,5,40.0
300.0,1,38.0
300.0,2,38.0
300.0,3,39.0
300.0,4,39.0
300.0,5,42.0
330.0,1,35.0
330.0,2,39.0
330.0,3,39.0
330.0,4,39.0
330.0,5,41.0
