angle_deg,trial_seed,firing_rate_hz
0.0,1,62.0
0.0,2,57.0
0.0,3,60.0
0.0,4,54.0
0.0,5,61.0
30.0,1,46.0
30.0,2,52.0
30.0,3,48.0
30.0,4,48.0
30.0,5,49.0
60.0,1,39.0
60.0,2,32.0
60.0,3,39.0
60.0,4,40.0
60.0,5,36.0
90.0,1,37.0
90.0,2,30.0
90.0,3,34.0
90.0,4,35.0
90.0,5,33.0
120.0,1,32.0
120.0,2,28.0
120.0,3,32.0
120.0,4,30.0
120.0,5,30.0
150.0,1,34.0
150.0,2,29.0
150.0,3,32.0
150.0,4,33.0
150.0,5,30.0
180.0,1,37.0
180.0,2,32.0
180.0,3,35.0
180.0,4,38.0
180.0,5,35.0
210.0,1,43.0
210.0,2,36.0
210.0,3,43.0
210.0,4,40.0
210.0,5,42.0
240.0,1,59.0
240.0,2,59.0
240.0,3,64.0
240.0,4,62.0
240.0,5,63.0
270.0,1,67.0
270.0,2,63.0
270.0,3,67.0
270.0,4,67.0
270.0,5,67.0
300.0,1,65.0
300.0,2,64.0
300.0,3,63.0
300.0,4,65.0
300.0,5,68.0
330.0,1,64.0
330.0,2,65.0
330.0,3,61.0
330.0,4,63.0
330.0,5,64.0
