angle_deg,trial_seed,firing_rate_hz
0.0,1,29.0
0.0,2,24.0
0.0,3,30.0
0.0,4,28.0
0.0,5,33.0
30.0,1,21.0
30.0,2,23.0
30.0,3,18.0
30.0,4,23.0
30.0,5,24.0
60.0,1,18.0
60.0,2,15.0
60.0,3,17.0
60.0,4,21.0
60.0,5,16.0
90.0,1,18.0
90.0,2,14.0
90.0,3,15.0
90.0,4,16.0
90.0,5,12.0
120.0,1,16.0
120.0,2,13.0
120.0,3,15.0
120.0,4,14.0
120.0,5,12.0
150.0,1,14.0
150.0,2,13.0
150.0,3,16.0
150.0,4,16.0
150.0,5,13.0
180.0,1,17.0
180.0,2,13.0
180.0,3,16.0
180.0,4,16.0
180.0,5,13.0
210.0,1,19.0
210.0,2,11.0
210.0,3,22.0
210.0,4,20.0
210.0,5,19.0
240.0,1,31.0
240.0,2,30.0
240.0,3,34.0
240.0,4,33.0
240.0,5,28.0
270.0,1,31.0
270.0,2,29.0
270.0,3,34.0
270.0,4,33.0
270.0,5,32.0
300.0,1,33.0
300.0,2,32.0
300.0,3,31.0
300.0,4,33.0
300.0,5,36.0
330.0,1,32.0
330.0,2,33.0
330.0,3,30.0
330.0,4,29.0
330.0,5,31.0
