angle_deg,trial_seed,firing_rate_hz
0.0,1,14.0
0.0,2,11.0
0.0,3,13.0
0.0,4,11.0
0.0,5,14.0
30.0,1,13.0
30.0,2,16.0
30.0,3,15.0
30.0,4,16.0
30.0,5,18.0
60.0,1,12.0
60.0,2,12.0
60.0,3,8.0
60.0,4,14.0
60.0,5,13.0
90.0,1,10.0
90.0,2,9.0
90.0,3,9.0
90.0,4,10.0
90.0,5,8.0
120.0,1,9.0
120.0,2,9.0
120.0,3,9.0
120.0,4,10.0
120.0,5,8.0
150.0,1,9.0
150.0,2,9.0
150.0,3,9.0
150.0,4,10.0
150.0,5,8.0
180.0,1,9.0
180.0,2,9.0
180.0,3,9.0
180.0,4,10.0
180.0,5,8.0
210.0,1,11.0
210.0,2,9.0
210.0,3,12.0
210.0,4,12.0
210.0,5,9.0
240.0,1,18.0
240.0,2,15.0
240.0,3,14.0
240.0,4,13.0
240.0,5,16.0
270.0,1,16.0
270.0,2,13.0
270.0,3,16.0
270.0,4,15.0
270.0,5,16.0
300.0,1,15.0
300.0,2,14.0
300.0,3,13.0
300.0,4,13.0
300.0,5,16.0
330.0,1,16.0
330.0,2,13.0
330.0,3,10.0
330.0,4,14.0
330.0,5,12.0
