condition_id,channel_kind,density_label,density_ms_cm2,peak_hz,null_hz,dsi_pd_nd,hwhm_deg,vector_sum_dsi,pd_angle_deg,rate_at_pd_hz,rate_at_nd_hz,rmse_vs_t0004,tuning_curve_reliability,delta_hwhm_deg,delta_vector_sum_dsi,is_inert
baseline,baseline,<NA>,0.0,17.4,9.2,0.3082706766917293,83.54166666666667,0.19275593015022652,303.5977614993376,16.2,8.6,13.830314052212216,0.8544092440151678,0.0,0.0,False
nav16_low,Nav1.6,low,10.0,22.4,11.8,0.3099415204678362,77.7576923076923,0.20270585954489265,301.7415883290738,21.2,10.4,14.964244354542847,0.8801620291470948,-5.783974358974376,0.00994992939466613,False
nav16_med,Nav1.6,med,30.0,33.0,14.0,0.40425531914893614,80.24175824175825,0.22763033472390026,303.245361102508,33.0,14.0,19.708001753357035,0.9369318495075218,-3.2999084249084234,0.034874404573673745,False
nav16_high,Nav1.6,high,90.0,66.2,33.8,0.32400000000000007,81.24214734437464,0.19944444231242758,303.41722889525585,65.0,30.4,41.563760068393464,0.9827729855089121,-2.299519322292028,0.006688512162201066,False
nap_low,NaP,low,0.3,27.4,12.2,0.38383838383838387,69.58237327188942,0.22651669025655058,304.88291412757553,26.4,11.4,17.39511287843679,0.9572451235831391,-13.959293394777248,0.03376076010632406,False
nap_med,NaP,med,0.8,39.6,18.2,0.37024221453287204,86.33367929423976,0.22614769315133385,305.30359405610653,39.2,16.4,23.9926045782086,0.9767146695014279,2.7920126275730865,0.03339176300110733,False
nap_high,NaP,high,2.4,74.2,73.0,0.008152173913043499,49.09090909090967,0.049732027539190454,124.01160342371784,70.8,53.8,55.43785019144071,0.8879462339572252,-34.450757575757,-0.14302390261103606,False
nar_low,NaR,low,3.0,17.6,9.4,0.30370370370370375,83.09210526315789,0.19657917232297265,304.56504735828304,16.8,8.6,13.91168423383124,0.8489960639000257,-0.44956140350878115,0.0038232421727461274,False
nar_med,NaR,med,8.0,18.0,10.0,0.2857142857142857,120.0,0.19725745607120676,306.7559461034225,17.8,9.0,13.926718336550543,0.8633534413660204,36.45833333333333,0.004501525920980243,False
nar_high,NaR,high,24.0,20.0,10.8,0.2987012987012987,117.69230769230771,0.1914712983657422,303.6007061614201,19.8,10.2,14.326762043271863,0.8875605934006968,34.150641025641036,-0.0012846317844843191,False
kv3_low,Kv3,low,7.0,17.8,8.8,0.3383458646616541,83.88157894736842,0.18976187189428625,301.67656018480403,16.6,9.0,13.879077932523264,0.8625719658751727,0.3399122807017534,-0.002994058255940263,True
kv3_med,Kv3,med,20.0,18.8,9.4,0.3333333333333333,82.83333333333333,0.19666701134282594,303.67879559542024,16.8,8.8,13.97849616606247,0.859256515126447,-0.7083333333333428,0.003911081192599419,True
kv3_high,Kv3,high,60.0,20.2,10.6,0.3116883116883117,83.57142857142857,0.1845939979127171,300.67383228917646,19.0,10.2,14.225391098575026,0.8714349621118183,0.029761904761897995,-0.008161932237509412,True
kv4_low,Kv4,low,4.0,17.2,9.2,0.30303030303030304,83.33333333333333,0.18283941920834593,303.5570120953383,16.0,8.8,13.663798227816283,0.8470863547085111,-0.2083333333333428,-0.00991651094188059,True
kv4_med,Kv4,med,12.0,17.6,9.2,0.3134328358208956,83.28947368421052,0.1932881855157795,303.3963630864554,15.8,8.4,13.814880387326994,0.875145117757204,-0.25219298245615107,0.000532255365552986,True
kv4_high,Kv4,high,36.0,16.8,9.4,0.282442748091603,83.16176470588235,0.17065920835246937,302.93836350745806,15.8,9.0,13.460534356691824,0.8323376259952872,-0.3799019607843235,-0.02209672179775715,True
bk_low,BK,low,0.3,16.8,9.2,0.2923076923076924,83.38235294117646,0.1769431184196989,305.63733112838145,15.0,8.6,13.512604207397949,0.8401119761403617,-0.1593137254902075,-0.01581281173052762,False
bk_med,BK,med,1.0,15.6,9.0,0.26829268292682923,76.75384615384614,0.14815294616792193,304.70742924451156,14.0,9.0,13.078754043913735,0.8095412688169267,-6.787820512820531,-0.044602983982304584,False
bk_high,BK,high,3.0,12.6,7.0,0.2857142857142857,74.64285714285714,0.14950698539941656,308.2801960192997,11.4,7.0,13.085761048429358,0.8508335813339833,-8.898809523809533,-0.04324894475080995,False
sk_low,SK,low,0.06,17.4,10.0,0.2700729927007299,82.5,0.19059946352359913,306.1327636149079,16.4,8.4,13.707415075268601,0.8583686688605503,-1.0416666666666714,-0.0021564666266273846,False
sk_med,SK,med,0.2,16.6,10.2,0.2388059701492538,82.5,0.16859026504528662,305.13675199244204,15.8,8.8,13.366055302897413,0.7639807035607473,-1.0416666666666714,-0.024165665104939893,False
sk_high,SK,high,0.6,15.6,10.6,0.19083969465648856,41.118421052631575,0.12364823393947451,313.51677743924944,14.2,9.0,12.54505066475881,0.7739076182606202,-42.423245614035096,-0.06910769621075201,False
kv7_low,Kv7,low,0.0001,17.4,9.2,0.3082706766917293,83.54166666666667,0.19047763672215717,303.3061189871717,16.2,8.6,13.790579639116649,0.8486520734658136,0.0,-0.0022782934280693445,True
kv7_med,Kv7,med,0.001,17.4,9.2,0.3082706766917293,83.54166666666667,0.19040439439633058,302.41034854554624,16.2,8.6,13.796017062283546,0.8533487805133438,0.0,-0.0023515357538959336,True
kv7_high,Kv7,high,0.005,17.4,9.2,0.3082706766917293,83.3108108108108,0.19011160810871075,303.173085219817,16.0,8.6,13.77789560906381,0.8498176736413783,-0.23085585585586443,-0.0026443220415157676,True
