iteration,hypervolume
29,3.408346
30,3.408346
31,3.408346
32,3.408346
33,3.408346
34,3.408346
35,3.408346
36,3.408346
37,3.417041
38,3.785071
39,3.785071
40,3.785071
41,3.785071
42,3.958812
43,3.958812
44,3.958812
45,3.958812
46,3.958812
47,3.958812
48,3.958812
49,3.958812
50,3.958812
51,3.958812
52,3.958812
53,3.958812
54,3.958812
55,3.958812
56,3.958812
57,3.958812
58,3.958812
59,3.958812
60,3.958812
61,3.958812
62,3.958812
63,3.958812
64,3.958812
65,3.958812
66,3.958812
67,3.958812
68,3.958812
69,3.958812
70,3.958812
71,3.975135
72,3.975135
73,3.975135
74,3.975135
75,3.975135
76,3.975135
77,3.975135
78,3.975135
79,3.975135
80,3.975135
81,3.975135
82,3.975135
83,3.975135
84,3.975135
85,3.975135
86,3.975135
87,3.975135
88,3.975135
89,3.975135
90,3.975135
91,3.975135
92,3.975135
93,3.975135
94,3.975135
95,3.975135
96,3.975135
97,3.975135
98,3.975135
99,3.975135
100,3.975135
101,3.975135
102,3.975135
103,3.975135
104,3.975135
105,4.102595
106,4.102595
107,4.102595
108,4.102595
109,4.102595
110,4.102595
111,4.102595
112,4.102595
113,4.102595
114,4.102595
115,4.102595
116,4.102595
117,4.102595
118,4.176838
119,4.176838
120,4.176838
121,4.176838
122,4.176838
123,4.176838
124,4.251704
125,4.251704
126,4.251704
127,4.251704
128,4.251704
129,4.251704
130,4.251704
131,4.251704
132,5.492662
133,5.492662
134,5.492662
135,5.492662
136,5.492662
137,5.492662
138,5.492662
139,5.492662
140,5.492662
141,5.492662
142,5.492662
143,5.492662
144,5.492662
145,5.492662
146,5.492662
147,5.492662
148,5.492662
149,5.492662
150,5.492662
151,5.492662
152,5.492662
153,5.492662
154,5.818680
155,5.818680
156,5.818680
157,5.818680
158,5.818680
159,5.818680
160,5.818680
161,5.818680
162,5.818680
163,5.818680
164,5.818680
165,5.818680
166,5.818680
167,5.818680
168,5.818680
169,5.818680
170,5.818680
171,5.818680
172,5.818680
173,5.818680
174,5.818680
175,5.818680
176,5.818680
177,5.818680
178,5.818680
179,5.818680
180,5.818680
181,5.818680
182,5.818680
183,5.826356
184,5.826356
185,5.826356
186,5.826356
187,5.826356
188,5.826356
189,5.826356
190,5.826356
191,5.826356
192,5.826356
193,5.826356
194,5.826356
195,5.826356
196,5.826356
197,5.826356
198,5.826356
199,6.608121
200,6.608121
201,6.608121
202,6.608121
203,6.608121
204,6.608121
205,6.608121
206,6.608121
207,6.608121
208,6.608121
209,6.608121
210,6.608121
211,6.608121
212,6.608121
213,6.608121
214,6.608121
215,6.608121
216,6.608121
217,6.608121
218,6.608121
219,6.608121
220,6.608121
221,6.608121
222,6.608121
223,6.608121
224,6.608121
225,6.608121
226,6.608121
227,6.608121
228,6.608121
229,6.608121
230,6.608121
231,6.628797
232,6.628797
233,6.628797
234,6.628797
235,6.628797
236,6.628797
237,6.628797
238,6.628797
239,6.628797
240,6.628797
241,6.628797
242,6.628797
243,6.628797
244,6.628797
245,6.628797
246,6.628797
247,6.628797
248,6.628797
249,6.628797
250,6.628797
251,6.628797
252,6.628797
253,6.628797
254,6.628797
255,6.628797
256,6.628797
257,6.628797
258,6.628797
259,6.628797
260,6.628797
261,6.628797
262,6.628797
263,6.628797
264,6.628797
265,6.628797
266,6.628797
267,6.628797
268,6.628797
269,6.628797
270,6.628797
271,6.628797
272,6.628797
273,6.628797
274,6.628797
275,6.628797
276,7.222350
277,7.222350
278,7.222350
279,7.222350
280,7.222350
281,7.293171
282,7.293171
283,7.293171
284,7.293171
285,7.293171
286,7.293171
287,7.293171
288,7.304748
289,7.304748
290,7.304748
291,7.304748
292,7.304748
293,7.304748
294,7.304748
295,7.304748
296,7.314054
297,7.314054
298,7.314054
299,7.314054
300,7.314054
301,7.314054
302,7.314054
303,7.314054
304,7.314054
305,7.314054
306,7.314054
307,7.314054
308,7.314054
309,7.314054
310,7.314054
311,7.314054
312,7.314054
313,7.314054
314,7.314054
315,7.655937
316,7.655937
317,7.655937
318,7.655937
319,7.718170
320,7.718170
321,7.718170
322,7.718170
323,7.718170
324,7.718170
325,7.718170
326,7.718170
327,7.718170
328,7.718170
329,7.718170
330,7.718170
331,7.718170
332,7.718170
333,7.718170
334,7.718170
335,7.718170
336,7.718170
337,7.718170
338,7.718170
339,7.718170
340,7.718170
341,7.718170
342,7.760967
343,7.760967
344,7.760967
345,7.760967
346,7.760967
347,7.760967
348,7.760967
349,7.760967
350,7.760967
351,7.760967
352,7.760967
353,7.760967
354,7.760967
355,7.760967
356,7.760967
357,7.760967
358,7.760967
359,7.760967
360,7.815412
361,7.815412
362,7.815412
363,7.815412
364,7.815412
365,7.815412
366,7.815412
367,7.815412
368,7.815412
369,7.815412
370,7.815412
371,7.815412
372,7.815412
373,7.815412
374,7.815412
375,7.815412
376,7.815412
377,7.815412
378,7.815412
379,7.815412
380,7.815412
381,7.815412
382,7.815412
383,7.815412
384,7.815412
385,7.815412
386,7.815412
387,7.815412
388,7.815412
389,7.815412
390,7.943807
391,7.943807
392,7.943807
393,7.943807
394,7.943807
395,7.943807
396,7.943807
397,7.943807
398,7.943807
399,7.943807
400,7.943807
401,7.943807
402,7.943807
403,7.943807
404,7.943807
405,8.133368
406,8.133368
407,8.133368
408,8.133368
409,8.133368
410,8.133368
411,8.133368
412,8.139717
413,8.139717
414,8.139717
415,8.139717
416,8.139717
417,8.139717
418,8.139717
419,8.139717
420,8.139717
