iteration,hypervolume
74,1.654373
75,1.654373
76,1.882178
77,2.547261
78,2.782839
79,2.912236
80,3.439377
81,4.119836
82,4.177258
83,4.234437
84,4.247424
85,4.247424
86,4.247424
87,4.247424
88,4.247424
89,4.273146
90,4.273146
91,4.339025
92,4.373412
93,4.373412
94,4.373412
95,4.373412
96,4.373412
97,4.590159
98,4.590159
99,4.590159
100,4.641473
101,4.653097
102,4.653097
103,4.725231
104,4.725231
105,4.725231
106,4.739225
107,4.739225
108,4.740758
109,4.740758
110,4.745387
111,7.148587
112,7.148587
113,7.148587
114,7.148675
115,7.148675
116,7.148675
117,7.148675
118,7.168148
119,7.286042
120,7.286042
121,7.286042
122,7.286042
123,7.513554
124,7.513554
125,7.513554
126,7.513554
127,7.513554
128,7.513554
129,7.531077
130,7.531077
131,7.531077
132,7.531077
133,7.531077
134,7.531077
135,7.531077
136,7.531077
137,7.586128
138,7.586128
139,7.586128
140,7.586128
141,7.586128
142,7.586128
143,7.586128
144,7.586128
145,7.586128
146,7.620810
147,7.620810
148,7.620810
149,7.620810
150,7.620810
151,7.620810
152,7.620810
153,7.620810
154,7.620810
155,7.620810
156,7.620810
157,7.620810
158,7.620810
159,7.620810
160,7.620810
161,7.620810
162,7.620810
163,7.620810
164,7.703487
165,7.703487
166,7.703487
167,7.703487
168,7.703487
169,7.703487
170,7.703487
171,7.703919
172,7.703919
173,7.703919
174,7.703919
175,7.703919
176,7.703919
177,7.703919
178,7.703919
179,7.703919
180,7.703919
181,7.703919
182,7.981295
183,8.008699
184,8.008699
185,8.015624
186,8.015624
187,8.015624
188,8.015624
189,8.015624
190,8.015624
191,8.015624
192,8.015624
193,8.015624
194,8.015624
195,8.015624
196,8.015624
197,8.015624
198,8.016482
199,8.016482
200,8.016482
201,8.016482
202,8.016482
203,8.016482
204,8.016482
205,8.016482
206,8.016482
207,8.016482
208,8.016482
209,8.016482
210,8.016482
211,8.016482
212,8.016482
213,8.016482
214,8.016482
215,8.016482
216,8.016482
217,8.016482
218,8.016482
219,8.016482
220,8.016482
221,8.016482
222,8.016482
223,8.095297
224,8.095297
225,8.095297
226,8.095297
227,8.095297
228,8.095297
229,8.135258
230,8.135258
231,8.135258
232,8.719853
233,8.744095
234,8.744095
235,8.744095
236,8.744095
237,8.744095
238,8.744095
239,8.744095
240,8.744095
241,8.744095
242,8.744095
243,8.744095
244,8.744095
245,8.744095
246,8.744095
247,8.744095
248,8.744095
249,8.744095
250,8.744095
251,8.744095
252,8.744095
253,8.744095
254,8.744095
255,8.744095
256,8.757904
257,8.757904
258,8.757904
259,8.757904
260,8.757904
261,8.757904
262,8.757904
263,8.757904
264,8.757904
265,8.757904
266,8.757904
267,8.757904
268,8.757904
269,8.757904
270,8.757904
271,8.757904
272,8.757904
273,8.757904
274,8.757904
275,8.757904
276,8.757904
277,8.757904
278,8.765145
279,8.783462
280,8.783462
281,8.783462
282,8.783462
283,8.931647
284,8.946799
285,8.946799
286,8.946799
287,8.946799
288,8.946799
289,8.946799
290,8.948963
291,8.949715
292,8.949715
293,8.949715
294,9.170590
295,9.170590
296,9.170590
297,9.170590
298,9.170590
299,9.170590
300,9.170590
301,9.170590
302,9.170590
303,9.170590
304,9.170590
305,9.173545
306,9.173545
307,9.173545
308,9.173545
309,9.173545
310,9.173545
311,9.173545
312,9.173545
313,9.173545
314,9.173545
315,9.173545
316,9.173545
317,9.173545
318,9.173545
319,9.173545
320,9.575953
321,9.575953
322,9.575953
323,9.575953
324,9.575953
325,9.575953
326,9.575953
327,9.575953
328,9.575953
329,9.575953
330,9.842290
331,9.842290
332,9.927797
333,9.927797
334,9.927797
335,9.927797
336,9.927797
337,9.927797
338,9.927797
339,9.927797
340,9.949285
341,9.962028
342,9.962028
343,9.962028
344,9.962028
345,9.962028
346,9.962028
347,9.962028
348,9.962028
349,10.102055
350,10.102055
351,10.102055
352,10.102055
353,10.102055
354,10.102055
355,10.102055
356,10.102055
357,10.102055
358,10.102055
359,10.102055
360,10.102055
361,10.102055
362,10.102055
363,10.102055
364,10.102055
365,10.102055
366,10.102055
367,10.102055
368,10.102055
369,10.102055
370,10.102055
371,10.125953
372,10.125953
373,10.125953
374,10.125953
375,10.125953
376,10.125953
377,10.125953
378,10.125953
379,10.125953
380,10.210784
381,10.210784
382,10.473021
383,10.473021
384,10.473021
385,10.473021
386,10.473021
387,10.473021
388,10.473021
389,10.473021
390,10.473021
391,10.473021
392,10.473021
393,10.473021
394,10.473021
395,10.473021
396,10.473021
397,10.473021
398,10.473021
399,10.473021
400,10.473021
401,10.473021
402,10.473021
403,10.473021
404,10.473021
405,10.473021
406,10.473021
407,10.473021
408,10.599101
409,10.599101
410,10.599101
411,10.599101
412,10.599101
413,10.599101
414,10.599101
415,10.599101
416,10.599101
417,10.599101
418,10.599101
419,10.599101
420,10.599101
421,10.599101
422,10.599101
423,10.599101
424,10.599101
425,10.599101
426,10.599101
427,10.599101
428,10.626252
429,10.626252
430,10.626252
431,10.626252
432,10.626252
433,10.626252
434,10.626252
435,10.626252
436,10.626252
437,10.733600
438,10.733600
439,10.733600
440,10.733600
441,10.733600
442,10.749219
443,10.749219
444,10.749219
445,10.749219
446,10.749219
447,10.749219
448,10.749219
449,10.749219
450,10.749219
451,10.749219
452,10.749219
453,10.749219
454,10.749219
455,10.749219
456,10.749219
457,10.749219
458,10.749219
459,10.749219
460,10.749219
461,10.749219
462,10.749219
463,10.749219
464,10.749219
465,10.749219
466,10.749219
467,10.749219
468,10.749219
469,10.749219
470,10.749219
471,10.749219
