# Suggestions (221)

| ID | Title | Kind | Priority | Status | Source Task | Date Added |
|-----|-------|------|----------|--------|-------------|------------|
| S-0002-01 | Factorial (g_Na, g_K) grid search on a DSGC compartmental model to locate the DSI-maximising conductance ridge | experiment | medium | active | `t0002_literature_survey_dsgc_compartmental_models` | 2026-04-19 |
| S-0002-04 | Factorial morphology sweep (branch orders, segment length, segment diameter) at fixed synapse count | experiment | medium | active | `t0002_literature_survey_dsgc_compartmental_models` | 2026-04-19 |
| S-0002-05 | GABA/AMPA density ratio scan at fixed 3-5x null/preferred IPSC asymmetry | experiment | medium | active | `t0002_literature_survey_dsgc_compartmental_models` | 2026-04-19 |
| S-0002-06 | NMDA multiplicative-gain ablation to isolate its contribution to DSI | experiment | medium | active | `t0002_literature_survey_dsgc_compartmental_models` | 2026-04-19 |
| S-0002-07 | Download the four discovered papers not included in the 20-paper budget (Sivyer2017, Euler2002, Enciso2010, Webvision) | dataset | medium | active | `t0002_literature_survey_dsgc_compartmental_models` | 2026-04-19 |
| S-0002-08 | Register SAC presynaptic drive model as an asset for downstream DSGC input construction | library | medium | active | `t0002_literature_survey_dsgc_compartmental_models` | 2026-04-19 |
| S-0002-10 | Reproduce the Park2014 mouse ON-OFF DSGC tuning-curve dataset as a validation benchmark | dataset | medium | active | `t0002_literature_survey_dsgc_compartmental_models` | 2026-04-19 |
| S-0003-02 | Port the Poleg-Polsky & Diamond 2016 DSGC ModelDB 189347 into the project as a library asset | library | medium | active | `t0003_simulator_library_survey` | 2026-04-19 |
| S-0003-03 | Benchmark NEURON vs Arbor on the project's actual DSGC morphology | experiment | medium | active | `t0003_simulator_library_survey` | 2026-04-19 |
| S-0003-04 | Scaffold a NetPyNE `Batch` sweep harness for DSGC parameter studies | library | medium | active | `t0003_simulator_library_survey` | 2026-04-19 |
| S-0003-05 | Evaluate NEURON 9.0.x C++ MOD-file migration readiness for project adoption | evaluation | low | active | `t0003_simulator_library_survey` | 2026-04-19 |
