seed,seed_key,WINDOW,REL_THRESHOLD,gen_at_fire,hv_at_fire,hv_at_run_end
44,t0106_seed44,2,0.01,39,122.0288,122.0288
77,t0112_seed77,2,0.01,20,107.4562,107.4602
2247,t0113_seed2247,2,0.01,13,36.0976,45.6221
7755,t0114_seed7755,2,0.01,25,95.9276,111.5353
44,t0106_seed44,2,0.005,39,122.0288,122.0288
77,t0112_seed77,2,0.005,20,107.4562,107.4602
2247,t0113_seed2247,2,0.005,13,36.0976,45.6221
7755,t0114_seed7755,2,0.005,26,95.9316,111.5353
44,t0106_seed44,3,0.01,,,122.0288
77,t0112_seed77,3,0.01,,,107.4602
2247,t0113_seed2247,3,0.01,,,45.6221
7755,t0114_seed7755,3,0.01,27,96.0569,111.5353
44,t0106_seed44,3,0.005,,,122.0288
77,t0112_seed77,3,0.005,,,107.4602
2247,t0113_seed2247,3,0.005,,,45.6221
7755,t0114_seed7755,3,0.005,38,103.0259,111.5353
44,t0106_seed44,4,0.01,,,122.0288
77,t0112_seed77,4,0.01,,,107.4602
2247,t0113_seed2247,4,0.01,,,45.6221
7755,t0114_seed7755,4,0.01,39,103.1466,111.5353
44,t0106_seed44,4,0.005,,,122.0288
77,t0112_seed77,4,0.005,,,107.4602
2247,t0113_seed2247,4,0.005,,,45.6221
7755,t0114_seed7755,4,0.005,,,111.5353
44,t0106_seed44,5,0.01,,,122.0288
77,t0112_seed77,5,0.01,,,107.4602
2247,t0113_seed2247,5,0.01,,,45.6221
7755,t0114_seed7755,5,0.01,,,111.5353
44,t0106_seed44,5,0.005,,,122.0288
77,t0112_seed77,5,0.005,,,107.4602
2247,t0113_seed2247,5,0.005,,,45.6221
7755,t0114_seed7755,5,0.005,,,111.5353
