t0115_pareto_idx,t0115_dsi,t0115_pd_rate_hz,t0115_generation,nn_t0106_idx,nn_t0106_zscored_l2_distance,nn_t0112_idx,nn_t0112_zscored_l2_distance,nn_t0113_idx,nn_t0113_zscored_l2_distance,nn_t0114_idx,nn_t0114_zscored_l2_distance,closer_to
0,1.0,19.7619,44,3,10.5309,2,11.5512,0,10.8823,4,11.3086,t0106
1,0.9833,28.3333,54,1,11.4057,2,10.6145,6,10.6687,0,11.1851,t0112
2,0.9735,35.4762,51,4,10.5521,2,10.8157,5,11.0683,0,10.9285,t0106
3,0.9494,36.6667,53,1,10.848,2,10.8311,5,10.7025,0,10.5584,t0114
4,0.939,37.8571,52,1,10.8348,2,10.8308,5,10.5556,0,11.0247,t0113
5,0.9167,38.3333,53,4,10.6107,2,11.4216,5,10.7269,0,11.558,t0106
6,0.8913,41.4286,49,1,10.7908,2,10.8261,5,10.6454,0,10.5628,t0114
7,0.8392,43.5714,55,2,11.2497,1,11.3581,1,11.6125,4,11.5784,t0106
8,0.7899,50.7143,42,3,11.2562,1,11.3049,5,11.5497,4,11.377,t0106
9,0.6692,52.8571,50,2,10.9461,1,11.8672,5,11.04,4,11.5886,t0106
10,0.2493,53.0952,44,1,10.6666,1,11.7484,5,10.6668,4,11.4437,t0106
11,0.1429,54.2857,53,3,10.8554,1,11.8694,5,11.1958,4,11.4133,t0106
12,0.1059,55.9524,52,1,10.3425,2,11.3945,5,10.7306,4,11.2909,t0106
13,0.0679,56.1905,51,3,10.8502,1,11.411,5,10.4429,4,11.6203,t0113
14,0.0604,59.2857,45,4,10.1716,2,10.9347,1,9.6498,2,11.5915,t0113
15,0.0328,63.0952,35,4,11.2797,2,12.3158,4,11.0829,3,11.006,t0114
16,0.0261,70.2381,40,4,10.9479,1,11.2375,2,9.8643,3,10.8619,t0113
17,0.0177,75.2381,50,4,10.8717,1,10.5906,2,10.3495,4,11.8663,t0113
18,0.0123,76.6667,43,1,10.4282,1,11.5063,7,10.8966,4,11.2804,t0106
19,0.0119,79.0476,37,4,11.1864,0,11.0722,2,10.6851,3,11.4363,t0113
20,0.0085,84.2857,39,4,10.1134,2,11.9022,4,10.0728,3,11.0272,t0113
21,0.0042,85.0,43,4,10.9295,1,11.0996,2,10.3634,3,11.3682,t0113
22,0.0,89.2857,55,4,10.6304,2,10.9897,4,9.7755,3,10.776,t0113
