seed_label,task_seed,n_total_evals,n_legit_joint_pass_unique,acceptance_rate_pct,convention
t0106_seed44,44,3744,121,3.2318,unique_legit_jp_cells_per_total_evals
t0112_seed77,77,2016,7,0.3472,unique_legit_jp_cells_per_total_evals
t0113_seed2247,2247,1344,0,0.0,unique_legit_jp_cells_per_total_evals
t0114_seed7755,7755,5952,484,8.1317,unique_legit_jp_cells_per_total_evals
t0115_seed9354,9354,5280,63,1.1932,unique_legit_jp_cells_per_total_evals
5seed_mean,,,,2.5808,unique_legit_jp_cells_per_total_evals
5seed_sample_sd,,,,3.3471,unique_legit_jp_cells_per_total_evals
5seed_sample_se,,,,1.4969,unique_legit_jp_cells_per_total_evals
hay_2011_envelope_upper,,,,0.4,literature_baseline
druckmann_2007_baseline,,,,0.1,literature_baseline
