Cluster sizes total: {0: 67, 1: 678, 2: 124}
  cluster 0 cell 1/15: t0112_t0106_seed77_replicate/s77 gen=21 DSI=0.935 PD=42.9 ...
  cluster 0 cell 2/15: t0115_seed9354_no_autostop/s9354 gen=42 DSI=0.790 PD=50.7 ...
  cluster 0 cell 3/15: t0115_seed9354_no_autostop/s9354 gen=49 DSI=0.891 PD=41.4 ...
  cluster 0 cell 4/15: t0115_seed9354_no_autostop/s9354 gen=55 DSI=0.839 PD=43.6 ...
  cluster 0 cell 5/15: t0115_seed9354_no_autostop/s9354 gen=52 DSI=0.939 PD=37.9 ...
  cluster 0 cell 6/15: t0115_seed9354_no_autostop/s9354 gen=53 DSI=0.917 PD=38.3 ...
  cluster 0 cell 7/15: t0115_seed9354_no_autostop/s9354 gen=42 DSI=0.750 PD=46.7 ...
  cluster 0 cell 8/15: t0115_seed9354_no_autostop/s9354 gen=53 DSI=0.949 PD=36.7 ...
  cluster 0 cell 9/15: t0115_seed9354_no_autostop/s9354 gen=36 DSI=0.949 PD=36.4 ...
  cluster 0 cell 10/15: t0115_seed9354_no_autostop/s9354 gen=51 DSI=0.974 PD=35.5 ...
  cluster 0 cell 11/15: t0115_seed9354_no_autostop/s9354 gen=53 DSI=0.915 PD=37.6 ...
  cluster 0 cell 12/15: t0115_seed9354_no_autostop/s9354 gen=44 DSI=0.875 PD=39.3 ...
  cluster 0 cell 13/15: t0115_seed9354_no_autostop/s9354 gen=52 DSI=0.735 PD=46.7 ...
  cluster 0 cell 14/15: t0115_seed9354_no_autostop/s9354 gen=50 DSI=0.914 PD=37.1 ...
  cluster 0 cell 15/15: t0115_seed9354_no_autostop/s9354 gen=42 DSI=0.960 PD=35.2 ...
Wrote C:\Users\md1avn\Documents\GitHub\neuron-channels-worktrees\t0116_pooled_pca_cluster_factor_dsi07_pd10\tasks\t0116_pooled_pca_cluster_factor_dsi07_pd10\results\images\electrophys_cluster_0_morphs.png
  cluster 1 cell 1/15: t0114_seed7755_no_autostop/s7755 gen=61 DSI=0.987 PD=111.7 ...
  cluster 1 cell 2/15: t0114_seed7755_no_autostop/s7755 gen=61 DSI=0.983 PD=111.9 ...
  cluster 1 cell 3/15: t0114_seed7755_no_autostop/s7755 gen=60 DSI=0.987 PD=111.4 ...
  cluster 1 cell 4/15: t0114_seed7755_no_autostop/s7755 gen=62 DSI=0.983 PD=111.7 ...
  cluster 1 cell 5/15: t0114_seed7755_no_autostop/s7755 gen=60 DSI=0.987 PD=110.7 ...
  cluster 1 cell 6/15: t0114_seed7755_no_autostop/s7755 gen=60 DSI=0.987 PD=110.7 ...
  cluster 1 cell 7/15: t0114_seed7755_no_autostop/s7755 gen=62 DSI=0.987 PD=110.5 ...
  cluster 1 cell 8/15: t0114_seed7755_no_autostop/s7755 gen=58 DSI=0.987 PD=110.5 ...
  cluster 1 cell 9/15: t0114_seed7755_no_autostop/s7755 gen=59 DSI=0.987 PD=110.5 ...
  cluster 1 cell 10/15: t0114_seed7755_no_autostop/s7755 gen=58 DSI=0.987 PD=110.5 ...
  cluster 1 cell 11/15: t0114_seed7755_no_autostop/s7755 gen=56 DSI=0.987 PD=110.5 ...
  cluster 1 cell 12/15: t0114_seed7755_no_autostop/s7755 gen=59 DSI=0.983 PD=110.7 ...
  cluster 1 cell 13/15: t0114_seed7755_no_autostop/s7755 gen=60 DSI=0.987 PD=110.2 ...
  cluster 1 cell 14/15: t0114_seed7755_no_autostop/s7755 gen=60 DSI=0.987 PD=110.2 ...
  cluster 1 cell 15/15: t0114_seed7755_no_autostop/s7755 gen=62 DSI=0.987 PD=110.2 ...
Wrote C:\Users\md1avn\Documents\GitHub\neuron-channels-worktrees\t0116_pooled_pca_cluster_factor_dsi07_pd10\tasks\t0116_pooled_pca_cluster_factor_dsi07_pd10\results\images\electrophys_cluster_1_morphs.png
  cluster 2 cell 1/15: t0106_long_pdnd_nsga2_300gen/s44 gen=39 DSI=0.943 PD=122.6 ...
  cluster 2 cell 2/15: t0106_long_pdnd_nsga2_300gen/s44 gen=38 DSI=0.954 PD=120.2 ...
  cluster 2 cell 3/15: t0106_long_pdnd_nsga2_300gen/s44 gen=38 DSI=0.935 PD=121.4 ...
  cluster 2 cell 4/15: t0106_long_pdnd_nsga2_300gen/s44 gen=33 DSI=0.935 PD=121.4 ...
  cluster 2 cell 5/15: t0106_long_pdnd_nsga2_300gen/s44 gen=36 DSI=0.925 PD=122.6 ...
  cluster 2 cell 6/15: t0106_long_pdnd_nsga2_300gen/s44 gen=37 DSI=0.917 PD=121.7 ...
  cluster 2 cell 7/15: t0106_long_pdnd_nsga2_300gen/s44 gen=37 DSI=0.900 PD=122.6 ...
  cluster 2 cell 8/15: t0106_long_pdnd_nsga2_300gen/s44 gen=39 DSI=0.920 PD=120.0 ...
  cluster 2 cell 9/15: t0106_long_pdnd_nsga2_300gen/s44 gen=34 DSI=0.934 PD=118.1 ...
  cluster 2 cell 10/15: t0106_long_pdnd_nsga2_300gen/s44 gen=37 DSI=0.923 PD=119.3 ...
  cluster 2 cell 11/15: t0106_long_pdnd_nsga2_300gen/s44 gen=38 DSI=0.948 PD=115.0 ...
  cluster 2 cell 12/15: t0106_long_pdnd_nsga2_300gen/s44 gen=36 DSI=0.978 PD=107.4 ...
  cluster 2 cell 13/15: t0106_long_pdnd_nsga2_300gen/s44 gen=38 DSI=0.974 PD=107.4 ...
  cluster 2 cell 14/15: t0106_long_pdnd_nsga2_300gen/s44 gen=38 DSI=0.882 PD=118.1 ...
  cluster 2 cell 15/15: t0106_long_pdnd_nsga2_300gen/s44 gen=38 DSI=0.901 PD=114.5 ...
Wrote C:\Users\md1avn\Documents\GitHub\neuron-channels-worktrees\t0116_pooled_pca_cluster_factor_dsi07_pd10\tasks\t0116_pooled_pca_cluster_factor_dsi07_pd10\results\images\electrophys_cluster_2_morphs.png

Built 45 morphologies across 3 clusters
