,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
NAV16_SOMA_GBAR,0.3103438133644614,-0.27054240092081877,0.8228452707941153,0.03659438375006681,-0.01427094376459035,0.009073051532770344,-0.03618777988300943,0.06441014073085734,0.03760696722192292,-0.06895188091216704
NAV16_PRIMARY_GBAR,-0.7223504944565936,0.4051696895536356,0.05681749538455258,-0.012543251021599089,-0.019382221153774536,-0.10193346448825182,-0.009821987435418608,0.06324798194215404,0.03123383358660006,0.09643516522227952
NAV16_MID_GBAR,0.28718969492008184,0.1700299204273897,-0.32905143305588364,0.061626123419139874,0.1467446111897966,0.09072982574798272,0.02575937740685987,0.006735150775774838,-0.16954040982372323,0.18866479143757645
NAV16_TERMINAL_GBAR,-0.2827182975641652,0.05484593012664284,0.05317793587544519,-0.12105170804433484,-0.20034017154584863,-0.11449738938345021,0.021796092543813414,0.36591325319169155,0.17478976483442607,0.045480312588672425
NAV16_AIS_GBAR,0.0439846084869605,-0.7024605725746915,0.11225274859180914,-0.07103929979661631,0.12857803652484795,-0.02412873193653444,-0.17713349344294982,0.043791738763003976,0.2937948175617928,-0.038922312049603405
KV3_SOMA_GBAR,0.5756266061849509,0.35662138918182634,-0.0035576175844885013,0.08312822585923228,-0.06379209434503018,0.00587065394165069,-0.015561349430253066,-0.11354331681511041,0.03596810353699547,0.14353633927075024
KV3_PRIMARY_GBAR,0.3983624783706183,-0.1747626755503808,0.14569756771732362,0.019487930168919077,-0.4129929071791062,0.08339258289030736,-0.12014927180357789,0.10395548568304094,-0.1660782562792807,0.14733453005480046
KV3_MID_GBAR,0.7973109899879863,-0.3043525435882219,0.03764415151408443,0.12214018080627882,-0.10959181455963744,0.06586927907127355,0.04308661720577749,0.043927109322828124,-0.051948379677092794,0.005168548088378065
KV3_TERMINAL_GBAR,-0.28548445409344764,0.2560067807365732,0.300683526544715,0.05944572128513485,-0.011183523996730099,-0.014141467663781352,-0.07483222812068865,-0.19213541873753193,-0.012475864084662653,0.19541932265040235
KV3_AIS_GBAR,0.8616586456403793,0.04419086583771376,0.020868500661408072,0.3357466548999007,-0.02907293794278818,0.12633262679365137,-0.08320038457167585,-0.07323957942256801,-0.0659500618750379,-0.0226166197707244
NAP_SOMA_GBAR,-0.9233011789673476,-0.009617370193698009,-0.03927179667485289,-0.02665568465171179,0.009976231635900418,0.1504534733943189,0.2303840749252494,-0.022363490325143877,0.034099695235678615,0.06527495531136879
NAP_PRIMARY_GBAR,0.5325124999695502,0.13897565031273543,-0.5121286354504635,-0.025403733084596664,-0.15069708206912566,-0.12181438008541683,-0.03175186297303466,0.188231752811118,-0.008515895627399616,0.08177661366783211
NAP_MID_GBAR,-0.9221293581727084,0.2901706570266597,-0.026187615245875845,0.029420357023884583,0.09074730271115862,0.008003989377183817,-0.12292554538840633,0.09558950306986654,-0.07963209279754854,-0.04008208196441817
NAP_TERMINAL_GBAR,-0.4280734617847184,0.4446441664819142,-0.042228908240996246,-0.02898117595920743,0.20538130401724847,0.11246581796733342,-0.21481096975588151,-0.07051539049838247,0.06949628268682563,0.1491863132440324
NAP_AIS_GBAR,0.6491032381074099,0.006178861342706468,0.2370097310643781,-0.001904961690747042,0.051075938035534285,-0.24544658981572043,-0.21723833562086345,-0.11150682738316106,-0.019787397330514805,0.02419153748422672
BK_SOMA_GBAR,0.18746702683618516,0.8174711068891058,-0.009831282853110647,-0.01951392427827121,-0.031891662515861015,-0.03282648037712264,0.19093384200201885,-0.06260276823517234,0.2886830684646639,-0.0416689089103975
BK_PRIMARY_GBAR,0.890167538096321,-0.193279985050819,-0.02267954435580757,0.014200484171289123,-0.053269032000026265,-0.012181568050941784,0.031108881094132068,-0.0608664542469315,0.09661493960283257,0.09071644615065284
BK_MID_GBAR,-0.17469527112115324,0.5176515749769259,-0.5860849048206569,-0.03734911280272377,-0.052768130962773045,0.06045142085851098,0.0749015648171363,-0.01733047621033983,0.18778081111288394,-0.2112917337776315
BK_TERMINAL_GBAR,0.6483800872840315,0.22859287827267902,-0.6275403648411633,0.010436572995285854,0.018604447597131247,-0.05281471024633238,0.03666162254511636,-0.11382561381244823,0.1180477156283919,0.049211698496095524
BK_AIS_GBAR,0.3283009052511708,0.08195665376168323,0.753047652275957,-0.000842193123615319,-0.09969805748949673,-0.11503612018646293,0.036175308019427324,-0.16411858680899688,0.04043072208674393,0.006926727006881413
SK_SOMA_GBAR,0.4220791698815423,0.1579157630865598,0.13410720363669285,-0.004885694871939963,-0.7599583334862721,9.397313764363804e-05,0.009709425774935772,0.04199516187540232,0.001652705907513279,-0.02560440641770256
SK_PRIMARY_GBAR,0.8248821776627442,-0.5194245152886339,0.03954191334775721,0.013702276615564953,-0.021916429637914726,-0.01539705246045965,0.06429914438318712,-0.01979488257452072,0.003161136072505143,-0.0005731244575997043
SK_MID_GBAR,-0.2117319375172104,0.8632152614299345,-0.2250449527305339,0.02048978228682978,-0.10477317348301986,0.07219816358263068,-0.1331284950019038,-0.05335862206036042,-0.206497813296759,-0.0591098091283255
