source_task,seed,generation,dsi_vector_sum,pd_rate_hz,ephys_pc1,ephys_pc2,ephys_pc3
t0112_t0106_seed77_replicate,77,17,0.9506172839506173,112.85714285714286,-0.6319947992672401,-1.3093485293611384,-0.12054964688623102
t0114_seed7755_no_autostop,7755,19,0.9744245524296675,91.9047619047619,-4.057226670733371,0.3096358886876227,0.16157774026584182
t0114_seed7755_no_autostop,7755,29,0.9833795013850416,85.23809523809524,-4.110001742260212,0.27049205037959795,0.07728600648426824
t0114_seed7755_no_autostop,7755,22,0.967479674796748,86.42857142857143,-3.686168424641533,-0.0857566007105854,-0.11546103312943062
t0114_seed7755_no_autostop,7755,25,0.9715909090909091,82.61904761904763,-3.9606299663784594,0.055061612385035694,0.168595916873822
t0114_seed7755_no_autostop,7755,21,0.9761904761904763,79.04761904761905,-4.690420200030131,0.6378495621071479,0.056290917940441096
t0114_seed7755_no_autostop,7755,20,0.9759036144578314,78.0952380952381,-4.2444422650292,0.47312889232073513,0.3795028263828444
t0114_seed7755_no_autostop,7755,24,0.9810725552050473,74.76190476190477,-3.6096086399834784,0.17440099467986428,-0.04575256779469917
t0114_seed7755_no_autostop,7755,23,0.9689440993788819,75.47619047619048,-4.193300111392691,0.44047214326846273,0.33224143559361613
t0112_t0106_seed77_replicate,77,18,0.952191235059761,58.33333333333334,-1.2177435963460976,-1.714858729126647,-0.7415915797972922
t0114_seed7755_no_autostop,7755,15,0.9692307692307692,45.714285714285715,-3.058248373244641,-0.07342575495202247,-0.8275770737377416
t0112_t0106_seed77_replicate,77,19,0.8773006134969324,36.42857142857143,-1.33164738890123,-2.1708624507928715,0.2753464584694517
t0112_t0106_seed77_replicate,77,20,0.9136690647482014,31.66666666666667,0.9497271814912752,-0.12157281085358626,-0.9920385156472566
t0112_t0106_seed77_replicate,77,16,0.9069767441860465,29.28571428571429,0.6206321076687632,-0.5803690020022905,-0.7877330463755593
t0115_seed9354_no_autostop,9354,33,0.6,26.66666666666667,2.7218297200505783,0.4924509206056288,3.45988688082754
