cluster_id,source_task,seed,generation,individual_idx,dsi_vector_sum,pd_rate_hz,dsi_quintile,pd_quintile
0,t0106_long_pdnd_nsga2_300gen,44,1,71,0.0,0.7142857142857143,0,0
0,t0115_seed9354_no_autostop,9354,2,129,0.0,2.857142857142857,0,1
0,t0112_t0106_seed77_replicate,77,2,105,6.123233995736766e-17,13.571428571428571,0,2
0,t0106_long_pdnd_nsga2_300gen,44,5,422,6.123233995736766e-17,28.571428571428573,0,3
0,t0106_long_pdnd_nsga2_300gen,44,7,666,6.123233995736766e-17,30.714285714285715,0,4
0,t0112_t0106_seed77_replicate,77,5,431,0.0153846153846154,7.857142857142858,1,1
0,t0114_seed7755_no_autostop,7755,5,440,0.010989010989011,10.952380952380954,1,2
0,t0106_long_pdnd_nsga2_300gen,44,10,936,0.0096153846153845,25.0,1,3
0,t0112_t0106_seed77_replicate,77,16,1483,0.0106951871657754,44.04761904761905,1,4
0,t0112_t0106_seed77_replicate,77,15,1356,0.926829268292683,0.7142857142857143,2,0
1,t0106_long_pdnd_nsga2_300gen,44,2,103,6.123233995736766e-17,19.28571428571429,0,0
1,t0106_long_pdnd_nsga2_300gen,44,11,1037,6.123233995736766e-17,51.42857142857143,0,1
1,t0106_long_pdnd_nsga2_300gen,44,24,2268,0.0040816326530612,87.85714285714286,0,2
1,t0106_long_pdnd_nsga2_300gen,44,27,2577,0.0063211125158027,94.76190476190476,0,3
1,t0106_long_pdnd_nsga2_300gen,44,31,2902,6.123233995736766e-17,112.85714285714286,0,4
1,t0106_long_pdnd_nsga2_300gen,44,8,691,0.0143540669856459,25.23809523809524,1,0
1,t0106_long_pdnd_nsga2_300gen,44,15,1416,0.0167224080267558,35.0,1,1
1,t0106_long_pdnd_nsga2_300gen,44,18,1673,0.008347245409015,71.90476190476191,1,2
1,t0106_long_pdnd_nsga2_300gen,44,25,2337,0.0169050715214564,93.0952380952381,1,3
1,t0106_long_pdnd_nsga2_300gen,44,34,3209,0.0114942528735632,115.23809523809526,1,4
2,t0114_seed7755_no_autostop,7755,4,325,6.123233995736766e-17,33.57142857142858,0,0
2,t0114_seed7755_no_autostop,7755,14,1323,0.0021881838074397,54.28571428571429,0,1
2,t0114_seed7755_no_autostop,7755,25,2339,6.123233995736766e-17,92.85714285714286,0,2
2,t0114_seed7755_no_autostop,7755,30,2823,6.123233995736766e-17,95.71428571428572,0,3
2,t0114_seed7755_no_autostop,7755,54,5140,0.0154525386313466,109.52380952380952,0,4
2,t0114_seed7755_no_autostop,7755,13,1227,0.0260416666666666,46.90476190476191,1,0
2,t0114_seed7755_no_autostop,7755,8,683,0.0174672489082969,55.47619047619048,1,1
2,t0114_seed7755_no_autostop,7755,21,1983,0.0268456375838925,72.85714285714286,1,2
2,t0114_seed7755_no_autostop,7755,47,4448,0.2185792349726776,106.1904761904762,1,3
2,t0114_seed7755_no_autostop,7755,49,4612,0.2208835341365461,108.57142857142858,1,4
3,t0115_seed9354_no_autostop,9354,3,244,6.123233995736766e-17,5.0,0,0
3,t0115_seed9354_no_autostop,9354,2,98,6.123233995736766e-17,31.42857142857143,0,1
3,t0115_seed9354_no_autostop,9354,7,663,6.123233995736766e-17,41.42857142857143,0,2
3,t0115_seed9354_no_autostop,9354,7,653,6.123233995736766e-17,45.71428571428572,0,3
3,t0115_seed9354_no_autostop,9354,30,2866,6.123233995736766e-17,75.71428571428572,0,4
3,t0112_t0106_seed77_replicate,77,7,651,0.0101010101010101,11.904761904761909,1,0
3,t0115_seed9354_no_autostop,9354,6,500,0.0097087378640776,24.28571428571429,1,1
3,t0115_seed9354_no_autostop,9354,5,395,0.0068965517241379,34.285714285714285,1,2
3,t0115_seed9354_no_autostop,9354,17,1570,0.0049504950495049,48.33333333333334,1,3
3,t0115_seed9354_no_autostop,9354,16,1454,0.002079002079002,57.142857142857146,1,4
