parameter,mean_high_mi,std_high_mi,mean_low_mi,std_low_mi,mwu_p_mi,cliffs_delta_mi,mean_high_atp,std_high_atp,mean_low_atp,std_low_atp,mwu_p_atp,cliffs_delta_atp
NAV16_SOMA_GBAR,0.9541743232109727,0.07311471806459378,0.8433205077406671,0.21572185376883804,1.0537519709444507e-12,0.19283472603785104,0.7969886740090114,0.2470408720594877,0.9604611458029728,0.0392223083422203,5.287077584150568e-21,-0.27461555065704696
NAV16_PRIMARY_GBAR,0.3110880301158198,0.07923273102348916,0.4380684337698528,0.2489695572587168,3.0426286317116736e-11,-0.17986993475274726,0.4912823772212702,0.26869231109173125,0.2990296485234999,0.05120043156090119,1.0008592860571459e-50,0.4374889620031266
NAV16_MID_GBAR,0.13946802258294558,0.23956734580515074,0.3497341739962399,0.26288852537621543,4.031570562820304e-92,-0.5510924622252747,0.3609926777155567,0.2534728885219136,0.10870413940978313,0.2192347811096772,1.4980756942730965e-105,0.6372619880822339
NAV16_TERMINAL_GBAR,0.4802316879431138,0.10627718073987995,0.5038547834836153,0.19001728422878508,3.7804273258527673e-16,-0.22051234355921856,0.5086455597293941,0.18477086152505542,0.47491923907061,0.1164030557860305,5.9948456063620765e-25,0.30128008058555344
NAV16_AIS_GBAR,4.397051852702262,0.5967598450029752,3.4793083664189384,1.260278709996804,1.387110593154615e-80,0.5143825358669109,3.2287905833984483,1.3106580937523422,4.52191815254902,0.44567245550761475,7.755211996533573e-128,-0.7024417684342724
KV3_SOMA_GBAR,0.5500557431411024,0.21837085717817542,0.5435949145000641,0.2566369483200496,0.659293776683751,-0.011936956272893772,0.551903901649311,0.24572506725164459,0.531199828643932,0.2216544836661722,0.06705711488649593,0.05348767996023051
KV3_PRIMARY_GBAR,0.854079959343932,0.008619321597428266,0.7799411778031669,0.1954923269049165,0.04887999379552136,0.05331983554639805,0.7654179631189016,0.21561540872713192,0.8526486965985939,0.003768447957756875,0.641528900033245,0.013597176889214488
KV3_MID_GBAR,0.556229240703301,0.11028333642957437,0.5787828885088069,0.20158287588482235,0.03339973279891861,-0.057588570283882784,0.5374556976042624,0.2137929889849213,0.5701007521517297,0.09889082484005252,0.0002566911143946082,-0.10675950575938148
KV3_TERMINAL_GBAR,0.6554713193851572,0.10457002276315444,0.5650180838718397,0.2564139766173681,0.5711142577663864,0.015331673534798534,0.5657308641503322,0.2658454098149424,0.6774952041278264,0.0659427760103982,0.03158117865985058,-0.0627808556982228
KV3_AIS_GBAR,0.6058390158601735,0.2738522243186768,0.48176705329624636,0.26484911592177884,4.478618889522078e-35,0.3345245249542125,0.516226155682423,0.26963354276864854,0.5002041616783754,0.30863239040550244,0.048526686011537284,-0.05761834367907065
