Total evals: 3456
Valid evals (DSI > -1, ATP finite): 3438
Pareto-front size: 84

PARETO FRONT (sorted by DSI desc)
rank  idx  gen     DSI     ATP/spike       PD_Hz   ND_Hz
   1 3270   35   1.0000     1.599e+07        ?       ?
   2 3364   36   1.0000     1.599e+07        ?       ?
   3 3365   36   0.4595     1.232e+07        ?       ?
   4  290    4   0.4118     1.111e+07        ?       ?
   5  386    5   0.4118     1.111e+07        ?       ?
   6  482    6   0.4118     1.111e+07        ?       ?
   7  578    7   0.4118     1.111e+07        ?       ?
   8  674    8   0.4118     1.111e+07        ?       ?
   9  770    9   0.4118     1.111e+07        ?       ?
  10  866   10   0.4118     1.111e+07        ?       ?
  11  961   11   0.4118     1.111e+07        ?       ?
  12 1057   12   0.4118     1.111e+07        ?       ?
  13 1153   13   0.4118     1.111e+07        ?       ?
  14 1249   14   0.4118     1.111e+07        ?       ?
  15 1345   15   0.4118     1.111e+07        ?       ?
  16 1441   16   0.4118     1.111e+07        ?       ?
  17 1537   17   0.4118     1.111e+07        ?       ?
  18 1633   18   0.4118     1.111e+07        ?       ?
  19 1729   19   0.4118     1.111e+07        ?       ?
  20 1825   20   0.4118     1.111e+07        ?       ?
  21 1921   21   0.4118     1.111e+07        ?       ?
  22 2017   22   0.4118     1.111e+07        ?       ?
  23 2113   23   0.4118     1.111e+07        ?       ?
  24 2209   24   0.4118     1.111e+07        ?       ?
  25 2305   25   0.4118     1.111e+07        ?       ?
  26 2401   26   0.4118     1.111e+07        ?       ?
  27 2497   27   0.4118     1.111e+07        ?       ?
  28 2593   28   0.4118     1.111e+07        ?       ?
  29 2689   29   0.4118     1.111e+07        ?       ?
  30 2785   30   0.4118     1.111e+07        ?       ?
  31 2881   31   0.4118     1.111e+07        ?       ?
  32 2977   32   0.4118     1.111e+07        ?       ?
  33 3073   33   0.4118     1.111e+07        ?       ?
  34 3168   34   0.4118     1.111e+07        ?       ?
  35 3264   35   0.4118     1.111e+07        ?       ?
  36 3360   36   0.4118     1.111e+07        ?       ?
  37  868   10   0.3333     8.305e+06        ?       ?
  38  963   11   0.3333     8.305e+06        ?       ?
  39 1059   12   0.3333     8.305e+06        ?       ?
  40 1155   13   0.3333     8.305e+06        ?       ?
  41 1251   14   0.3333     8.305e+06        ?       ?
  42 1347   15   0.3333     8.305e+06        ?       ?
  43 1443   16   0.3333     8.305e+06        ?       ?
  44 1539   17   0.3333     8.305e+06        ?       ?
  45 1635   18   0.3333     8.305e+06        ?       ?
  46 1731   19   0.3333     8.305e+06        ?       ?
  47 1827   20   0.3333     8.305e+06        ?       ?
  48 1923   21   0.3333     8.305e+06        ?       ?
  49 2019   22   0.3333     8.305e+06        ?       ?
  50 2114   23   0.3333     8.305e+06        ?       ?
  51 2210   24   0.3333     8.305e+06        ?       ?
  52 2306   25   0.3333     8.305e+06        ?       ?
  53 2402   26   0.3333     8.305e+06        ?       ?
  54 2498   27   0.3333     8.305e+06        ?       ?
  55 2594   28   0.3333     8.305e+06        ?       ?
  56 2690   29   0.3333     8.305e+06        ?       ?
  57 2786   30   0.3333     8.305e+06        ?       ?
  58 2882   31   0.3333     8.305e+06        ?       ?
  59 2978   32   0.3333     8.305e+06        ?       ?
  60 3074   33   0.3333     8.305e+06        ?       ?
  61 3169   34   0.3333     8.305e+06        ?       ?
  62 3265   35   0.3333     8.305e+06        ?       ?
  63 3361   36   0.3333     8.305e+06        ?       ?
  64 2887   31   0.0588     8.209e+06        ?       ?
  65 2983   32   0.0588     8.209e+06        ?       ?
  66 3079   33   0.0588     8.209e+06        ?       ?
  67 3172   34   0.0588     8.209e+06        ?       ?
  68 3268   35   0.0588     8.209e+06        ?       ?
  69 3363   36   0.0588     8.209e+06        ?       ?
  70 2118   23   0.0345     6.796e+06        ?       ?
  71 2214   24   0.0345     6.796e+06        ?       ?
  72 2309   25   0.0345     6.796e+06        ?       ?
  73 2405   26   0.0345     6.796e+06        ?       ?
  74 2501   27   0.0345     6.796e+06        ?       ?
